caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Acre\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Acre,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O planejamento para a saúde do idoso no ano de 2021 foca no assessoramento dos municípios por meio da realização de oficinas, com o objetivo de implementar e promover o uso da caderneta de saúde da pessoa idosa em todos os pontos de atenção.",['Assessorar os municípios através da realização de oficinas sobre a implementação do uso da caderneta de saúde da pessoa idosa em todos os pontos de atenção'],"O investimento programado para as ações de saúde da pessoa idosa é de 27.680,00.",False,N/A,[]
Documentos_saude_Brasil\Acre\Estadual\RAG\2020.pdf,2020.pdf,Acre,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão de 2020 da Secretaria de Estado da Saúde do Acre (SESACRE) apresenta a execução de ações e serviços de saúde, com destaque para a saúde da pessoa idosa. Iniciativas notáveis incluem a implementação e o uso da Caderneta de Saúde da Pessoa Idosa em todos os pontos de atenção nos municípios, e a elaboração e o fortalecimento de uma Linha de Cuidado para a Atenção Integral à Saúde da Pessoa Idosa, com o objetivo de fortalecer o comitê gestor para esta finalidade. Demograficamente, o relatório indica que a população feminina com idade entre 30 e mais de 80 anos representa 21,69% da população total. Adicionalmente, foi realizado o monitoramento de instituições de longa permanência para idosos (ILPIs) para a identificação de sintomas respiratórios sugestivos de COVID-19.","['Implementação do uso da Caderneta de Saúde da Pessoa Idosa em todos os pontos de atenção.', 'Elaboração da Linha de Cuidado para Atenção Integral à Saúde da Pessoa Idosa.', 'Fortalecimento do comitê gestor na construção da Linha de Cuidado de Saúde da Pessoa Idosa.', 'Monitoramento dos abrigos de imigrantes e instituições de longa permanência de idosos para identificação de sintomáticos respiratórios sugestivos de COVID-19.']",N/A,True,"O documento menciona o monitoramento de ""ABRIGOS DE IMIGRANTES E INSTITUIÇÕES DE LONGA PERMANENCIA DE IDOSOS"" para identificação de sintomáticos respiratórios sugestivos de COVID-19. A meta para esta ação era monitorar 180 instituições, e 180 foram monitoradas, alcançando 100% da meta.",[]
Documentos_saude_Brasil\Acre\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Acre,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento detalha as ações planejadas para a saúde da pessoa idosa, incluindo a realização de oficinas e visitas técnicas para aprimorar a avaliação multidimensional e o uso da caderneta de saúde do idoso. Além disso, prevê o fortalecimento do comitê gestor para a linha de cuidado da saúde da pessoa idosa. No contexto do combate à COVID-19, há uma ação de monitoramento de abrigos de imigrantes e instituições de longa permanência para idosos para identificar casos suspeitos.","['Realizar oficinas sobre a avaliação multidimensional e a caderneta de saúde da pessoa idosa.', 'Realizar visita e assessoria técnica aos pontos de atenção para o uso da caderneta de saúde do idoso.', 'Fortalecer o comitê gestor na construção da linha de cuidado de saúde da pessoa idosa.', 'Monitorar os abrigos de imigrantes e instituições de longa permanência de idosos para identificação de sintomáticos respiratórios sugestivo de COVID-19.']","Os investimentos planejados para as ações específicas de saúde do idoso incluem R$ 6.770,47 para oficinas sobre avaliação multidimensional e a caderneta de saúde da pessoa idosa, e R$ 2.600,53 para o monitoramento de abrigos de imigrantes e instituições de longa permanência para idosos na identificação de sintomáticos respiratórios. Outras ações relacionadas à saúde do idoso não tiveram valores monetários específicos detalhados, apresentando R$ 0,00 nas metas financeiras.",True,O documento menciona o monitoramento de 180 instituições de longa permanência para idosos para identificação de sintomáticos respiratórios sugestivos de COVID-19. A meta de monitoramento para essas 180 instituições foi alcançada.,[]
Documentos_saude_Brasil\Acre\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Acre,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O Núcleo de Saúde da Pessoa Idosa do SUS tem como objetivo assessorar os municípios na implementação e uso da Caderneta de Saúde da Pessoa Idosa, incluindo a capacitação para sua utilização em Porto Walter. Além disso, planeja a elaboração de uma linha de cuidado para atenção integral à saúde do idoso, com a realização de um seminário sobre atenção integrada à saúde do idoso em parceria com os 22 municípios.","['Assessoramento aos municípios para implementação do uso da Caderneta de Saúde da Pessoa Idosa.', 'Capacitação para utilização da Caderneta de Saúde da Pessoa Idosa no município de Porto Walter.', 'Elaboração da linha de cuidado para atenção integral à saúde da pessoa idosa.', 'Realização de seminário sobre atenção integrada à saúde do idoso com 22 municípios.']","Não foram encontrados valores ou recursos financeiros específicos mencionados diretamente para as ações do Núcleo de Saúde da Pessoa Idosa, com as atividades sendo realizadas sem custo direto para a área ou por meio de parcerias e recursos de outros setores, conforme indicado pelas informações do documento (Valor Total da Ação: 0,00 para todas as ações relevantes).",False,N/A,[]
Documentos_saude_Brasil\Acre\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Acre,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento, especificamente na seção ""NÚCLEO DE SAÚDE DA PESSOA IDOSA"" (página 28), descreve o planejamento para fortalecer a atenção primária, implementar a Política de Saúde da Pessoa Idosa e apoiar tecnicamente os municípios na instituição do Grupo Condutor da Rede de Atenção Psicossocial (RAPS) Municipal. As ações incluem a realização de assessoria técnica para avaliação multidimensional da pessoa idosa, oficinas sobre a importância dessa avaliação e a articulação com instituições de ensino e pesquisa para projetos de extensão, além da implementação de oficinas para multiplicadores em datas alusivas à pessoa idosa.","['APOIAR O FORTALECIMENTO DA ATENÇÃO PRIMÁRIA À SAÚDE.', 'APOIAR TECNICAMENTE AS REGIÕES DE SAÚDE PARA IMPLEMENTAÇÃO DA POLÍTICA DE SAÚDE DA PESSOA IDOSA.', 'ARTICULAR E APOIAR TECNICAMENTE OS MUNICÍPIOS PARA INSTITUIR O GRUPO CONDUTOR DA RAPS MUNICIPAL.', 'REALIZAR ASSESSORIA TÉCNICA ACERCA DA AVALIAÇÃO MULTIDIMENSIONAL DA PESSOA IDOSA.', 'REALIZAR OFICINA NA REGIONAL DE SAÚDE DO JURUÁ SOBRE A IMPORTÂNCIA DA AVALIAÇÃO MULTIDIMENSIONAL DA PESSOA IDOSA COMO ESTRATÉGIA DE QUALIFICAÇÃO DO CUIDADO.', 'ARTICULAR JUNTO AO ENSINO E PESQUISA, PROJETO DE EXTENSÃO NAS INSTITUIÇÕES DE ENSINO SUPERIORES/IES.', 'IMPLEMENTAR OFICINA DE MULTIPLICADORES PARA DATA ALUSIVA A PESSOA IDOSA.']","Foi planejado um investimento de R$ 28.350,00 para a realização de oficina na Regional de Saúde do Juruá sobre a importância da Avaliação Multidimensional da Pessoa Idosa como estratégia de qualificação do cuidado.",False,N/A,[]
Documentos_saude_Brasil\Acre\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Acre,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"A Programação Anual de Saúde 2022 do Estado do Acre, no que tange à saúde da pessoa idosa, prevê a realização de oficinas para capacitação de municípios na implementação e uso da Caderneta de Saúde da Pessoa Idosa. Além disso, foca na elaboração e fortalecimento da Linha de Cuidado para Atenção Integral à Saúde da Pessoa Idosa, visando fortalecer o comitê gestor responsável pela sua construção.","['Realização de oficinas sobre implementação do uso da Caderneta de Saúde da Pessoa Idosa', 'Capacitação dos municípios para implementação do uso da Caderneta de Saúde da Pessoa Idosa', 'Elaboração da Linha de Cuidado para Atenção Integral à Saúde da Pessoa Idosa', 'Fortalecimento do Comitê Gestor na construção da Linha de Cuidado de Saúde da Pessoa Idosa']","Foram alocados R$ 869,70 para a realização de oficinas sobre a Caderneta de Saúde da Pessoa Idosa e R$ 4.360,00 para o fortalecimento do Comitê Gestor na construção da Linha de Cuidado da Pessoa Idosa.",False,N/A,[]
Documentos_saude_Brasil\Acre\Municipal\ACRELÂNDIA\Plano de Saúde\2019.pdf,2019.pdf,Acre,Municipal,ACRELÂNDIA,Plano de Saúde,2019,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Acre\Estadual\Plano de Saúde\2024.pdf,2024.pdf,Acre,Estadual,N/A (Estado),Plano de Saúde,2024,success,True,"O Plano Estadual de Saúde 2024-2027 da SESACRE aborda a saúde da pessoa idosa por meio de ações estratégicas. Dentre elas, destaca-se o apoio técnico para a implementação da política de saúde da pessoa idosa em três regiões de saúde, com previsão de conclusão até 2027. O plano também registra a disponibilidade de três médicos geriatras no SUS em 2022, reforçando a atenção especializada. Adicionalmente, uma iniciativa importante é a elaboração e implementação de um plano de desinstitucionalização para pacientes em longa permanência do HOSMAC (Hospital de Saúde Mental do Acre), com a meta de ter um plano implementado até 2026, visando a melhoria do cuidado a essa população específica.","['Apoio técnico às regiões de saúde para implementação da política de saúde da pessoa idosa, com meta de 3 regiões com a política implementada até 2027 (Linha de base: 3 regiões em 2022).', 'Disponibilidade de 3 médicos geriatras no SUS em 2022.', 'Elaboração e implementação do plano de desinstitucionalização de pacientes de longa permanência do HOSMAC (Hospital de Saúde Mental do Acre), com meta de 1 plano implementado até 2026 (Linha de base: 0 planos em 2022).']",N/A,True,"O Plano Estadual de Saúde prevê a elaboração e implementação de um plano de desinstitucionalização para pacientes de longa permanência do HOSMAC (Hospital de Saúde Mental do Acre), com meta de 1 plano implementado até 2026. A linha de base em 2022 era 0 planos implementados.",['HOSMAC (Hospital de Saúde Mental do Acre)']
Documentos_saude_Brasil\Acre\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Acre,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Plano Estadual de Saúde 2020-2023 do Acre reconhece a transição demográfica e o envelhecimento populacional. A população idosa acreana (63.015 pessoas em 2019, mais de 7% do total) está crescendo, gerando novas demandas por cuidados prolongados e atenção domiciliar. O documento aponta que o aumento da expectativa de vida resulta na melhoria das condições de vida e no acesso a serviços médicos, saneamento e educação. Há desafios sociais e epidemiológicos no cuidado à população idosa, que exigem respostas das políticas de saúde, assistência social e previdência. As ações planejadas incluem o assessoramento a municípios para a implementação da caderneta de saúde da pessoa idosa e o monitoramento de instituições de longa permanência para idosos (ILPIs) para identificar casos sintomáticos respiratórios, especialmente no contexto da COVID-19, onde 69,6% dos óbitos ocorreram em pessoas acima de 60 anos.","['ASSESSORAR OS MUNICÍPIOS NA IMPLEMENTAÇÃO DO USO DA CADERNETA DE SAÚDE DA PESSOA IDOSA EM TODOS OS PONTOS DE ATENÇÃO.', 'MONITORAR OS ABRIGOS DE IMIGRANTES E INSTITUIÇÕES DE LONGA PERMANENCIA DE IDOSOS PARA IDENTIFICAÇÃO DE SINTOMATICOS RESPIRATORIOS SUGGESTIVO DE COVID-19.']",N/A,True,O plano prevê o monitoramento de instituições de longa permanência para idosos (ILPIs) e abrigos de imigrantes para identificar casos sintomáticos respiratórios sugestivos de COVID-19. A meta para 2020 é realizar 180 monitoramentos. Não há menção a nomes específicos de ILPIs no documento.,[]
Documentos_saude_Brasil\Acre\Estadual\RAG\2021.pdf,2021.pdf,Acre,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão 2021 do SUS no Acre aborda a saúde da pessoa idosa através de ações como a implementação da Caderneta de Saúde da Pessoa Idosa, com 4 dos 6 municípios-alvo para 2021 tendo progresso (66,67% da meta alcançada). Houve também o planejamento da implantação de planos de monitoramento intensivo para COVID-19 para pessoas idosas na Atenção Primária em Saúde, porém, sem resultados alcançados em 2021. Adicionalmente, foi citada a meta de monitoramento de Instituições de Longa Permanência para Idosos (ILPI) para identificação de sintomas respiratórios de COVID-19, mas sem metas ou resultados definidos para 2021.","['Implementação do uso da Caderneta de Saúde da Pessoa Idosa.', 'Implantação de planos de monitoramento intensivo para COVID-19 das pessoas idosas e com doenças crônicas na Atenção Primária em Saúde (APS).', 'Monitoramento de abrigos de imigrantes e Instituições de Longa Permanência para Idosos (ILPI) para identificação de sintomas respiratórios sugestivos de COVID-19.']","O investimento total (liquidado) em ações e serviços públicos de saúde (ASPS) no SUS do estado do Acre em 2021 foi de R$ 819.210.380,60. Para o enfrentamento da emergência de saúde relacionada ao Coronavírus (COVID-19), foram direcionados R$ 39.256.499,10 de recursos próprios. Não há discriminação de valores específicos destinados exclusivamente à saúde da pessoa idosa ou a ILPIs, sendo as ações para essa população parte do investimento geral em atenção básica, especializada e hospitalar.",True,"O documento menciona o monitoramento de Instituições de Longa Permanência para Idosos (ILPI) para identificação de sintomas respiratórios sugestivos de COVID-19. Para o ano de 2021, a meta para esta ação era 0, e o resultado anual foi 0, indicando que não houve progresso quantificável em relação a este objetivo para o período.",[]
