caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Alagoas\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Alagoas,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Instrumento de Planejamento do SUS para Alagoas (2020-2023) aborda a saúde da pessoa idosa no Objetivo N° 1.1, que visa ampliar e qualificar o acesso à Atenção Primária. Especificamente, as metas 1.1.2 e 1.1.3 focam em 'Promover o envelhecimento ativo e saudável'. Para isso, o plano prevê alcançar 100% dos municípios com adesão à Caderneta de Saúde da Pessoa Idosa e 100% dos municípios com o Projeto Casa Segura implantado até 2023.","['Promover o envelhecimento ativo e saudável (Meta 1.1.2 e 1.1.3)', 'Proporção de municípios com adesão à Caderneta de Saúde da Pessoa Idosa (Indicador da Meta 1.1.2)', 'Proporção de municípios com o Projeto Casa Segura implantado (Indicador da Meta 1.1.3)']",N/A,False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Alagoas,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento de planejamento do SUS para Alagoas (2020-2023) inclui metas e ações específicas para a saúde da pessoa idosa, visando promover o envelhecimento ativo e saudável. As principais iniciativas planejadas são o incentivo a 40 municípios para a adesão à Caderneta de Saúde da Pessoa Idosa e a implantação do Projeto Casa Segura em 28 municípios prioritários.","['Promover o envelhecimento ativo e saudável', 'Incentivo a 40 municípios para adesão a Caderneta de Saúde da Pessoa Idosa.', 'Implantação do Projeto Casa Segura em 28 municípios prioritários']","O Demonstrativo da Programação de Despesas com Saúde por Subfunção, Natureza e Fonte na página 34 do documento apresenta valores de investimento. Por exemplo, a subfunção '301 - Atenção Básica' tem uma programação de despesas de R$ 15.917.960,00 (Corrente) e R$ 1.415.000,00 (Capital) provenientes de 'Receita de impostos e de transferência de impostos'. Esses valores representam o orçamento geral da atenção básica e não são especificamente detalhados para ações voltadas à saúde do idoso.",False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Alagoas,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, parte da Programação Anual de Saúde (PAS) 2023 do SUS, detalha o planejamento para a saúde do idoso. As ações incluem a promoção do envelhecimento ativo e saudável, com a implantação do Projeto Casa Segura em 28 municípios prioritários e a implementação da Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa. Há também o objetivo de reduzir internações por fratura de fêmur em pessoas acima de 60 anos. Um ponto significativo é o planejamento para a construção de um Hospital do Idoso, visando a ampliação e qualificação da assistência especializada.","['Promover o envelhecimento ativo e saudável', 'Proporção de municípios com o Projeto Casa Segura Implantado', 'Implantação do Projeto Casa Segura em 28 municípios prioritários', 'Proporção de municípios com a Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa implantada', 'Implantação da Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa', 'Reduzir as internações por causas externas à Atenção Básica', 'Taxa de Internação por fratura de Fêmur em > de 60 anos', 'Construção do Hospital do Idoso']",N/A,False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Alagoas,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"A Programação Anual de Saúde 2022 de Alagoas estabelece objetivos e ações na Atenção Primária para promover o envelhecimento ativo e saudável. As metas incluem a implantação do VES13 e do Projeto Casa Segura em municípios, a adesão à Caderneta de Saúde da Pessoa Idosa com incentivo para 40 municípios, e a implantação da Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa. Há também a meta de reduzir internações por fratura de fêmur em pessoas com mais de 60 anos.","['Promover o envelhecimento ativo e saudável', 'Implantação do VES-13 nos municípios', 'Incentivo a 40 municípios para adesão a Caderneta de Saúde da Pessoa Idosa', 'Implantação do Projeto Casa Segura em 28 municípios prioritários', 'Implantação da Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa', 'Reduzir as internações por fratura de Fêmur em > de 60 anos']","O documento menciona incentivo financeiro para a Atenção Primária, incluindo um incentivo a 40 municípios para adesão à Caderneta de Saúde da Pessoa Idosa, sem detalhar valores específicos.",False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\RAG\2020.pdf,2020.pdf,Alagoas,Estadual,N/A (Estado),RAG,2020,success,True,"O documento ""Relatório Anual de Gestão 2020"" do SUS em Alagoas detalha as ações e resultados para a saúde da pessoa idosa. O Objetivo 1.1 da Diretriz 1, ""Promover o envelhecimento ativo e saudável"", incluiu a meta de adesão de municípios à Caderneta de Saúde da Pessoa Idosa e a implantação do Projeto Casa Segura. Em 2020, 33,30% dos municípios aderiram à Caderneta de Saúde da Pessoa Idosa, atingindo 84,95% da meta anual de 39,20%. Para o Projeto Casa Segura, 78,40% dos municípios implantaram o projeto, superando a meta anual de 24,50% em 320,00%. O relatório também destaca que a população de 60 anos ou mais representa 11,43% do total da população de Alagoas, e que doenças do aparelho circulatório são as mais frequentes causas de óbito em indivíduos acima de 40 anos, com 96,79% dos óbitos por essa causa ocorrendo nesse grupo em 2020.","['Incentivo a 40 municípios para adesão a Caderneta de Saúde da Pessoa Idosa', 'Implantação do Projeto Casa Segura em 25 municípios prioritários']",N/A,False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\RAG\2021.pdf,2021.pdf,Alagoas,Estadual,N/A (Estado),RAG,2021,success,True,"O documento, Relatório Anual de Gestão 2021 do SUS em Alagoas, destaca que a população idosa (60 anos ou mais) representa 11,43% (383.106 habitantes) do total em 2021. No planejamento anual de saúde (PAS), foram estabelecidas metas para promover o envelhecimento ativo e saudável, visando 100% de adesão de municípios à Caderneta de Saúde da Pessoa Idosa e 100% de implantação do Projeto Casa Segura em municípios prioritários. No entanto, os resultados anuais para 2021 para essas metas foram de 0% de alcance, com a justificativa de que a pandemia afetou a capacidade de atingir as metas planejadas. Há uma recomendação para futuras ações voltadas à saúde do idoso, incluindo sensibilização, capacitação e monitoramento dos municípios para a implementação de ações e academias de saúde para o idoso.","['Incentivo a 40 municípios para adesão a Caderneta de Saúde da Pessoa Idosa (resultado 0% de 40%)', 'Implantação do Projeto Casa Segura em 28 municípios prioritários (resultado 0% de 25%)', 'Sensibilização, capacitação e monitoramento dos municípios para implantarem/implementarem ações voltadas à saúde do idoso (recomendação)', 'Implantação de academias de saúde (recomendação relacionada à saúde do idoso)']",N/A,False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Alagoas,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento, Programação Anual de Saúde – PAS 2025 do Estado de Alagoas, detalha ações e metas para a saúde da pessoa idosa. A Meta 1.1.2 visa ""Promover o envelhecimento ativo e saudável"" com a redução da ""Taxa de Internação por fratura de Fêmur em > de 60 anos"" para 20,60 em 2025. As ações incluem campanhas de conscientização e educação sobre os cuidados e melhorias no ambiente doméstico para prevenção de quedas para pessoas idosas. Adicionalmente, na Diretriz 3, Meta 3.1.1, Ação 2, há o planejamento de ""Concluir o Hospital do Idoso"".","['Realizar campanhas de conscientização e educação sobre os cuidados às pessoas idosas.', 'Promover esforços no sentido de melhorar o ambiente doméstico, propiciando uma ambientação adequada e segura, com estrutura adaptada à prevenção de quedas.', 'Taxa de Internação por fratura de Fêmur em > de 60 anos (meta para 2025: 20,60).', 'Concluir o Hospital do Idoso.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Alagoas,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"A Programação Anual de Saúde 2024 do Estado de Alagoas planeja promover o envelhecimento ativo e saudável, com metas como a implantação da Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa em 15% dos municípios até 2024. Também visa reduzir a taxa de internação por fratura de fêmur em pessoas com mais de 60 anos para 21,00 em 2024, através de campanhas de conscientização, estímulo a exercícios físicos (Academias da Saúde) e melhorias no ambiente doméstico para prevenção de acidentes. Além disso, o plano inclui a conclusão do Hospital do Idoso como parte da ampliação da oferta de serviços de saúde.","['Implantação da Linha do Cuidado de Atenção Integral à Saúde da Pessoa Idosa nos municípios.', 'Realização de campanhas de conscientização e educação sobre os cuidados da pessoa idosa.', 'Estímulo à prática de exercícios físicos por meio da implantação de Academias da Saúde.', 'Promoção de melhorias no ambiente doméstico para prevenção de acidentes em idosos.', 'Conclusão do Hospital do Idoso.']","O documento não detalha um valor de investimento específico para ações diretas de saúde do idoso. No entanto, a subfunção 302, que destina recursos para 'custeio para manutenção das Unidades de Saúde, sob gestão da SESAU/AL, na Média e Alta Complexidade', inclui a conclusão do Hospital do Idoso. Para 2024, as despesas correntes para a subfunção 302 são de R$ 1.196.256.922 e as despesas de capital são de R$ 59.901.080.",False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\RAG\2022.pdf,2022.pdf,Alagoas,Estadual,N/A (Estado),RAG,2022,success,True,"O estado de Alagoas planejou promover o envelhecimento ativo e saudável em 2022. As principais ações incluíam o aumento da proporção de municípios com adesão à Caderneta de Saúde da Pessoa Idosa e a implantação do Projeto Casa Segura. No entanto, as taxas de alcance dessas metas foram baixas: apenas 18% dos municípios aderiram à Caderneta de Saúde da Pessoa Idosa (a meta era 100%), e 0% do Projeto Casa Segura foi implementado (a meta era 50%). Esses resultados indicam desafios significativos na execução dos programas planejados para a saúde da pessoa idosa em 2022.","['Promover o envelhecimento ativo e saudável', 'Implantação do VES-13 nos municípios', 'Implantação do Projeto Casa Segura em 28 municípios prioritários', 'Adesão a Caderneta de Saúde da Pessoa Idosa', 'Projeto Casa Segura implantado']",N/A,False,N/A,[]
Documentos_saude_Brasil\Alagoas\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Alagoas,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento detalha a Programação Anual de Saúde 2020 para o estado de Alagoas, com foco na promoção do envelhecimento ativo e saudável. As metas incluem aumentar a proporção de municípios que aderem à Caderneta de Saúde da Pessoa Idosa (meta de 39,2% para 2020), reduzir a taxa de internação por fratura de fêmur em pessoas acima de 60 anos (meta de 22/10.000 habitantes para 2020) e diminuir a taxa de internação por causas cerebrovasculares na população acima de 55 anos (meta de 40,30/10.000 habitantes para 2020). Há também uma ação de incentivo aos municípios para adesão à Caderneta de Saúde da Pessoa Idosa, com meta de 40 municípios com adesão realizada, e apoio técnico para ações psicossociais desenvolvidas em ILPIs, com meta de 26 ILPIs apoiadas.","['Meta 1.2 – Promover o envelhecimento ativo e saudável', 'Indicador 03: Proporção de municípios com adesão a Caderneta de Saúde da Pessoa Idosa', 'Indicador 06: Taxa de Internação por fratura de Fêmur em > de 60 anos', 'Indicador 07: Taxa de Internação por Causas Cerebrovasculares na População Acima de 55 Anos', 'Incentivo aos municípios para adesão a Caderneta de Saúde da Pessoa Idosa (Código 010.4319)', 'Apoio técnico para as ações psicossociais desenvolvidas nas ILPIs (Código 046.4348)']","N/A. Embora o documento inclua o Quadro de Detalhamento de Despesas (QDD) para o Fundo Estadual de Saúde com alocações financeiras gerais para diversas ações, não são especificados valores financeiros dedicados exclusivamente às ações ou metas voltadas para a saúde da pessoa idosa.",True,"O documento prevê apoio técnico para as ações psicossociais desenvolvidas nas Instituições de Longa Permanência para Idosos (ILPIs), com a meta de apoiar 26 ILPIs em 2020, conforme a Programação Anual de Saúde 2020.",[]
