caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Amapá\Estadual\RAG\2021.pdf,2021.pdf,Amapá,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de 2021 do SUS no Amapá inclui dados demográficos com a população idosa segregada por faixa etária (60 anos e mais). A gestão planejou e/ou executou ações voltadas à saúde do idoso, destacando a intenção de promover, na Atenção Primária, a implementação de eixos, diretrizes e ações previstas nas Políticas de Saúde dos Ciclos de Vida, incluindo a pessoa idosa, e em Programas Estratégicos.","['Promover na Atenção Primária a implementação dos eixos e diretrizes e ações previstas nas Políticas de Saúde dos Ciclos de Vida (criança, adolescente, mulher, homem e idoso) e Programas Estratégicos (Saúde nas Escolas e Tabagismo).']",N/A,False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Amapá,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento detalha ações de saúde para a população idosa no âmbito da Atenção Primária à Saúde, focando na implementação de políticas de saúde dos ciclos de vida e na oferta de atendimentos de fisioterapia geriátrica.","['Implementação dos eixos, diretrizes e ações das Políticas de Saúde dos Ciclos de Vida (criança, adolescente, mulher, homem e pessoa idosa) na Atenção Primária à Saúde.', 'Realizar 3864 atendimentos de fisioterapia para geriatria.']","A Programação Anual de Saúde 2023 destina R$ 2.599.046,00 para atendimentos de serviços de reabilitação física com equipe multidisciplinar, incluindo fisioterapia para geriatria, e R$ 3.769.046,00 para o programa 'Promover Saúde, Bem-estar e Qualidade de Vida', que abrange políticas para a pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Amapá,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O Instrumento de Planejamento do SUS - PAS 2022, no que tange à saúde da pessoa idosa, menciona a ação de 'Realizar atendimento de fisioterapia para geriatria' como parte dos serviços de reabilitação física oferecidos. Esta ação visa atender às necessidades específicas da população idosa em relação à fisioterapia.",['Realizar atendimento de fisioterapia para geriatria'],"O documento não detalha o investimento específico para fisioterapia geriátrica, mas a ação faz parte da META 1 (Prestar 243.871 atendimentos de serviços de reabilitação física com equipe multidisciplinar), que possui um investimento de R$ 2.740.000,00 da Fonte 216.",False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Amapá,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O documento aborda a saúde da pessoa idosa no Amapá, destacando o envelhecimento populacional com 34.471 pessoas com 60 anos ou mais em 2010. Menciona que a mortalidade proporcional em 2017 foi maior nessa faixa etária (46,9%), com doenças do aparelho circulatório sendo a principal causa de internações (26,0%) e óbitos (33,14%). Enfatiza a necessidade de fortalecer ações para o envelhecimento ativo e a participação social, além de maior investimento em articulação setorial para projetos de atenção domiciliar, centros-dia, cuidadores de idosos, combate à violência e melhoria da qualidade do cuidado em Instituições de Longa Permanência para Idosos (ILPIs). Ressalta a implementação de projetos focados em alimentação saudável, atividades físicas e autocuidado.","['Fortalecimento das ações junto aos municípios para o envelhecimento ativo e participação social.', 'Priorização das especificidades e singularidades da população idosa na organização e oferta de serviços, com foco na funcionalidade global e autonomia.', 'Maior investimento na articulação setorial e intersetorial para estabelecimento de consensos e definição de responsabilidades compartilhadas em projetos.', 'Prioridade nos temas de atenção domiciliar, centros-dia, cuidadores de idosos, enfrentamento à violência.', 'Melhoria da qualidade do cuidado oferecido em Instituições de Longa Permanência para Idosos (ILPIs).', 'Implantação de projetos voltados para busca da alimentação saudável, prática de atividades físicas e autocuidado.', 'O Modelo de Atenção Integral à Saúde da Pessoa Idosa, definido pelo Ministério da Saúde como prioridade, com diretrizes e estratégias para potencializar ações e serviços já desenvolvidos nos territórios.', 'A Atenção Básica como coordenadora das ações de saúde para pessoas idosas.']","O documento menciona a necessidade de ""maior investimento"" em articulação setorial e intersetorial para a construção de projetos voltados à saúde do idoso e para minimizar custos com ações curativas. No entanto, não são especificados valores ou recursos financeiros concretos para essas ações diretamente ligadas à saúde do idoso. Assim, as informações financeiras para a saúde do idoso não são detalhadas com valores específicos.",True,O documento cita a Instituição de Longa Permanência para Idosos (ILPIs) no contexto da necessidade de maior investimento e articulação para a melhoria da qualidade do cuidado oferecido a pessoas idosas. Não são apresentadas metas específicas ou dados de RAG para ILPIs.,[]
Documentos_saude_Brasil\Amapá\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Amapá,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento apresenta a Programação Anual de Saúde para 2024 do estado do Amapá, detalhando diretrizes, objetivos, metas e indicadores para o sistema de saúde. Em relação à saúde da pessoa idosa, o plano contempla ações como o apoio na definição da Linha de Cuidado Integral à Pessoa Idosa e o monitoramento da avaliação multidimensional da Pessoa Idosa nas Regiões de Saúde.","['Apoio na definição da Linha de Cuidado Integral à Pessoa Idosa', 'Monitoramento da avaliação multidimensional da Pessoa Idosa nas Regiões de Saúde']","O documento menciona que para a execução da Lei Orçamentária Anual (LOA) de 2024, a Secretaria de Planejamento destinou ao Fundo Estadual de Saúde o valor total de R$ 1.476.453.705,00 para o desenvolvimento de diversas ações de saúde. Não há menção específica de valores de investimento direcionados exclusivamente à saúde da pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Amapá,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O Instrumento de Planejamento do SUS detalha ações para a saúde da pessoa idosa no Amapá. Isso inclui o apoio aos municípios na elaboração e implantação de uma linha de cuidado específica para a saúde do idoso, a oferta de atendimentos de fisioterapia geriátrica no Centro de Reabilitação do Amapá (CREAP), e a regulação de exames de Densitometria Óssea para diagnóstico e acompanhamento. Não foram encontradas menções específicas a Instituições de Longa Permanência para Idosos (ILPIs), asilos ou abrigos.","['Implementação da linha de cuidado de atenção à saúde da pessoa idosa', 'Realização de atendimentos de fisioterapia geriatria', 'Realização de exames de Densitometria Óssea']","Valores financeiros não são especificados isoladamente para a saúde do idoso. No entanto, as ações que incluem a saúde do idoso estão dentro dos seguintes orçamentos anuais: R$ 17.968.486,00 para Regulação, Controle e Avaliação da Assistência; R$ 15.189.596,00 para Fortalecimento da Atenção Primária à Saúde; R$ 3.795.845,00 para Manutenção do Centro de Reabilitação do Amapá – CREAP; e R$ 27.033.917,00 para Contratualização de Serviços de Saúde Complementares à rede do SUS.",False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\RAG\2020.pdf,2020.pdf,Amapá,Estadual,N/A (Estado),RAG,2020,success,True,"O documento, um Relatório Anual de Gestão de 2020 do SUS no Amapá, apresenta dados demográficos da população idosa (faixas etárias de 60-69, 70-79 e 80+ anos). Para a saúde do idoso, foram citadas ações como o apoio a municípios na elaboração e implantação de linhas de cuidado e a realização de atendimentos de fisioterapia geriátrica. Medicamentos relevantes para condições comuns em idosos, como Donepezila e Rivastigmina (para demências), e o procedimento de Densitometria Óssea (para osteoporose) foram listados. O relatório geral indica que, devido à pandemia de COVID-19, muitas ações e atividades não atingiram suas metas.","['Apoiar os municípios no processo de elaboração e implantação da linha de cuidado de atenção à saúde da pessoa idosa', 'Realizar atendimentos de fisioterapia geriatria', 'Donepezila 5 Mg', 'Donepezila 10 Mg', 'Rivastigmina 1,5 Mg', 'Rivastigmina 3 Mg', 'Rivastigmina 9 Mg Adesivo Transdérmico', 'Rivastigmina 18 Mg Adesivo Transdérmico', 'Densitometria Óssea']",N/A,False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Amapá,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O instrumento de planejamento do SUS para o estado do Amapá (PES 2020 a 2023) contempla a saúde da pessoa idosa. Há previsão para a implementação de ações e diretrizes das Políticas de Saúde dos Ciclos de Vida na Atenção Primária, que abrangem a população idosa. Além disso, o plano inclui a oferta de atendimento de fisioterapia especificamente para geriatria como parte dos serviços de reabilitação física.","['Implementar os eixos e diretrizes e ações previstas nas Políticas de Saúde dos Ciclos de Vida (criança, adolescente, mulher, homem e idoso)', 'Realizar atendimento de fisioterapia para geriatria']","Para a implementação das Políticas de Saúde dos Ciclos de Vida (que inclui a pessoa idosa) na Atenção Primária, há um investimento de R$ 70.000,00 (R$ 50.000,00 da Fonte 107 e R$ 20.000,00 da Fonte 216). Para o atendimento de fisioterapia para geriatria, o valor faz parte de um investimento total de R$ 2.745.845,00 (Fonte 216) para todos os serviços de reabilitação física multiprofissional.",False,N/A,[]
Documentos_saude_Brasil\Amapá\Estadual\RAG\2022.pdf,2022.pdf,Amapá,Estadual,N/A (Estado),RAG,2022,success,True,"O relatório anual de gestão de 2022 do SUS no Amapá apresenta dados demográficos da população idosa, com estimativas para faixas etárias acima de 60 anos. As análises de morbimortalidade destacam que uma parcela significativa das internações e óbitos em adultos ocorre entre indivíduos com 60 anos ou mais. Especificamente, 43% das internações em Clínica Médica, 64% em Cuidados Intermediários e 49% em Unidade de Terapia Intensiva foram de pacientes idosos. Além disso, 78% dos óbitos adultos foram registrados na faixa etária de 60 anos ou mais. No que diz respeito às ações e planejamento, o documento cita a dispensação de medicamentos como a donepezila, utilizada no tratamento de Alzheimer. A Programação Anual de Saúde (PAS) de 2022 inclui, na Diretriz de Atenção Primária, a implementação de políticas de saúde dos ciclos de vida, abrangendo a pessoa idosa, com o objetivo de promover a saúde, prevenir doenças, tratar e reabilitar a população de forma integral.","['População estimada por faixa etária (60-69, 70-79, 80+ anos)', 'Taxas de internação hospitalar para maiores de 60 anos em Clínica Médica (43%), Cuidados Intermediários (64%) e Unidade de Terapia Intensiva (49%)', 'Taxa de mortalidade adulta para maiores de 60 anos (78%)', 'Dispensa de Donepezila para tratamento de Alzheimer', 'Implementação de eixos, diretrizes e ações das Políticas de Saúde dos Ciclos de Vida, incluindo a pessoa idosa, na Atenção Primária']","O Estado do Amapá cumpriu e ultrapassou em 0,93% (equivalente a R$ 65,2 milhões) o mínimo legal de 12% de aplicação de recursos em Ações e Serviços Públicos de Saúde (ASPS) conforme a Lei Complementar nº 141/2012, registrando um percentual de 12,93% (R$ 906,3 milhões) no período. Não há menção a valores ou recursos financeiros específicos destinados exclusivamente à saúde da pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Amapá\Municipal\AMAPÁ\Programação Anual de Saúde\2022.pdf,2022.pdf,Amapá,Municipal,AMAPÁ,Programação Anual de Saúde,2022,success,True,"O documento, na seção de enfrentamento da emergência de saúde pública do Coronavírus, planeja assegurar a integralidade do cuidado aos grupos de risco da COVID-19, incluindo os idosos.","['Assegurar a integralidade do cuidado aos grupos de risco da COVID-19 (idosos, gestantes, doentes crônicos e etc)']","R$ 650.000,00 para as ações de enfrentamento do COVID-19, que incluem o cuidado integral a grupos de risco como os idosos.",False,N/A,[]
