caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Amazonas\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Amazonas,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, referente à Programação Anual de Saúde de 2023 da SES-AM, detalha diversas ações e objetivos para a saúde, com foco na saúde da pessoa idosa dentro do objetivo 1.3 - 'Ampliar e qualificar o acesso aos serviços de saúde, fortalecendo a Atenção Primária em Saúde (APS) como ordenadora do cuidado, em tempo oportuno com equidade e integralidade, considerando o atendimento às necessidades de saúde'. As atividades específicas para a saúde do idoso incluem: a realização de 2 videoconferências em educação em saúde baseadas na Política Nacional; apoio técnico para a implementação da avaliação multidimensional da pessoa idosa em 52 municípios; acompanhamento da evolução dos registros dessa avaliação em 62 municípios; implantação de uma Linha de Cuidado da Saúde da Pessoa Idosa em parceria com a Secretaria Municipal de Saúde de Manaus; e a realização de um diagnóstico situacional das atividades de saúde para idosos nos municípios.","['Realizar Videoconferência em educação em saúde na área da Saúde da Pessoa Idosa segundo os eixos da Política Nacional.', 'Realizar apoio técnico com o Projeto DGEROBRASIL no processo de implementação da avaliação multidimensional da pessoa idosa nos municípios.', 'Acompanhar a evolução dos registros da Avaliação Multidimensional da PI (procedimento 03.01.09.003-3 no E-SUS-AB) nos municípios.', 'Implantar conjuntamente com a Secretaria Municipal de Saúde de Manaus, a Linha de Cuidado da Saúde da Pessoa Idosa.', 'Realizar diagnóstico situacional das atividades realizadas nos municípios em relação à Saúde da pessoa idosa.']","O documento não especifica um orçamento exclusivo para a saúde do idoso, mas menciona ações e serviços que os beneficiam. A ação 'Operacionalização dos Serviços Especializados de Média Complexidade das Policlínicas, CAICs e CAIMIs' (que inclui os Centros de Atenção Integral à Melhor Idade) possui uma meta financeira de R$ 7.743.000,00. A 'Operacionalização do Serviço de Atenção Domiciliar' tem uma meta financeira de R$ 12.575.000,00. Adicionalmente, a 'Operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas', que frequentemente afeta a população idosa, tem uma meta financeira de R$ 73.124.000,00.",False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\RAG\2021.pdf,2021.pdf,Amazonas,Estadual,N/A (Estado),RAG,2021,success,True,"Em 2020, a população idosa estimada no Amazonas era de aproximadamente 325.823 habitantes. As doenças do aparelho circulatório e as neoplasias são as principais causas de mortalidade, afetando significativamente a população acima de 40 e 30 anos, respectivamente, e os esforços governamentais e de profissionais de saúde estão focados em modificar hábitos de vida, informar a população sobre fatores de risco, estruturar e reorganizar os serviços de saúde para melhorar a efetividade do cuidado. Além disso, há um objetivo de aprimorar as Redes de Atenção à Saúde com foco em Doenças Crônicas.","['Esforços para modificar hábitos e estilo de vida para prevenir doenças do aparelho circulatório.', 'Aumento do nível de informação da população sobre os fatores de risco para doenças do aparelho circulatório.', 'Estruturação dos serviços de saúde para melhorar a efetividade do cuidado em doenças do aparelho circulatório.', 'Reorganização dos serviços na rede de atenção para doenças do aparelho circulatório.', 'Aprimoramento das Redes de Atenção à Saúde Regionalizadas com ênfase na organização das Linhas de Cuidado e Redes Temáticas priorizadas, incluindo a Rede de Cuidados à Pessoa com Doenças Crônicas.']","Durante 2021, a Secretaria de Estado de Saúde do Amazonas (SES-AM) e suas Fundações de Saúde vinculadas executaram mais de 4,034 bilhões de reais em ações e serviços públicos de saúde. Deste total, 73% foram com recursos do Tesouro Estadual, 26% do Tesouro Federal e 0,1% de outras fontes. O estado do Amazonas aplicou 18,57% de suas receitas obrigatórias em saúde, superando o mínimo constitucional em 6,57%, o que corresponde a um investimento adicional de R$ 987.007.074,02 de recursos próprios na saúde pública.",False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Amazonas,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Plano Estadual de Saúde do Amazonas (PES 2020-2023) prevê ações e objetivos relacionados à saúde da pessoa idosa. Inclui o apoio, monitoramento e avaliação das ações de saúde para a pessoa idosa como parte dos ciclos de vida. Há também um foco na operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas, que são prevalentes na população idosa. Especificamente, o plano detalha a operacionalização dos serviços especializados de média complexidade dos Centros de Atenção Integral a Melhor Idade (CAIMI's), visando ampliar e qualificar o acesso a esses serviços para a população idosa.","['Apoio, Monitoramento e Avaliação das Ações dos Ciclos de Vida-Saúde da Pessoa Idosa', 'Operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas', ""Operacionalização dos Serviços Especializados de Média Complexidade dos Centros de Atenção Integral a Melhor Idade - CAIMI's (RESIGNIFICANDO A VIDA)""]","As ações para a saúde da pessoa idosa incluem 'Ação na LOA: 2716' para apoio, monitoramento e avaliação das ações dos ciclos de vida-saúde da pessoa idosa, 'Ação na LOA: 2247' para operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas, e 'Ação na LOA: 2224' para a operacionalização dos Serviços Especializados de Média Complexidade dos Centros de Atenção Integral a Melhor Idade (CAIMI's).",True,"O documento menciona a operacionalização de serviços especializados de média complexidade nos Centros de Atenção Integral a Melhor Idade (CAIMI's), que são instituições voltadas para o cuidado de idosos.","['Centros de Atenção Integral a Melhor Idade', ""CAIMI's (RESIGNIFICANDO A VIDA)""]"
Documentos_saude_Brasil\Amazonas\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Amazonas,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"A Programação Anual de Saúde (PAS) 2024 da SES-AM inclui diversas ações focadas na saúde da pessoa idosa e nos Centros de Atenção Integral à Melhor Idade (CAIMIs). O planejamento abrange o apoio técnico para a implementação da avaliação multidimensional da pessoa idosa nos municípios e a instituição de um Grupo de Trabalho para a Linha de Cuidado da Saúde da Pessoa Idosa. Além disso, prevê a revitalização da estrutura física do CAIMI Paulo Lima, a implantação de serviços de Raio-X nos CAIMIs Dr. André Araújo e Dr. Paulo Lima, e a solicitação de destaque orçamentário para a aquisição de materiais e equipamentos para fisioterapia nesses centros. Aumentar a oferta de consultas geriátricas por meio de contratação terceirizada e a instalação de aquecedores nas piscinas dos CAIMIs Ada Rodrigues Viana e Dr. Paulo Lima também são metas. Estima-se a realização de 84.000 atendimentos nos CAIMIs do estado.","['Realizar apoio técnico com o Projeto DGEROBRASIL no processo de implementação da avaliação multidimensional da pessoa idosa nos municípios.', 'Instituir o Grupo de Trabalho para elaboração da Linha de Cuidado da Saúde da Pessoa Idosa.', 'Concluir e entregar a revitalização da estrutura física do CAIMI Paulo Lima.', 'Implantar serviço de RAIO-X nos CAIMI´s Dr. André Araújo e Dr. Paulo Lima.', 'Solicitar destaque orçamentário para aquisição de materiais e equipamentos para aperfeiçoamento e ampliação dos serviços de fisioterapia nos CAIMI´s.', 'Ampliar oferta de consultas médicas em Geriatria por meio de contrato de serviço terceirizado.', 'Solicitar e acompanhar junto a SEAINFRA a aquisição e instalação de aquecedor nas piscinas dos CAIMIS Ada Rodrigues Viana e Dr. Paulo Lima.', ""Realizar atendimentos nos CAIM's do estado (3 CAIM's).""]","O documento prevê um investimento total de R$ 22.337.000,00 para a operacionalização dos serviços especializados de média complexidade das Policlínicas, CAICs e CAIMIs, o que abrange as ações destinadas à melhor idade. Não há um valor específico segregado apenas para a saúde do idoso.",False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\RAG\2020.pdf,2020.pdf,Amazonas,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão de 2020 do SUS no Amazonas aponta que a população idosa é de mais de 38.693 mil habitantes. As principais causas de mortalidade que afetam significativamente essa faixa etária são as doenças do aparelho circulatório (95,89% em maiores de 40 anos) e neoplasias (94,65% em maiores de 30 anos). O documento detalha esforços para promover hábitos saudáveis, informar sobre fatores de risco para doenças cardiovasculares, aprimorar serviços de saúde e reorganizar a rede de atenção. Além disso, recomenda investimentos em políticas públicas que incentivem a atividade física para combater doenças.","['Esforços para modificar hábitos e estilo de vida, aumentar o nível de informação da população sobre os fatores de risco para doenças do aparelho circulatório, estruturar os serviços de saúde para melhorar a efetividade do cuidado e reorganizar os serviços na rede de atenção.', 'Redução da taxa de mortalidade prematura (30 a 69 anos) por doenças crônicas não transmissíveis (DCNT), como doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas.', 'Investimentos em políticas públicas que fomentem a prática da atividade física e do exercício físico como componente importante no combate de doenças.']","A SES-AM executou mais de R$ 3,4 bilhões em ações e serviços públicos de saúde em 2020, sendo R$ 929.276.671,29 acima do mínimo constitucional de recursos próprios aplicados em saúde.",False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Amazonas,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento detalha a Programação Anual de Saúde 2022 e inclui diversas iniciativas voltadas à saúde da pessoa idosa. Isso abrange a elaboração de uma linha de cuidado específica, o incentivo à participação em cursos de atenção integral ao idoso para profissionais de saúde, a capacitação para o correto preenchimento da Caderneta de Saúde da Pessoa Idosa, e treinamento em cuidados paliativos para idosos. Além disso, prevê a revitalização e qualificação dos Centros de Atenção Integral à Saúde do Idoso (CAIMI
’s), incluindo sua habilitação como Centros Especializados em Reabilitação (CER II) com atendimento ambulatorial especializado e a manutenção da fisioterapia pós-COVID. Também há menção a ações de preparação para aposentadoria de servidores da saúde, em coordenação com a área de Pessoa Idosa.","['Elaborar proposta para a implementação da Linha de Cuidado da Saúde do Idoso.', 'Incentivar a participação dos profissionais de saúde no curso EAD ""Atenção Integral à Saúde da Pessoa Idosa"".', 'Capacitar profissionais da Atenção Básica e do NASF para o correto preenchimento da Caderneta de Saúde da Pessoa Idosa.', 'Capacitar profissionais da Atenção Básica e do NASF em Cuidados Paliativos para a pessoa idosa.', 'Revitalizar e qualificar os Centros de Atenção Integral à Saúde do Idoso (CAIMI\n’s) da Rodrigues Viana, André Araújo e Paulo Lima.', 'Habilitar os CAIMI\n’s como Centros Especializados em Reabilitação (CER II) com ambulatório especializado.', 'Manter a oferta de Fisioterapia pós-COVID com o Projeto Respirar nos CAIMI\n’s.', 'Realizar ações de preparação para aposentadoria dos servidores da saúde em coordenação com a Coordenação da Pessoa Idosa.', 'Reduzir a taxa de mortalidade prematura (30 a 69 anos) por DCNT (doenças do aparelho circulatório, câncer, diabetes, respiratórias crônicas), impactando também a população idosa.', 'Ampliar exames de mamografia em mulheres de 50 a 69 anos.', 'Implantar serviços de referência em diagnóstico e tratamento de mama.', 'Definir carteira de serviços de atendimento a pessoas com doenças crônicas.', 'Manter contratos para assistência aos nefropatas crônicos.']","O documento apresenta um total geral de despesas com saúde de R$ 2.875.042.000,00 para 2022. Especificamente, para a ""Operacionalização dos Serviços Especializados de Média Complexidade das Policlínicas, CAIC
’s e CAIMI
’s"", que inclui ações voltadas para os idosos (CAIMI
’s), o valor financeiro programado é de R$ 22.412.000,00.",False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\Plano de Saúde\2024.pdf,2024.pdf,Amazonas,Estadual,N/A (Estado),Plano de Saúde,2024,success,True,"O documento apresenta um panorama da saúde da pessoa idosa no Amazonas, com dados demográficos e de mortalidade por faixa etária (60-79 e 80+ anos) em diversas DSEIs. Destaca-se que a população idosa representa 6,47% da população atendida pelo DSEI Manaus. Em 2022, a hipertensão essencial foi a principal causa básica de óbitos por causas naturais na população idosa no DSEI Manaus, representando 87% das mortes nessa faixa etária por essa causa. As doenças do aparelho circulatório e os sintomas, sinais e achados anormais de exames clínicos e de laboratório (CID-10 Capítulos IX e XVIII, respectivamente) são apontados como causas de óbito prevalentes entre os idosos em algumas regiões. A análise sugere a necessidade de reforçar a atenção primária à saúde para o manejo de doenças crônicas nessa população. Não foram identificadas menções específicas a investimentos ou Instituições de Longa Permanência para Idosos (ILPI).","['Fortalecimento da atenção primária à saúde para manejo e prevenção de doenças crônicas como a hipertensão em idosos.', 'Aumento da quantidade de profissionais médicos para melhor assistência e definição das causas de óbitos em territórios indígenas.', 'Sensibilização para o uso contínuo da medicação para doenças crônicas, e não apenas na presença de sintomas.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Amazonas\Municipal\ALVARÃES\Programação Anual de Saúde\2020.pdf,2020.pdf,Amazonas,Municipal,ALVARÃES,Programação Anual de Saúde,2020,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Amazonas,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento 'Programação Anual de Saúde SUSAM 2021' detalha o planejamento de saúde para o estado do Amazonas. No que tange à saúde da pessoa idosa, o plano prevê o apoio técnico para a implementação de ações de saúde nos ciclos de vida específicos para idosos em 62 municípios. Há um enfoque na operacionalização do Serviço de Atenção Domiciliar – Programa Melhor em Casa, que inclui a contratação de equipes multiprofissionais e o treinamento de cuidadores, visando realizar 40.000 atendimentos domiciliares. Uma iniciativa central é a revitalização e qualificação dos três Centros de Atenção Integral à Melhor Idade (CAIMI's) – Ada Rodrigues Viana, André Araújo, e Paulo Lima –, que envolve a reestruturação de seus perfis assistenciais, habilitação como Centros Especializados em Reabilitação (CER II) com ambulatório e oferta de serviços de Fisioterapia pós-COVID. O plano também aborda a redução da mortalidade prematura por doenças crônicas não transmissíveis e a implementação de linhas de cuidado para condições como pé diabético, obesidade (com protocolo de cirurgia bariátrica) e sequelas de COVID-19, que são de relevância para a população idosa.","['Realizar apoio técnico para a implementação das ações de saúde nos ciclos de vida: saúde do idoso (em 62 municípios)', 'Contratar Pessoa Jurídica para prestação de serviços por equipes multiprofissionais de saúde para atender aos usuários da atenção domiciliar - Programa Melhor em Casa em Manaus', 'Qualificar e treinar cuidadores em Atenção Domiciliar (meta de 50 cuidadores treinados)', 'Realizar atendimentos no domicílio através do Programa Melhor em Casa (meta de 40.000 atendimentos)', ""Reestruturação do perfil assistencial dos Centros de Atenção Integral a Melhor Idade (CAIMI's) Ada Rodrigues Viana, André Araújo, Paulo Lima (meta de 3 unidades estruturadas)"", ""Habilitar CAIMI's como CER II com ambulatório especializado (meta de 1 serviço habilitado)"", ""Ofertar serviços de Fisioterapia pós COVID nos CAIMI's (meta de 2 unidades de atendimento)"", 'Implementar a linha de cuidado para a pessoa com pé diabético com funcionamento do aplicativo de referência e contra referência nas unidades de saúde', 'Implantar o fluxo de Linha de Cuidado da Obesidade e protocolo da cirurgia bariátrica', 'Implantar fluxo assistencial para atender o paciente crônico de sequelas de covid na Rede Assistencial de Saúde na Atenção Básica, Intermediária e Alta Complexidade']","O orçamento total previsto para a saúde em 2021 é de R$ 2.677.811.000,00. Desse total, R$ 1.244.728.000,00 estão alocados para o programa 'SAÚDE EM REDE', que abrange diversas ações de atenção à saúde, incluindo aquelas voltadas para a pessoa idosa e doenças crônicas. Além disso, R$ 72.403.000,00 são destinados à 'ESTRUTURA SUS' para investimentos em infraestrutura.",False,N/A,[]
Documentos_saude_Brasil\Amazonas\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Amazonas,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento Programação Anual de Saúde SUSAM 2020 descreve o planejamento e as atividades da Secretaria de Estado de Saúde do Amazonas. Para a saúde da pessoa idosa, o programa prevê apoio técnico e institucional para a implantação e implementação de ações específicas dentro da Atenção Primária e Ações Estratégicas para os Municípios. Há um foco no aprimoramento e operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas, incluindo a criação de linhas de cuidado para condições como pé diabético e a definição de carteiras de serviços. Adicionalmente, o programa detalha a operacionalização do Serviço de Atenção Domiciliar (Programa Melhor em Casa), com a implantação de protocolos, formação de equipes, contratação de serviços e realização de atendimentos em domicílio. Metas relacionadas à redução da mortalidade prematura por DCNT em pessoas de 30 a 69 anos e à ampliação de exames de mamografia em mulheres de 50 a 69 anos também são citadas, beneficiando a população idosa.","['Apoio técnico e institucional para implantação e implementação das ações de saúde da pessoa idosa (no contexto de Atenção Primária e Ações Estratégicas para os Municípios).', 'Aprimoramento e operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas, incluindo a implementação de linhas de cuidado e a definição de carteira de serviços.', 'Operacionalização do Serviço de Atenção Domiciliar (Programa Melhor em Casa), com implantação de protocolos e equipes, contratação de serviços e realização de atendimentos domiciliares.', 'Redução da taxa de mortalidade prematura (de 30 a 69 anos) por doenças crônicas não transmissíveis (DCNT).', 'Ampliação da razão de exames de mamografia em mulheres de 50 a 69 anos.']","O orçamento total da LOA 2020 é de R$ 2.631.936.000,00. Dentro deste, o programa ""SAÚDE EM REDE"", que abrange ações relevantes para a saúde do idoso, tem um orçamento de R$ 1.297.266.000,00. Especificamente, a ""Operacionalização da Rede de Atenção à Saúde das Pessoas com Doenças Crônicas"" conta com R$ 57.025.000,00 e a ""Operacionalização do Serviço de Atenção Domiciliar"" com R$ 5.074.000,00.",False,N/A,[]
