caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Ceará\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Ceará,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Ceará,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Ceará,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,False,"O documento é uma resolução que aprova a Programação Anual de Saúde (PAS) 2022 da Secretaria de Saúde do Estado do Ceará, com o objetivo de anualizar as metas do Plano Estadual de Saúde e prever a alocação de recursos. Não há menções específicas sobre o planejamento ou execução de ações voltadas para a saúde do idoso.",[],"O documento menciona a alocação de recursos orçamentários e a transferência de recursos federais para ações e serviços públicos de saúde em geral, conforme a Portaria nº 3.992, de 28 de dezembro de 2017. Não especifica valores ou destinações para a saúde do idoso.",False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Ceará,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,False,N/A,[],"O documento prevê a alocação de recursos orçamentários e a transferência de recursos federais para as ações e serviços públicos de saúde, conforme a Portaria nº 3.992, de 28 de dezembro de 2017.",False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Ceará,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,False,"O documento fornecido, a Programação Anual de Saúde - PAS 2023 do SUS no Ceará, não contém informações específicas ou objetivos detalhados relacionados à saúde da pessoa idosa. As metas e ações apresentadas abordam a saúde de forma geral, abrangendo diversas faixas etárias e condições, mas não há um foco explícito ou seções dedicadas à população idosa, nem menção a instituições de longa permanência para idosos (ILPIs).",[],N/A,False,N/A,[]
Documentos_saude_Brasil\Ceará\Municipal\ABAIARA\Plano de Saúde\2019.pdf,2019.pdf,Ceará,Municipal,ABAIARA,Plano de Saúde,2019,success,True,"O Plano de Saúde para a região do Brejo Santo, município de Abaiara - CE, com período de 2018-2021, aborda a saúde do idoso na DIRETRIZ N° 3, que visa a Garantia da Atenção Integral à Saúde da pessoa idosa e dos portadores de doenças crônicas, com estímulo ao envelhecimento ativo e fortalecimento das ações de promoção e prevenção. O objetivo principal relacionado é o de Ampliar a cobertura vacinal contra influenza, com a meta de alcançar 95% de imunização da população idosa a cada ano no período de 2018 a 2021.","['Ampliar a cobertura vacinal contra influenza para a população idosa', 'Garantia da Atenção Integral à Saúde da pessoa idosa e dos portadores de doenças crônicas', 'Estímulo ao envelhecimento ativo e fortalecimento das ações de promoção e prevenção']",N/A,False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\RAG\2020.pdf,2020.pdf,Ceará,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão de 2020 do SUS no Ceará apresenta dados demográficos detalhados da população, incluindo faixas etárias de 60 a 69 anos, 70 a 79 anos e 80 anos ou mais. O documento também descreve as principais causas de morbidade hospitalar e mortalidade no estado, como doenças do aparelho circulatório, neoplasias e doenças respiratórias, que são de alta relevância para a saúde da população idosa. No entanto, não são explicitamente detalhadas ações, programas ou metas específicas voltadas exclusivamente para a saúde da pessoa idosa ou para Instituições de Longa Permanência para Idosos (ILPI). O planejamento e execução focam em diretrizes gerais do SUS, como a atenção básica e a rede de atenção a condições crônicas, que indiretamente beneficiam esta faixa etária. Não há informações sobre o alcance de metas relacionadas especificamente à saúde do idoso.",[],"O Relatório Anual de Gestão de 2020 do SUS no Ceará detalha que o recurso total utilizado para bancar as despesas de saúde foi de R$ 4.316.311.139,08, distribuído por subfunção. Não há menção a valores ou recursos financeiros especificamente destinados à saúde da pessoa idosa ou a Instituições de Longa Permanência para Idosos (ILPI).",False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Ceará,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"A Programação Anual de Saúde (PAS) 2024 do Ceará inclui a Meta 1.2.5, que visa ampliar a proporção de idosos com avaliação multidimensional na atenção primária para 10% até 2027. Para alcançar essa meta, estão planejadas ações como o monitoramento do indicador de idosos com avaliação multidimensional, a elaboração de Notas Técnicas com orientações sobre a avaliação multidimensional na Atenção Primária à Saúde (APS), a realização de oficinas com regiões de saúde para desenvolver estratégias de ampliação dessa avaliação, e o desenvolvimento das oficinas de planificação da atenção à saúde como parte do Projeto Movimenta APS, visando qualificar os processos de trabalho da APS e integrar com a AEE.","['Monitorar o indicador de proporção de idosos com avaliação multidimensional da pessoa idosa realizada na atenção primária.', 'Elaborar Nota Técnica com orientações acerca da avaliação multidimensional da pessoa idosa na APS.', 'Realizar Oficinas com regiões de saúde voltadas ao desenvolvimento de estratégias para a ampliação da avaliação multidimensional da pessoa idosa na APS.', 'Desenvolver as oficinas da planificação da atenção à saúde como eixo do Projeto do Movimenta APS, com o objetivo de qualificar os processos de trabalho da APS promovendo integração com a AEE.']","O documento menciona um valor de R$ 16.016.052,00* associado à ação 20657 (Apoio financeiro para promoção da atenção primária), que é um recurso destinado prioritariamente para os eixos do Projeto Movimenta APS. Este projeto inclui ações relacionadas à qualificação dos processos de trabalho da Atenção Primária à Saúde para ampliação da avaliação multidimensional da pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Ceará\Municipal\ABAIARA\Programação Anual de Saúde\2020.pdf,2020.pdf,Ceará,Municipal,ABAIARA,Programação Anual de Saúde,2020,success,True,"A Programação Anual de Saúde (PAS) de Abaiara para 2020 inclui a Diretriz 3, que foca na 'Garantia da Atenção Integral à Saúde da pessoa idosa e dos portadores de doenças crônicas, com estímulo ao envelhecimento ativo e fortalecimento das ações de promoção e prevenção'. Uma das metas específicas citadas sob esta diretriz é a ampliação da cobertura vacinal contra influenza para esta população.",['Ampliar a cobertura vacinal contra influenza'],"O documento menciona que a Programação Anual de Saúde (PAS) 2020 apresenta os valores da Lei Orçamentária Anual (LOA) 2020 e discute a alocação de recursos orçamentários para as ações do SUS em geral, incluindo fontes de financiamento para infraestrutura e equipamentos. Não são detalhados valores financeiros específicos ou recursos exclusivos destinados às ações de saúde da pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Ceará\Estadual\RAG\2021.pdf,2021.pdf,Ceará,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de 2021 para o estado do Ceará apresenta dados demográficos detalhados para a população idosa em 2020, com 620.361 pessoas entre 60 e 69 anos, 372.201 entre 70 e 79 anos, e 190.495 com 80 anos ou mais. O documento também destaca que 66,0% dos óbitos por COVID-19 em 2021 ocorreram em indivíduos com 60 anos ou mais. Uma ação executada mencionada que pode beneficiar a população idosa é a implantação da ""Casa de Cuidados do Ceará"", que oferece 130 leitos para reabilitação humanizada, adaptação de sequelas pós-COVID-19, desospitalização de pacientes com AVC, trauma e cuidados paliativos.","['População estimada por faixa etária (60 a 69 anos, 70 a 79 anos, 80 anos e mais)', 'Mortalidade por COVID-19 em pessoas com 60 anos ou mais', 'Implantação da Casa de Cuidados do Ceará']",N/A,False,N/A,[]
