caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Espírito_Santo\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Espírito_Santo,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Espírito_Santo,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Espírito_Santo,Estadual,N/A (Estado),Plano de Saúde,2020,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Plano de Saúde\2024.pdf,2024.pdf,Espírito_Santo,Estadual,N/A (Estado),Plano de Saúde,2024,success,True,"O Plano Estadual de Saúde – PES 2024-2027 do Governo do Estado do Espírito Santo, Secretaria da Saúde, aborda a saúde da pessoa idosa ao estabelecer a meta de alcançar 40% de avaliação multidimensional realizada na população de 60 anos e mais. O plano também prevê a habilitação de 60 leitos de cuidados prolongados em todas as regiões de saúde e o aumento para 90% da ocupação das vagas do Programa Estadual de Atenção Domiciliar, ambas as ações sendo de grande relevância e benefício para a população idosa.","['Alcançar 40% de avaliação multidimensional realizada na população de 60 anos e mais.', 'Habilitar 60 leitos de cuidados prolongados em todas as regiões de saúde.', 'Aumentar para 90% a ocupação das vagas do Programa Estadual de Atenção Domiciliar.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Espírito_Santo,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O planejamento para a saúde do idoso no SUS-ES para 2024 foca em alcançar 40% de avaliação multidimensional na população de 60 anos ou mais. As ações incluem a divulgação e capacitação para o uso da Caderneta de Saúde da Pessoa Idosa como instrumento de registro longitudinal e multidimensional, a confecção e distribuição desta caderneta para toda a população acima de 60 anos, o fomento e assessoramento da implantação da Avaliação Multidimensional em 100% dos municípios visando atingir 40% da população idosa até 2027, e a articulação para a implementação de um sistema com a ficha de avaliação multidimensional do idoso.","['Alcançar 40% de avaliação multidimensional realizada na população de 60 anos e mais, conforme IBGE.', 'Divulgar e capacitar quanto ao uso da Caderneta de Saúde da Pessoa Idosa, através de: oficinas de sensibilização; Reuniões com a áreas técnicas dos municípios; capacitações sobre a utilização das cadernetas, como instrumento de registro longitudinal multidimensional da pessoa idosa.', 'Confeccionar e distribuir a Caderneta de Saúde da Pessoa Idosa para os municípios para que atendam toda população a partir de 60 anos de idade.', 'Fomentar e assessorar a implantação da Avaliação Multidimensional em 100% dos municípios, atingindo até 2027 40% da população idosa, utilizando como instrumento principal a caderneta da pessoa idosa.', 'Articular junto ao MS e a GTI a Implementação de um sistema contendo a ficha de avaliação multidimensional da pessoa idosa.']","O documento menciona R$ 500.000,00 para oficinas de sensibilização e capacitações sobre a utilização das cadernetas de saúde da pessoa idosa; R$ 800.000,00 para confecção e distribuição da Caderneta de Saúde da Pessoa Idosa para atender toda a população a partir de 60 anos de idade; e R$ 100.000,00 para o fomento e assessoramento da implantação da Avaliação Multidimensional.",False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Espírito_Santo,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento do SUS para 2022 detalha ações e objetivos para a saúde, com algumas menções à saúde da pessoa idosa. Especificamente, o plano prevê a implantação e manutenção de um Centro oftalmológico que ofertará assistência ambulatorial, cirurgias eletivas e atendimentos de urgência e emergência para idosos, além de crianças e adultos. Adicionalmente, o plano foca na sensibilização da atenção básica para identificar e combater situações de violência contra populações vulneráveis, incluindo os idosos, abordando diversas formas de violência como negligência, abandono, maus tratos e exploração. Não foram encontradas menções a Instituições de Longa Permanência para Idosos (ILPI) ou investimentos financeiros específicos para a saúde do idoso.","['Implantação e manutenção de Centro oftalmológico para crianças, adultos e idosos ofertando assistência ambulatorial, cirurgias eletivas e atendimentos de urgência e Emergência.', 'Sensibilização da atenção básica para identificar situações de violência na população mais vulnerável e de interesse do Ministério (criança, adolescentes, mulheres, idosos, população LGBT, portadores de transtornos, indígenas) tais como: negligencia (vacina, alimentação, deambulação de acamados, higiene, escola, entre outros), abandono, maus tratos, violência doméstica, violência e ou exploração sexual, inclusive gravidez em menores de 14 anos, violência física, lesão autoprovocada, trabalho inf']",N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Espírito_Santo,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O Plano de Saúde 2020-2023 do Espírito Santo, em seu resumo da Programação Anual de Saúde para 2021, aborda a saúde do idoso de forma integrada a outras ações de saúde. O planejamento inclui a implantação e manutenção de Centro oftalmológico com assistência ambulatorial, cirurgias eletivas e atendimentos de urgência e emergência para idosos. Há também uma ênfase na sensibilização da atenção básica para identificar e combater situações de violência e negligência que afetam populações vulneráveis, incluindo os idosos. Além disso, o plano prevê a implantação de equipes do Programa Melhor em Casa para atenção domiciliar e a criação de leitos de Cuidados Prolongados, iniciativas que beneficiam diretamente a população idosa. O documento detalha os investimentos gerais em subfunções como Assistência Hospitalar e Ambulatorial e Suporte Profilático e Terapêutico, que englobam a execução dessas ações.","['Implantação e manutenção de Centro oftalmológico para crianças, adultos e idosos ofertando assistência ambulatorial, cirurgias eletivas e atendimentos de urgência e Emergência.', 'Sensibilização da atenção básica para identificar situações de violência e negligência em populações vulneráveis, incluindo idosos.', 'Implantar 30 equipes de atendimento do Programa Melhor em Casa - Atenção Domiciliar, em parceria com os municípios e com co-financiamento estadual.', 'Implantar 335 leitos de Cuidados Prolongados nas Regiões de Saúde.']","O documento apresenta dados de despesas por subfunção da saúde, que incluem áreas relevantes para a saúde do idoso. Na subfunção 'Assistência Hospitalar e Ambulatorial', há um total de R$ 1.561.275.411,00 em despesas correntes e R$ 4.851.600,00 em despesas de capital. Para a subfunção 'Suporte Profilático e Terapêutico', há um total de R$ 150.650.400,00 em despesas correntes.",False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Espírito_Santo,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento planeja a implantação de 335 leitos de cuidados prolongados nas regiões de saúde até 2023, com 135 desses leitos sendo habilitados na Região Metropolitana, visando expandir a infraestrutura de cuidados contínuos que podem beneficiar a população idosa.","['Implantar 335 leitos de Cuidados Prolongados nas Regiões de Saúde', 'Habilitar 135 novos leitos de cuidados prolongados na Região Metropolitana']",N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Municipal\AFONSO_CLÁUDIO\Plano de Saúde\2022.pdf,2022.pdf,Espírito_Santo,Municipal,AFONSO_CLÁUDIO,Plano de Saúde,2022,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Municipal\AFONSO_CLÁUDIO\Programação Anual de Saúde\2020.pdf,2020.pdf,Espírito_Santo,Municipal,AFONSO_CLÁUDIO,Programação Anual de Saúde,2020,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\RAG\2022.pdf,2022.pdf,Espírito_Santo,Estadual,N/A (Estado),RAG,2022,success,True,"O Relatório Anual de Gestão de 2022 do SUS no Espírito Santo destaca uma transformação demográfica, com um crescente adensamento da população idosa (acima de 60 anos). Em termos de ações planejadas e executadas para a saúde do idoso, o documento menciona a implantação e manutenção de um Centro Oftalmológico que oferece assistência ambulatorial, cirurgias eletivas e atendimentos de urgência e emergência para crianças, adultos e idosos. Além disso, há uma ação de sensibilização da atenção básica para identificar situações de violência em populações vulneráveis, incluindo idosos. Os dados demográficos de 2021 e 2022 indicam o total de pessoas nas faixas etárias de 60-64, 65-69, 70-74, 75-79, 80-84, 85-89 e 90+ anos, refletindo o crescimento dessa parcela da população.","['Implantação e manutenção de Centro oftalmológico para crianças, adultos e idosos ofertando assistência ambulatorial, cirurgias eletivas e atendimentos de urgência e Emergência.', 'Sensibilização da atenção básica para identificar situações de violência na população mais vulnerável e de interesse do Ministério (criança, adolescentes, mulheres, idosos, população LGBT, portadores de transtornos, indígenas)']","O documento detalha a execução do orçamento de 2022, com despesas empenhadas no montante de R$ 2.659.229.390,08 para ações e serviços públicos de saúde, sendo 15,65% provenientes de recursos próprios. Investimentos específicos incluem R$ 317 milhões para a construção de 111 novas Unidades Básicas de Saúde, R$ 23,5 milhões para 89 veículos de transporte sanitário e R$ 7,2 milhões para reforma, ampliação e equipamentos da Maternidade de São Mateus. Não foram encontrados valores financeiros ou recursos especificamente alocados para a saúde do idoso ou ILPIs.",False,N/A,[]
Documentos_saude_Brasil\Espírito_Santo\Estadual\RAG\2020.pdf,2020.pdf,Espírito_Santo,Estadual,N/A (Estado),RAG,2020,success,True,"O relatório de gestão do SUS no Espírito Santo para 2020 destaca um cenário de envelhecimento populacional, com 14,32% da população com mais de 60 anos e um índice de envelhecimento de 70,18 idosos para cada 100 jovens. A expectativa de vida no estado atingiu 79,1 anos em 2019. As principais causas de morbidade e mortalidade incluem doenças do aparelho circulatório e neoplasias. Em resposta a essas necessidades, foram implementadas ações como o ""Programa Melhor em Casa - Atenção Domiciliar"" em 7 municípios. Houve também a proposta de implantação de 335 leitos de Cuidados Prolongados, embora sua aprovação ainda estivesse pendente. Residentes do programa multiprofissional de Cuidados Paliativos atuam no Centro de Referência de Atendimento ao Idoso (CRAI) em Vitória, contribuindo para o cuidado da pessoa idosa. A pandemia de COVID-19 impactou algumas ações de rotina, como o rastreamento de câncer.","['Implantação do Programa Melhor em Casa - Atenção Domiciliar em 7 municípios', 'Proposta de implantação de 335 leitos de Cuidados Prolongados', 'Atuação de residentes do programa multiprofissional de Cuidados Paliativos no Centro de Referência de Atendimento ao Idoso (CRAI)']",N/A,False,N/A,[]
