caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Goías\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Goías,Estadual,N/A (Estado),Plano de Saúde,2020,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Goías\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Goías,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento, que se trata da Programação Anual de Saúde de Goiás para 2024, menciona a Política Nacional de Saúde da Pessoa Idosa (PNSPI) na lista de siglas e acrônimos. Contudo, não detalha ações específicas planejadas ou executadas exclusivamente para a saúde da pessoa idosa ao longo das seções de programação e metas.",[],N/A,False,N/A,[]
Documentos_saude_Brasil\Goías\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Goías,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O Instrumento de Planejamento do SUS de 2022 inclui ações focadas na saúde da pessoa idosa. Especificamente, planeja-se promover o uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos (Ação nº 1.2.2.1) e fomentar iniciativas de promoção e prevenção da saúde da população idosa e masculina na Atenção Primária em 18 regiões de saúde (Ação nº 1.2.2.2). Além disso, o plano prevê a realização de 60 inspeções em Instituições de Longa Permanência para Idosos (ILPIs) como parte das ações de controle sanitário (Ação nº 6.4.1.22).","['Promover o uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos.', 'Fomentar iniciativas de promoção e prevenção da saúde da população idosa e masculina na APS nas 18 regiões de saúde.', 'Realizar 60 (sessenta) inspeções nas Instituições de longa permanência para idosos (ILPIs).']","O documento menciona um investimento de R$ 10.000,00 para a ação de promoção do uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos (Ação nº 1.2.2.1). Para as demais ações relacionadas à saúde do idoso ou ILPIs, não há valores financeiros específicos mencionados.",True,"O documento planeja a realização de 60 (sessenta) inspeções nas Instituições de Longa Permanência para Idosos (ILPIs), conforme a Ação nº 6.4.1.22. Não há menção sobre metas alcançadas para esta ação específica no documento fornecido.",[]
Documentos_saude_Brasil\Goías\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Goías,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento do SUS, em seu Instrumento de Planejamento do ano de 2020, planeja a promoção e prevenção da saúde da população idosa. Especificamente, prevê a promoção do uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos e o fomento de iniciativas de promoção e prevenção da saúde para a população idosa e masculina em 39 municípios prioritários nas Regiões de Saúde (Oeste 1, Oeste 2, São Patrício 1 e São Patrício 2). Além disso, estão previstas 30 inspeções em Instituições de Longa Permanência para Idosos (ILPIs).","['Promover o uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos.', 'Fomentar iniciativas de promoção e prevenção da saúde da população idosa e masculina na APS em 39 municípios prioritários (Regional Oeste 1, Oeste 2, São Patrício 1 e São Patrício 2).', 'Realizar 30 (trinta) inspeções nas Instituições de longa permanência para idosos (ILPIs).']",N/A,True,O documento prevê a realização de 30 inspeções em Instituições de Longa Permanência para Idosos (ILPIs) como parte das ações de controle sanitário de produtos e serviços.,[]
Documentos_saude_Brasil\Goías\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Goías,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento Programação Anual de Saúde 2025 de Goiás inclui o planejamento de campanhas publicitárias para prevenção e combate à violência contra a pessoa idosa. Não foram detalhadas outras ações ou investimentos específicos para a saúde do idoso, nem menções a ILPIs.","['Realização de campanhas publicitárias de Prevenção ao Combate ao Abuso e Exploração Sexual de Crianças e Adolescentes, Violência contra a Pessoa Idosa e Violência contra a Mulher.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Goías\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Goías,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O instrumento de planejamento do SUS detalha ações voltadas à saúde da pessoa idosa. Isso inclui a promoção do uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos, o fomento a iniciativas de promoção e prevenção da saúde para a população idosa e masculina na Atenção Primária à Saúde em 18 regiões, e a realização de 30 inspeções em Instituições de Longa Permanência para Idosos (ILPIs).","['Promover o uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos.', 'Fomentar iniciativas de promoção e prevenção da saúde da população idosa e masculina na APS nas 18 regiões de saúde.', 'Realizar 30 (trinta) inspeções nas Instituições de longa permanência para idosos (ILPIs).']",N/A,True,Foi planejada a realização de 30 inspeções em Instituições de Longa Permanência para Idosos (ILPIs).,[]
Documentos_saude_Brasil\Goías\Estadual\RAG\2020.pdf,2020.pdf,Goías,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão do SUS de Goiás para 2020 detalha a população por faixa etária, indicando 872.699 indivíduos com 60 anos ou mais. Embora não cite ações ou investimentos específicos para a saúde do idoso, o documento estabelece metas para a redução da morbimortalidade por Doenças e Agravos Não Transmissíveis (DANTs) e o aumento do acompanhamento de pacientes com Diabetes Mellitus (DM), condições prevalentes nessa faixa etária. Não há menções a Instituições de Longa Permanência para Idosos (ILPI) ou valores financeiros dedicados exclusivamente à saúde do idoso.",[],N/A,False,N/A,[]
Documentos_saude_Brasil\Goías\Estadual\RAG\2021.pdf,2021.pdf,Goías,Estadual,N/A (Estado),RAG,2021,success,True,"O relatório apresenta dados demográficos da população idosa, com detalhamento por faixas etárias (60 a 69 anos, 70 a 79 anos e 80 anos e mais), incluindo dados por sexo. Houve menção à desmistificação de teorias conspiratórias sobre vacinas que alegavam que os imunizantes são feitos para 'matar idosos'. No planejamento, são citadas ações que impactam a saúde da pessoa idosa, como a meta de atingir a razão de exames de rastreamento de mama em mulheres de 50 a 69 anos, com 24% da meta alcançada. Também é apresentada a redução da taxa de Mortalidade Prematura (de 30 a 69 anos) por Doenças Crônicas Não Transmissíveis (DCNT), com 96% da meta alcançada. O documento ainda detalha o acompanhamento de pacientes com Diabetes Mellitus (77,71% da meta alcançada) e Hipertensão (94,11% da meta alcançada) na Atenção Primária, ações que beneficiam diretamente a população idosa. Os investimentos gerais na saúde incluem mais de R$ 10,5 bilhões desde 2019, abrangendo custeio de programas, serviços, construção de unidades, aumento de leitos e repasses, com R$ 1.372.728.618,00 específicos para o combate à COVID-19.","['Atingir a razão de exames de rastreamento de mama na faixa etária de 50 a 69 anos, com 24% da meta alcançada.', 'Redução da taxa de Mortalidade Prematura (de 30 a 69 anos) pelo conjunto das 4 principais DCNT, com 96% da meta alcançada.', 'Acompanhamento de pacientes portadores de Diabetes Mellitus na Atenção Básica, com 77,71% da meta alcançada.', 'Acompanhamento de pacientes portadores de Hipertensão na Atenção Primária, com 94,11% da meta alcançada.']","O Governo de Goiás investiu mais de R$ 10,5 bilhões desde 2019 no custeio de programas e serviços de saúde, construção de unidades, aumento do número de leitos, obras, repasses aos municípios, convênios e contratos, além da ampliação da linha de frente para combater a pandemia de coronavírus. Especificamente para o combate ao coronavírus, foram investidos R$ 1.372.728.618,00.",False,N/A,[]
Documentos_saude_Brasil\Goías\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Goías,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"A Programação Anual de Saúde 2023 do SUS no Estado de Goiás inclui ações relevantes para a saúde da pessoa idosa. As iniciativas focam no fomento à promoção e prevenção da saúde na atenção primária para a população idosa, na expansão e fortalecimento dos Serviços de Atenção Domiciliar (SADs) visando a desospitalização, e na realização de inspeções em Instituições de Longa Permanência para Idosos (ILPIs).","['Fomentar iniciativas de promoção e prevenção da saúde da população idosa e masculina na Atenção Primária de Saúde (APS) nas 18 regiões de saúde (Ação 1.2.2.1).', 'Propor e articular atividades estratégicas que viabilizem a expansão dos Serviços de Atenção Domiciliar (SADs) e o fortalecimento no processo de desospitalização no estado de Goiás (Ação 1.11.3.1).', 'Realizar 60 inspeções nas Instituições de Longa Permanência para Idosos (ILPIS) (Ação 6.4.1.22).']","O documento menciona um investimento de R$ 10.000,00 para o fomento de iniciativas de promoção e prevenção da saúde da população idosa e masculina (Ação 1.2.2.1), e R$ 20.700,00 para atividades estratégicas de expansão e fortalecimento dos Serviços de Atenção Domiciliar (SADs) e desospitalização (Ação 1.11.3.1).",True,"O documento cita as Instituições de Longa Permanência para Idosos (ILPIS) na lista de siglas e detalha, na Ação 6.4.1.22, que serão realizadas 60 inspeções nessas instituições em 2023. Não se trata de um Relatório Anual de Gestão (RAG), portanto, não há informações sobre metas alcançadas.",[]
Documentos_saude_Brasil\Goías\Estadual\RAG\2022.pdf,2022.pdf,Goías,Estadual,N/A (Estado),RAG,2022,success,True,"O documento apresenta dados demográficos da população idosa (60 a 69 anos, 70 a 79 anos e 80 anos e mais). Para a saúde do idoso, foram planejadas ações como a promoção do uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos e o fomento de iniciativas de promoção e prevenção da saúde da população idosa e masculina na Atenção Primária à Saúde. Além disso, serão realizadas 60 inspeções em Instituições de Longa Permanência para Idosos (ILPIs) como parte do controle sanitário.","['Promover o uso da Caderneta de Saúde da Pessoa Idosa em 80% dos municípios goianos.', 'Fomentar iniciativas de promoção e prevenção da saúde da população idosa e masculina na APS nas 18 regiões de saúde.', 'Realizar 60 (sessenta) inspeções nas Instituições de longa permanência para idosos (ILPIs).']",N/A,True,O documento planeja realizar 60 inspeções em Instituições de Longa Permanência para Idosos (ILPIs) como parte do controle sanitário.,[]
Documentos_saude_Brasil\Goías\Municipal\ABADIA_DE_GOIÁS\Programação Anual de Saúde\2020.pdf,2020.pdf,Goías,Municipal,ABADIA_DE_GOIÁS,Programação Anual de Saúde,2020,success,True,"O documento planeja garantir a atenção integral à saúde da pessoa idosa e dos portadores de doenças crônicas, com estímulo ao envelhecimento ativo e fortalecimento das ações de promoção e prevenção. O objetivo é conquistar a longevidade, permitindo que a população idosa (acima de 60 anos) viva com a máxima qualidade possível. A meta é aumentar a cobertura da população idosa, garantindo atendimento continuado. As ações incluem aumentar a cobertura de atenção, realizar acompanhamento pela caderneta do idoso, atualizar o esquema vacinal, efetivar ações de prevenção de agravos, recuperação e reabilitação, identificar idosos com doenças crônicas e sinais de risco, promover ações educativas e incentivar o uso correto de medicamentos e hábitos saudáveis.","['Aumentar a cobertura de atenção à pessoa idosa', 'Fazer o acompanhamento através da caderneta do Idoso', 'Atualizar o esquema vacinal', 'Efetivar ações de prevenção de agravos, recuperação e reabilitação da saúde.', 'Fazer uma identificação dos idosos segundo doenças crônicas e sinais de risco.', 'Promover ações educativas nestes seguimentos.', 'Promover o uso correto de medicamentos de uso continuo e promover hábitos saudáveis nesta faixa etária.']",N/A,False,N/A,[]
