caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Maranhão\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Maranhão,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"A Programação Anual de Saúde - 2024 do SUS planeja ações para fortalecer a saúde do idoso no Maranhão. No Objetivo 1.1, Meta 1.1.3 foca em apoiar municípios para desenvolver ações na Política de Saúde do Adulto e Idoso. As atividades incluem a formação de cuidadores para a pessoa idosa em parceria com a Fiocruz e a Escola de Saúde Pública do Maranhão, a realização de Avaliação Multidimensional (AMD) por macrorregião para estratificar riscos de saúde do idoso conforme a Política Nacional da Pessoa Idosa, e o acompanhamento de municípios no desenvolvimento de planos e monitoramento das ações das Políticas da Saúde da Pessoa Idosa. Os critérios de priorização para essas ações incluem a sensibilização de municípios para a Linha de Cuidado de Atenção à Saúde do Idoso e a estratificação da Pessoa Idosa por meio da Avaliação Multidimensional.","['Apoiar os municípios no desenvolvimento de ações de fortalecimento da Política de Saúde do Adulto e Idoso', 'Realizar Curso de Formação de Cuidadores da Pessoa Idosa', 'Realizar Avaliação Multidimensional (AMD) por macrorregião, conforme preconiza a Política Nacional da Pessoa Idosa', 'Acompanhar e apoiar institucionalmente os municípios no desenvolvimento de planos de intervenções e instrumentos de avaliação e monitoramento das ações propostas pelas Políticas da Saúde Integral do Homem a partir dos Ciclos de Vida, da Saúde da Pessoa Idosa', 'Construção da Linha de Cuidado de Atenção à Saúde do Homem e Saúde do Idoso', 'Estratificação da Pessoa Idosa através da Avaliação Multidimensional']","O Programa 0597 - Atenção Primária e Vigilância em Saúde, que abrange as ações relacionadas à saúde do idoso, tem um valor de Lei Orçamentária Anual 2024 (LOA) de R$ 54.218.488.",False,N/A,[]
Documentos_saude_Brasil\Maranhão\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Maranhão,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento descreve a Programação Anual de Saúde para 2021, destacando o fortalecimento da Atenção Primária, que inclui a 'Política de Saúde do Adulto e Idoso'. Para a saúde da pessoa idosa, estão previstas ações como a realização de um 'III Fórum estadual sobre envelhecimento e saúde da pessoa idosa (Geriatria e Gerontologia do Maranhão)', 'Mobilizações sociais' com foco na população idosa, e 'Apoio institucional aos municípios' com cursos de capacitação para equipes da Atenção Básica atuarem como multiplicadoras na saúde da pessoa idosa.","['01 III Fórum estadual sobre envelhecimento e saúde da pessoa idosa (Geriatria e Gerontologia do Maranhão)', '04 Mobilizações sociais (Hipertensão e Diabetes, Tabaco, Idoso e Homem)', 'Monitoramentos, Apoio institucional aos municípios (Consultórios Habilitados e Curso de Capacitação de Equipes da Atenção Básica como Multiplicadoras sobre a Saúde da Pessoa Idosa/HCOR)']","As ações para a saúde da pessoa idosa estão integradas à 'Política de Atenção Primária' (Ação 4913). Os recursos financeiros totais para a Ação 4913 em 2021 são de R$ 1.253.000,00 (R$ 1.228.000,00 da Fonte 108 e R$ 25.000,00 da Fonte 121). Além disso, essas ações também serão executadas com recursos do superávit financeiro (fonte 308). Não é possível desagregar o valor exato destinado exclusivamente para a saúde do idoso dentro deste programa mais amplo.",False,N/A,[]
Documentos_saude_Brasil\Maranhão\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Maranhão,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, uma Programação Anual de Saúde 2023 do Governo do Maranhão, detalha ações e metas para a saúde no estado. No que tange à saúde da pessoa idosa, o planejamento inclui o apoio aos municípios para desenvolver ações voltadas para a Política de Saúde do Adulto e Idoso. Especificamente, prevê a qualificação de profissionais da Atenção Primária em Saúde sobre a Política Nacional de Saúde da Pessoa Idosa (8 qualificações), a realização de um Fórum Estadual sobre Envelhecimento e Saúde da Pessoa Idosa (Geriatria e Gerontologia) para as 19ª Regiões de Saúde na APS (1 fórum), e o monitoramento e apoio institucional aos municípios, incluindo o curso de capacitação de equipes da Atenção Primária como multiplicadores sobre a Saúde da Pessoa Idosa e o apoio às mobilizações sociais para a Saúde da Pessoa Idosa. Além disso, há menção à realização de seminários sobre uso de plantas medicinais para a ""melhor idade"" (19 seminários).","['Qualificar os profissionais da Atenção Primária em Saúde sobre a Política Nacional de Saúde da Pessoa Idosa.', 'IV Fórum Estadual sobre Envelhecimento e Saúde da Pessoa Idosa (Geriatria e Gerontologia) para as 19ª Regiões de Saúde na APS.', 'Monitoramentos e Apoio institucional aos Municípios (Consultórios Habilitados do Tratamento do Consultório do Fumante, Saúde Integral do Homem e Curso de Capacitação de Equipes da Atenção Primária como Multiplicadores sobre a Saúde da Pessoa Idosa/ Projeto Dgero Brasil, parceria com a Universidade de São Carlos, Previne Brasil: Indicadores de Hipertensão e Diabetes Mellitus);', 'Apoiar os municípios nas Mobilizações Sociais (Controle da Hipertensão Arterial e Diabetes Mellitus, Saúde do Homem, Saúde da Pessoa idosa e Controle do Tabagismo).', 'Realizar Seminários sobre uso de plantas medicinais da pediatria e melhor idade.']","O documento não especifica um valor de investimento dedicado exclusivamente à saúde da pessoa idosa. As ações relacionadas à saúde do idoso estão inseridas em programas mais amplos, como a ""4913 Política de Atenção Primária"", cujo investimento total é de R$1.530.874,00, sem detalhamento específico para a população idosa. Portanto, não é possível quantificar o investimento direto para este público.",False,N/A,[]
Documentos_saude_Brasil\Maranhão\Estadual\RAG\2021.pdf,2021.pdf,Maranhão,Estadual,N/A (Estado),RAG,2021,success,True,"O Estado do Maranhão, por meio da Secretaria Estadual de Saúde (SES), em 2021, realizou diversos investimentos e ações visando a melhoria dos indicadores de saúde e da qualidade de vida da população idosa. Uma iniciativa chave foi o apoio aos municípios no desenvolvimento de ações para a Política de Saúde do Adulto e Idoso, alcançando 100% de cobertura para os 217 municípios planejados. Isso incluiu a implementação do 'Projeto Viver Mais' com foco no cuidado integral da Hipertensão Arterial e Diabetes Mellitus, campanhas de conscientização sobre Hipertensão e um seminário de prevenção ao Tabagismo. Adicionalmente, foi conduzido um 'Curso de Formadores de Cuidadores de Idosos/Fiocruz' para planejar ações informativas para idosos no contexto pós-pandemia, e o 'II Fórum de Gerontologia do Estado do Maranhão' foi realizado em São Luís e Imperatriz. Campanhas como 'Novembro Azul' e 'Dia Estadual da Pessoa Idosa' também foram promovidas. Em termos de infraestrutura, a 'Policlínica do Idoso' em São Luís foi estabelecida para oferecer atendimento ambulatorial especializado, incluindo geriatria, e o 'Centro do Idoso' e 'Policlínica do Idoso' em Imperatriz forneceram serviços especializados e exames de alta complexidade para a população idosa.","['Apoiar os municípios a desenvolverem ações voltadas para a Política de Saúde do Adulto e Idoso (Meta 1.1.3)', 'Implementação do Projeto Viver Mais voltados para o Cuidado Integral no Controle da Hipertensão Arterial e Diabetes Mellitus', 'Campanha de Conscientização sobre a Hipertensão Arterial', 'Seminário de prevenção ao Tabagismo', 'Oficina de Planejamento, Diagnóstico e Metodologia do Projeto Viver Mais', 'Curso de Formadores de Cuidadores de Idosos/Fiocruz: planejamento de ações Informativas voltadas para pessoas Idosas no contexto pós pandêmicos', 'Realização do II Fórum de Gerontologia do Estado do Maranhão', 'Campanhas sobre novembro Azul', 'Campanha sobre o Dia Estadual da Pessoa Idosa', 'Ampliação da rede hospitalar e ambulatorial nas regiões (referência à Policlínica do Idoso)', 'Estabelecimento e operação da Policlínica do Idoso em São Luís', 'Estabelecimento e operação do Centro do Idoso em Imperatriz', 'Estabelecimento e operação da Policlínica do Idoso em Imperatriz']",N/A,False,N/A,[]
Documentos_saude_Brasil\Maranhão\Estadual\RAG\2020.pdf,2020.pdf,Maranhão,Estadual,N/A (Estado),RAG,2020,success,True,"O relatório destaca os esforços do estado para apoiar os municípios no desenvolvimento de ações voltadas à Política de Saúde do Adulto e Idoso. Foram lançados protocolos para Hipertensão Arterial Sistêmica e Diabetes Mellitus na Atenção Primária, com treinamento de profissionais. Realizou-se uma reunião técnica para regiões específicas, focando no cuidado integral e autocuidado para pacientes diabéticos e hipertensos, bem como seus cuidadores. Um Documento Orientador para Cuidados da Pessoa Idosa na Pandemia do COVID-19 foi distribuído para os 217 municípios. Houve também a distribuição de insulinas e medicamentos para controle do tabagismo.","['Apoiar os municípios a desenvolverem ações voltadas para a Política de Saúde do Adulto e Idoso', 'Web lançamento dos Protocolos da Hipertensão Arterial Sistêmica e Diabetes Mellitus na Atenção Primaria em Saúde', 'Curso dos Protocolos da Hipertensão Arterial Sistêmica e Diabetes Mellitus na Atenção Primaria em Saúde para qualificar os profissionais da Estratégia da Saúde da Família', 'Reunião Técnica para as regiões de Balsas, Presidente Dutra, Santa Inês com a representante da SBD relacionado ao Projeto O cuidado integral e o auto cuidado para apoiar o paciente diabético e hipertenso e ao cuidador', 'Lançamento do Documento Orientador para Cuidados da Pessoa Idosa na Pandemia do COVID 19 para os 217 municípios', 'Distribuição de insulinas nos municípios', 'Distribuição de medicamentos do Controle do Tabagismo para Tratamento do Fumante nos 217 municípios']",N/A,True,"O documento menciona que profissionais da Força Estadual de Saúde (FESMA) atuaram no enfrentamento da COVID-19, incluindo a assistência a grupos vulneráveis como populações indígenas, quilombolas e instituições de longa permanência. Esta ação visou fortalecer a vigilância, testagem e assistência a essas populações.",[]
Documentos_saude_Brasil\Maranhão\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Maranhão,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"A Programação Anual de Saúde de 2022 do Maranhão detalha as ações, metas e indicadores para a saúde. No que concerne à saúde do idoso, o documento foca no apoio aos municípios para o desenvolvimento de ações específicas da Política de Saúde do Adulto e Idoso. Isso inclui a capacitação de equipes de Saúde da Família para o cuidado integral de hipertensão e diabetes, e, de forma mais direta, a realização de oficinas de capacitação para o uso da Caderneta da Pessoa Idosa na Atenção Primária em Saúde, visando a avaliação multidimensional.","['Apoiar os municípios a desenvolverem ações voltadas para a Política de Saúde do Adulto e Idoso', 'Realizar Oficinas de Capacitação das Equipes de Saúde da Família no Cuidado Integral ao Controle da Hipertensão Arterial e Diabetes Mellitus', 'Realizar Oficinas de Capacitação para o uso da Caderneta da Pessoa Idosa na Atenção Primária em Saúde (Avaliação Multidimensional)']","O documento apresenta um investimento total projetado de R$ 3.112.878.000,00 para a Programação Anual de Saúde de 2022. As ações específicas para a Política de Saúde do Adulto e Idoso, inseridas na Política de Atenção Primária, têm um investimento total de R$ 1.300.000,00 (Fonte 108) e R$ 2.177.479,00 (Fonte 121).",False,N/A,[]
Documentos_saude_Brasil\Maranhão\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Maranhão,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento ""Programação Anual de Saúde - 2025"" do Governo do Maranhão detalha o planejamento para a saúde do idoso, visando o fortalecimento da Política de Saúde do Adulto e Idoso. As ações planejadas incluem a elaboração da primeira etapa para a construção de Linhas de Cuidado específicas para a Política da Pessoa Idosa e o Controle da Hipertensão Arterial Sistêmica e Diabetes Mellitus. Além disso, serão realizados seminários de qualificação profissional com foco em Avaliação Multidimensional, Violência, Promoção e Prevenção de Quedas da Pessoa Idosa nas macrorregiões de saúde. O plano prevê também o acompanhamento e apoio institucional aos municípios para o desenvolvimento e monitoramento de planos de ação relacionados à Saúde da Pessoa Idosa, controle de hipertensão arterial, diabetes mellitus e tabagismo. Os critérios de priorização para essas ações consideram a sensibilização dos municípios para a criação de Linhas de Cuidado e a estratificação da pessoa idosa por avaliação multidimensional.","['Elaborar primeira etapa para a construção das Linhas de Cuidado voltadas à Política da Pessoa Idosa e Controle da Hipertensão Arterial Sistêmica e Diabetes Mellitus.', 'Realizar 03 Seminários de qualificação profissional na Avaliação Multidimensional, Violência, Promoção e Prevenção de Quedas da Pessoa Idosa para as macrorregiões de saúde.', 'Acompanhar e apoiar institucionalmente os municípios no desenvolvimento de plano de ação e instrumentos de avaliação e monitoramento das ações propostas pelas Políticas da Saúde Integral do Homem a partir dos Ciclos de Vida, da Saúde da Pessoa Idosa, do Controle da Hipertensão Arterial, Diabetes Mellitus e Programa do Controle do Tabagismo.']","O programa ""Fortalecimento da Política de Atenção Primária – Cuidar de Todos"" (PPA Ação 4913), que engloba as iniciativas de saúde do idoso, possui um valor orçamentário de R$ 47.912.900,00 para o ano de 2025. O valor total estimado para a Programação Anual de Saúde 2025 é de R$ 4.492.356.081,00.",False,N/A,[]
Documentos_saude_Brasil\Maranhão\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Maranhão,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento, que apresenta a Programação Anual de Saúde para o exercício de 2020, inclui planos para apoiar os municípios no desenvolvimento de ações voltadas à Política de Saúde do Adulto e Idoso. As iniciativas planejadas incluem mobilizações sociais focadas na saúde da pessoa idosa, bem como monitoramento e apoio institucional aos municípios, com ênfase em consultas qualificadas e capacitação das equipes de Atenção Básica sobre a saúde do idoso. Adicionalmente, há previsão para a criação e fortalecimento de grupos específicos para idosos.","['Apoiar os municípios a desenvolverem ações voltadas para a Política de Saúde do Adulto e Idoso', '04 Mobilizações Sociais (Hipertensão e Diabetes, Tabaco, Idoso e Homem)', 'Monitoramentos, Apoio institucional aos municípios (Consultórios Habilitados e Curso de Capacitação de Equipes da Atenção Básica como multiplicadoras sobre a Saúde da Pessoa Idosa/ HCOR)', 'Criação/Fortalecimento de Grupos de Idosos']","O documento não detalha um valor de investimento específico e exclusivo para a saúde da pessoa idosa. No entanto, são mencionados recursos financeiros para programas mais amplos que incluem ações voltadas a esse público, como a 'POLÍTICA DE ATENÇÃO PRIMÁRIA' (Ação 4913) com um total de R$ 14.843.605,00 (combinando Fonte 121: R$ 13.378.765,00 e Fonte 108: R$ 1.464.840,00) e a 'FORÇA ESTADUAL DE SAÚDE' (Ação 4841) com R$ 18.100.000,00 (Fonte 121).",False,N/A,[]
Documentos_saude_Brasil\Maranhão\Municipal\AFONSO_CUNHA\Programação Anual de Saúde\2021.pdf,2021.pdf,Maranhão,Municipal,AFONSO_CUNHA,Programação Anual de Saúde,2021,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Maranhão\Municipal\AFONSO_CUNHA\Programação Anual de Saúde\2022.pdf,2022.pdf,Maranhão,Municipal,AFONSO_CUNHA,Programação Anual de Saúde,2022,success,False,N/A.,[],N/A,False,N/A,[]
