caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,False,N/A.,[],"Valores financeiros mencionados incluem R$ 6.562,50 para o Fundo Municipal de Saúde de Aquidauana, R$ 10.959,50 para o Fundo Municipal de Saúde de Camapua, R$ 1.470.957,00 para o Fundo Municipal de Saúde de Campo Grande e R$ 6.562,50 para o Fundo Municipal de Saúde de Coxim, referentes a empenhos e anulações autorizados em setembro de 2023.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,False,N/A.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\RAG\2021.pdf,2021.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de 2021 de Mato Grosso do Sul destaca esforços na saúde pública, especialmente no enfrentamento da COVID-19, com foco na promoção da saúde. Em 2021, a população idosa (60 anos ou mais) totalizava 384.247 habitantes. As ações planejadas incluíram a coordenação e implementação de medidas para a Saúde Integral da Pessoa Idosa e a oferta de teleconsultas, que abrangeram a especialidade de geriatria, superando a meta geral de teleconsultas em 115,8%.","['Executar 100% das ações programadas em políticas de saúde prioritárias com vistas à garantia da promoção da Atenção Primária à Saúde (vigilância alimentar e nutricional, saúde bucal, saúde da criança, da mulher, do homem, do adolescente, idoso, população privada de liberdade, além das diversidades, inclusive de gênero e sociais)', 'SAÚDE DO IDOSO - Coordenar e implementar as ações para promoção e prevenção de Saúde Integral da Pessoa Idosa', 'Realização de cursos de atualização para cuidadores de idosos de instituições de longa permanência nas Macrorregiões de Campo Grande, Dourados, Três Lagoas e Corumbá para dezesseis turmas com até 25 alunos cada.', 'Oferta de teleconsultas na especialidade de geriatria.']","O total desembolsado (pago) para a saúde em 2021 foi de R$2.003.157.494,31. Não foram detalhados valores de investimento específicos para a saúde da pessoa idosa ou ILPIs.",True,"O documento menciona a 'Realização de cursos de atualização para cuidadores de idosos de instituições de longa permanência nas Macrorregiões de Campo Grande, Dourados, Três Lagoas e Corumbá para dezesseis turmas com até 25 alunos cada'. Não há menção específica sobre o quanto da meta foi alcançada para esta ação particular.",[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento, que é a Programação Anual de Saúde 2021 de Mato Grosso do Sul, planeja a execução de 100% das ações em políticas de saúde prioritárias no âmbito da Atenção Primária à Saúde, as quais explicitamente incluem a população idosa. Especificamente, prevê a coordenação e implementação de ações para a promoção e prevenção da Saúde Integral da Pessoa Idosa.","['Executar 100% das ações programadas em políticas de saúde prioritárias com vistas à garantia da promoção da Atenção Primária à Saúde (vigilância alimentar e nutricional, saúde bucal, saúde da criança, da mulher, do homem, do adolescente, idoso, população privada de liberdade, além das diversidades, inclusive de gênero e sociais)', 'SAÚDE DO IDOSO - Coordenar e implementar as ações para promoção e prevenção de Saúde Integral da Pessoa Idosa']","A Meta 1.1.8, que abrange as ações de promoção da Atenção Primária à Saúde para diversas populações, incluindo a idosa, tem um investimento geral programado de R$ 35.495.800,00. Desse total, R$ 35.118.300,00 são de recurso estadual programado e R$ 377.500,00 de outras fontes.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento 'Programação Anual de Saúde 2022' do SUS em Mato Grosso do Sul, sob a Diretriz 1 ('Garantir ações de Promoção à Saúde, por meio do fortalecimento e integração da Atenção Primária e da Vigilância em Saúde'), prevê a execução de 100% das ações programadas em políticas de saúde prioritárias que incluem a população idosa. Especificamente, planeja-se coordenar e implementar ações de prevenção de agravos e promoção da Saúde Integral da Pessoa Idosa, além de realizar ações de educação permanente voltadas ao envelhecimento saudável no Estado.","['Executar 100% das ações programadas em políticas de saúde prioritárias com vistas à garantia da promoção da Atenção Primária à Saúde, incluindo o idoso.', 'Coordenar e implementar as ações para de prevenção de agravos e promoção da Saúde Integral da Pessoa Idosa.', 'Realizar ações de educação permanente quanto ao envelhecimento saudável no Estado.']","Para a Meta 8, que abrange a execução de ações programadas em políticas de saúde prioritárias (incluindo a saúde do idoso), o investimento total geral programado é de 43.759.000,00, sendo 43.103.000,00 de Recurso Estadual e 656.000,00 de Outras Fontes. Não há um investimento financeiro específico detalhado apenas para as ações dedicadas à saúde do idoso, pois elas estão integradas a metas mais amplas.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\RAG\2022.pdf,2022.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),RAG,2022,success,True,"O Relatório Anual de Gestão 2022 do SUS em Mato Grosso do Sul apresenta dados demográficos da população idosa, com 218.073 pessoas entre 60-69 anos, 112.763 entre 70-79 anos e 53.411 com 80 anos ou mais. Para a saúde do idoso, o relatório planeja coordenar e implementar ações de prevenção de agravos e promoção da Saúde Integral da Pessoa Idosa, além de realizar ações de educação permanente sobre o envelhecimento saudável. Também está previsto o apoio à construção de um Hospital do Idoso na capital do Estado, que servirá como referência estadual para essa linha de cuidado.","['Coordenar e implementar as ações para de prevenção de agravos e promoção da Saúde Integral da Pessoa Idosa (Ação Nº 15 - SAÚDE DO IDOSO)', 'Realizar ações de educação permanente quanto ao envelhecimento saudável no Estado (Ação Nº 16 - SAÚDE DO IDOSO)', 'Apoiar a construção do Hospital do Idoso na capital do Estado, como referência estadual de atenção a esta linha de cuidado (Ação Nº 12 - INVESTIMENTO)']","O documento menciona o apoio à construção de um Hospital do Idoso na capital do Estado, como um investimento, mas não especifica valores financeiros.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento 'PROPOSTA PROGRAMAÇÃO ANUAL DE SAÚDE 2023' detalha as diretrizes e metas para a saúde no estado de Mato Grosso do Sul. Em relação à saúde da pessoa idosa, a Meta 1.1.8 da Diretriz 1, Objetivo 1.1, prevê a execução de 100% das ações programadas em políticas de saúde prioritárias para a garantia da Atenção Primária à Saúde, incluindo explicitamente a saúde do idoso. Além disso, uma ação específica (Ação Programada 10) é dedicada à 'SAÚDE DO IDOSO', visando capacitar profissionais da gestão e assistência para a implementação da Política Nacional de Saúde da Pessoa Idosa, com foco na promoção da saúde e prevenção de agravos nos municípios.","['Executar 100% das ações programadas em políticas de saúde prioritárias com vistas à garantia da promoção da Atenção Primária à Saúde (vigilância alimentar e nutricional, saúde bucal, saúde da criança, da mulher, do homem, do adolescente, idoso, população privada de liberdade, além das diversidades, inclusive de gênero e sociais)', 'Capacitar os profissionais da gestão e da assistência para a implementação da Política Nacional de Saúde da Pessoa Idosa nos municípios do estado, com ênfase nas ações de promoção da saúde e prevenção de agravos.']","O total geral programado para a Programação Anual de Saúde 2023 é de R$ 2.169.414.100,00. A Meta 1.1.8, que abrange a saúde do idoso entre outras políticas prioritárias, tem um investimento total geral programado de R$ 51.364.000,00. Especificamente para a ação de capacitação de profissionais na 'SAÚDE DO IDOSO' (Ação Programada 10), o investimento total geral programado é de R$ 102.000,00.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\RAG\2020.pdf,2020.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão de 2020 para Mato Grosso do Sul destaca uma crescente tendência de envelhecimento da população, com a previsão de que o número de cidadãos com 65 anos ou mais aumente de 228.536 em 2018 para 779.365 em 2060. Em resposta a essa mudança demográfica, a gestão da saúde do estado planeja priorizar ações voltadas à prevenção de agravos por causas externas e ao enfrentamento das condições crônicas associadas ao envelhecimento, o que demandará serviços de alta complexidade. Adicionalmente, o estado compromete-se a executar 100% das ações programadas em políticas de saúde prioritárias, incluindo aquelas direcionadas à promoção da Atenção Primária à Saúde para a população idosa, abrangendo vigilância alimentar e nutricional, saúde bucal e outras diversidades.","['Priorizar ações para um cenário de aumento na prevalência dos agravos por causas externas e os decorrentes do envelhecimento da população, especialmente os relacionados às condições crônicas, com reflexo direto na demanda por serviços mais onerosos como os atendimentos em alta complexidade.', 'Executar 100% das ações programadas em políticas de saúde prioritárias com vistas à garantia da promoção da Atenção Primária à Saúde (vigilância alimentar e nutricional, saúde bucal, saúde da criança, da mulher, do homem, do adolescente, idoso, população privada de liberdade, além das diversidades, inclusive de gênero e sociais).']","O gasto total em Ações e Serviços Públicos de Saúde (ASPS) em 2020 foi de R$ 1.759.710.224,84. Desse montante, R$ 1.564.962.126,80 corresponde à despesa empenhada com Recursos Estaduais, representando 14,38% do índice de aplicação. Adicionalmente, R$ 279.770.109,32 foram gastos em ações de prevenção, contenção, combate e mitigação da pandemia de COVID-19, utilizando Recursos Estaduais (R$141.271.135,78), Recursos da Lei Complementar 173/20 (R$91.487.405,51), Recursos Diretamente Arrecadados (R$97.951,32) e Recursos Federais Fundo a Fundo (R$46.913.616,71).",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\RAG\2024.pdf,2024.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),RAG,2024,success,True,"O documento descreve o Relatório Anual de Gestão de 2024 da Secretaria de Estado de Saúde de Mato Grosso do Sul (SES-MS). Um objetivo chave para a população idosa é fomentar a promoção da saúde e a rede de suporte social. As ações planejadas incluem a implementação do 'Programa MS Viver +' em duas Regiões de Saúde, com foco em ferramentas tecnológicas digitais para promover a saúde e o bem-estar dos idosos. A 'Política estadual de Atenção à Saúde da Pessoa Idosa' foi instituída. Há também um esforço para qualificar profissionais de saúde nas principais demandas epidemiológicas de pessoas com mais de 60 anos.","['Fomentar a promoção da saúde para a população idosa e rede de suporte social.', 'Implantar e implementar o Programa MS Viver + em 02 Regiões de Saúde.', 'Garantia das ferramentas tecnológicas digitais para desenvolvimento do Projeto Viver +, cujo objetivo é promover a saúde e o bem estar das pessoas idosas e de sua rede de suporte social.', 'Instituir a Política estadual de Atenção à Saúde da Pessoa Idosa.', 'Qualificação dos profissionais de saúde nas principais demandas epidemiológicas das pessoas acima de 60 anos.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Estadual\RAG\2023.pdf,2023.pdf,Mato_Grosso_do_Sul,Estadual,N/A (Estado),RAG,2023,success,True,"O Relatório Anual de Gestão 2023 do SUS em Mato Grosso do Sul, no âmbito das políticas de saúde prioritárias, planejou e executou ações para a saúde do idoso. Especificamente, houve a capacitação de profissionais de gestão e assistência para a implementação da Política Nacional de Saúde da Pessoa Idosa nos municípios do estado, com foco na promoção da saúde e prevenção de agravos. A meta geral de execução das ações programadas em políticas de saúde prioritárias, que inclui a saúde do idoso, foi atingida em 100%.","['Capacitar os profissionais da gestão e da assistência para a implementação da Política Nacional de Saúde da Pessoa Idosa nos municípios do estado, com ênfase nas ações de promoção da saúde e prevenção de agravos.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Municipal\ALCINÓPOLIS\Programação Anual de Saúde\2020.pdf,2020.pdf,Mato_Grosso_do_Sul,Municipal,ALCINÓPOLIS,Programação Anual de Saúde,2020,success,True,"A Programação Anual de Saúde (PAS) 2020 do município de Alcinópolis, na Diretriz 5, foca na garantia da atenção integral à saúde da pessoa idosa e dos portadores de doenças crônicas. O objetivo é a melhoria das condições de saúde do idoso através da qualificação da gestão e das redes de atenção. As ações planejadas incluem a implantação de atividades socioeducativas e a promoção de hábitos alimentares e estilos de vida saudáveis para a pessoa idosa.","['Implantar atividade sócia educativa com a pessoa idosa.', 'Promover e estimular a alimentação e estilo de habito saudável.', 'Reduzir taxa de mortalidade prematura (<70 anos) por doenças crônicas não transmissíveis DCNT – tais como: doenças do aparelho circulatório, câncer, diabetes e outras.']","O orçamento total previsto para a saúde em 2020 é de R$ 7.382.563,00, distribuídos entre programas como Fortalecimento da Atenção Básica (R$ 3.051.283,49), Assistência Médica, Hospitalar, Ambulatorial e Farmacêutica à comunidade (R$ 384.350,00), Atenção Mac Ambulatorial e Hospitalar (R$ 3.027.580,00), Investimentos na rede de serviços de Saúde (R$ 439.000,00) e Fortalecimento da Vigilância em Saúde (R$ 480.350,00). Não há valores específicos detalhados para as ações diretas voltadas à saúde do idoso dentro das metas.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso_do_Sul\Municipal\ALCINÓPOLIS\Plano de Saúde\2019.pdf,2019.pdf,Mato_Grosso_do_Sul,Municipal,ALCINÓPOLIS,Plano de Saúde,2019,success,True,"O Plano Municipal de Saúde de Alcinópolis para 2018-2021 foca na saúde do idoso através de um programa de controle de doenças crônico-degenerativas, que inclui tratamento, manutenção, consultas básicas e acesso a exames laboratoriais. Há uma meta de vacinar 80% dos idosos, com estratégias de descentralização dos postos de vacinação e busca ativa. O plano também se propõe a apoiar o envelhecimento saudável e garantir 100% de acesso dos idosos aos serviços de saúde, com parcerias, incluindo o Centro de Convivência do Idoso.","['Programa de controle de doenças crônico-degenerativas para idosos', 'Oferta de tratamento e manutenção de doenças crônico-degenerativas', 'Disponibilização de consultas básicas e acesso a laboratório local e de referência', 'Meta de vacinar 80% dos idosos', 'Estratégias de descentralização dos postos de vacinação para locais de maior aglomeração de idosos', 'Busca ativa de idosos faltantes para vacinação', 'Apoio ao envelhecimento saudável', 'Garantia de 100% de acesso dos idosos ao Serviço de Saúde', 'Parceria com o Centro de Convivência do Idoso']",N/A,False,N/A,[]
