caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Mato_Grosso\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Mato_Grosso,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,False,O documento é uma resolução do Conselho Estadual de Saúde de Mato Grosso que aprova o Plano de Trabalho Anual (PTA) da Secretaria de Estado de Saúde para o exercício de 2021. Não há menção específica ou detalhamento de planos ou execuções relacionadas à saúde da pessoa idosa neste documento.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Mato_Grosso,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Mato_Grosso,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento descreve ações planejadas pelo SUS para a saúde da pessoa idosa, incluindo a realização de Capacitação em Saúde do Idoso, uma Oficina de Medicamentos - Saúde da Pessoa Idosa (com elaboração e execução de projeto), e a oferta de uma Especialização em Gerontologia.","['Realizar Capacitação em Saúde do Idoso', 'Realizar Oficina de Medicamentos - Saúde da Pessoa Idosa (Elaboração do projeto e execução)', 'Realizar Especialização em Gerontologia']","R$ 4.800,00 para Bolsa hora aula para a Oficina de Medicamentos - Saúde da Pessoa Idosa. R$ 22.659,00 para Diárias fora do Estado e R$ 42.000,00 para Bolsa Desenvolvimento para a Especialização em Gerontologia.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Mato_Grosso,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento descreve ações focadas na saúde da pessoa idosa, incluindo a coordenação de um Curso de Aperfeiçoamento em Saúde do Idoso com Enfoque na Saúde Mental, e a realização de capacitações específicas para a saúde do idoso. Além disso, prevê o desenvolvimento de projetos de extensão intergeracionais que englobam crianças e idosos. Há também menção à unidade 'Lar Doce Lar' do CIAPS Adauto Botelho, que provê moradia assistida para pacientes com múltiplas deficiências e transtornos mentais.","['Coordenação do Curso de Aperfeiçoamento em Saúde do Idoso com Enfoque na Saúde Mental', 'Realizar Capacitação em Saúde do Idoso', 'Realizar Projetos de Extensão Intergeracional (Criança e Idoso)']","Foi alocado um total de R$1.422.000,00 para a execução das ações assistenciais do projeto terapêutico da unidade Lar Doce Lar. Adicionalmente, foram previstos R$4.224,00 para Obrigações Patronais relacionadas à capacitação em saúde do idoso e R$22.164,00 para projetos de extensão intergeracional (Criança e Idoso).",True,"O documento menciona a unidade 'Lar Doce Lar' do CIAPS Adauto Botelho, que oferece atendimento a pacientes com múltiplas deficiências e transtornos mentais em regime de moradia assistida. Não há metas de alcance citadas para essa unidade.",['Lar Doce Lar']
Documentos_saude_Brasil\Mato_Grosso\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Mato_Grosso,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento, um Instrumento de Planejamento do SUS, contém uma menção específica à saúde da pessoa idosa. Está prevista a 'Realização de Capacitação em Saúde do Idoso - EAD' como parte das ações de fortalecimento da atenção ambulatorial especializada e hospitalar, inserida na política de educação permanente em saúde. Não foram encontradas menções a Instituições de Longa Permanência para Idosos (ILPIs) ou asilos.",['Realizar Capacitação em Saúde do Idoso - EAD'],"O documento cita um investimento de R$ 9.600,00 para a ação 'Realizar Capacitação em Saúde do Idoso - EAD'.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Mato_Grosso,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O Instrumento de Planejamento do SUS apresenta diversas ações planejadas para a saúde da pessoa idosa. Isso inclui a realização de uma 'Capacitação em Saúde do Idoso', uma 'Oficina de Medicamentos - Saúde da Pessoa idosa' e uma 'Oficina de educação física e atenção a saúde da pessoa idosa'. Além disso, o documento prevê a execução de 'Projetos de extensão intergeracional (criança e idoso)' com o objetivo de abordar a saúde do idoso de forma abrangente.","['Capacitação em Saúde do Idoso', 'Oficina de Medicamentos - Saúde da Pessoa idosa', 'Oficina de educação física e atenção a saúde da pessoa idosa', 'Projetos de extensão intergeracional (criança e idoso)']","O documento detalha investimentos de R$ 34.176,00 para 'Capacitação em Saúde do Idoso', R$ 6.344,00 para 'Oficina de Medicamentos - Saúde da Pessoa idosa', R$ 12.288,00 para 'Oficina de educação física e atenção a saúde da pessoa idosa' e R$ 23.364,00 para 'Projetos de extensão intergeracional (criança e idoso)'.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Mato_Grosso,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O plano de ação para 2020-2023, no âmbito da Atenção Primária, prevê a análise territorial para identificar grupos populacionais de risco para COVID-19, com menção explícita a idosos. O documento também aborda a necessidade de estabelecer mecanismos para mitigar os impactos sociais e psicológicos da pandemia em populações vulneráveis, incluindo asilos, através da articulação com instituições comunitárias para ações de apoio.","['Enfatizar a análise territorial para identificar idosos como grupo populacional de risco para o COVID-19 na Atenção Primária.', 'Enfatizar a análise territorial para identificar asilares (em ILPIs) como grupo populacional de risco para o COVID-19 na Atenção Primária.', 'Estabelecer mecanismos para lidar com os impactos econômicos, sociais e psicológicos da pandemia em populações vulneráveis, incluindo asilos.', 'Articular instituições comunitárias para identificação de populações mais vulneráveis (que inclui os asilos) e implantação de ações de apoio.']",N/A,True,"O documento cita 'asilares' e 'asilos' como grupos populacionais e locais de vulnerabilidade para os impactos da pandemia de COVID-19, indicando a necessidade de análise territorial e foco da Atenção Primária nestes grupos, bem como o estabelecimento de mecanismos de apoio através da articulação com instituições comunitárias.",[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\RAG\2021.pdf,2021.pdf,Mato_Grosso,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de 2021 do SUS em Mato Grosso apresenta uma análise abrangente da gestão do sistema de saúde, incluindo dados demográficos que indicam uma população idosa significativa (mais de 413.000 indivíduos com 60 anos ou mais em 2021, com predominância feminina acima dos 80 anos). No entanto, o documento não detalha ações ou programas específicos planejados ou executados exclusivamente para a saúde da pessoa idosa. As iniciativas de saúde descritas, como a redução da mortalidade prematura (com foco em idades entre 30 e 69 anos, excluindo os idosos), a ampliação de cirurgias eletivas, a melhoria da cobertura da Atenção Primária e o acompanhamento de casos pós-COVID-19, são apresentadas como estratégias gerais para a população, sem metas ou indicadores específicos para o grupo etário idoso. O programa 'Melhor em Casa' é citado como uma recomendação para o próximo exercício, podendo beneficiar idosos, mas não como uma ação executada com foco exclusivo neles no período do relatório.",[],"O documento menciona uma previsão de investimento de R$ 105 milhões para o programa 'Mais MT Cirurgias', com o objetivo de reduzir a fila de espera por procedimentos eletivos. Além disso, as despesas totais com saúde executadas pelo Estado em 2021 totalizaram R$ 3.127.977.193,21, sendo R$ 2.561.240.151,76 provenientes de recursos próprios aplicados em Ações e Serviços Públicos de Saúde (ASPS). Não há menção de investimentos específicos para a saúde da pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Estadual\RAG\2020.pdf,2020.pdf,Mato_Grosso,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão 2020 do SUS em Mato Grosso detalha ações de saúde que, embora não exclusivas para a pessoa idosa, impactam diretamente sua saúde. Foi apresentada a população estimada por faixa etária, incluindo idosos. As patologias respiratórias e doenças crônicas não transmissíveis (DCNT), relevantes para a saúde do idoso, foram abordadas com foco em prevenção, diagnóstico precoce e acesso a serviços e medicamentos. A pandemia de COVID-19 resultou na suspensão de cirurgias eletivas e no redirecionamento de atendimentos, afetando a execução do planejamento. Não há menção a instituições de longa permanência para idosos (ILPIs) ou a programas de saúde específicos e exclusivos para essa população.","['Redução da mortalidade prematura por DCNT (Doenças Crônicas Não Transmissíveis) para a faixa etária de 30 a 69 anos.', 'Prevenção, diagnóstico precoce e facilitação do acesso a serviços de saúde e medicamentos essenciais para doenças crônicas.', 'Medidas de prevenção para patologias do aparelho respiratório, incluindo imunização, nutrição e hidratação, que afetam crianças e idosos.', 'Ampliação do acesso à Atenção Primária à Saúde.', 'Suspensão de cirurgias eletivas devido à pandemia de COVID-19.']","O documento menciona um investimento total de R$ 1,18 bilhões em oito eixos da Saúde Estadual, incluindo modernização de hospitais regionais e unidades especializadas. Houve um aporte de R$ 665.867,70 para melhorias estruturais no Centro de Atenção Psicossocial Adauto Botelho (Lar Doce Lar). Além disso, foram investidos R$ 32.438.400,00 para garantir serviços à população mato-grossense, especificamente na criação de novos leitos de UTI (adulto e pediátrico) em resposta à pandemia de COVID-19. Um investimento de aproximadamente R$ 1,2 milhões foi destinado ao Centro de Triagem da COVID-19 na Arena Pantanal. Não há valores financeiros específicos ou exclusivos citados para a saúde da pessoa idosa, mas os investimentos gerais no SUS beneficiam indiretamente essa população.",False,N/A,[]
Documentos_saude_Brasil\Mato_Grosso\Municipal\ACORIZAL\Plano de Saúde\2022.pdf,2022.pdf,Mato_Grosso,Municipal,ACORIZAL,Plano de Saúde,2022,success,False,N/A.,[],N/A,False,N/A,[]
