caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Pará\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Pará,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento, uma Programação Anual de Saúde (PAS) de 2021 para o estado do Pará, aborda a saúde do idoso com metas e ações específicas. O planejamento inclui a redução da taxa de internação hospitalar de pessoas idosas por fratura de fêmur e a instituição da estratificação dos perfis de funcionalidade para o cuidado integral da pessoa idosa. Além disso, o documento tem como objetivo promover o cuidado integral às pessoas em todas as fases da vida, incluindo o idoso, e foca na promoção do envelhecimento saudável.","['Reduzir a Taxa de Internação Hospitalar em pessoas idosas por fratura Fêmur.', 'Instituir a estratificação dos perfis de funcionalidade para fins de cuidado na Atenção Integral à Saúde da pessoa idosa.', 'Promover o cuidado integral às pessoas nos ciclos de vida (criança, adolescente, jovem, adulto e idoso).', 'Promover o envelhecimento saudável.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pará\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Pará,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O documento, um Instrumento de Planejamento do SUS, apresenta metas e diretrizes que impactam a saúde da pessoa idosa. Entre as ações planejadas, destaca-se a meta de ampliar a razão de exames de mamografia em mulheres na faixa etária de 50 a 69 anos de idade, e a redução em 2% da Taxa de Internação Hospitalar em pessoas idosas por fratura de Fêmur. O documento também enfatiza a promoção do cuidado integral à pessoa idosa dentro dos ciclos de vida e a promoção do envelhecimento saudável como parte das diretrizes de saúde.","['Ampliar a razão de exames de mamografia em mulheres de 50 a 69 anos de idade.', 'Reduzir em 2% da Taxa de Internação Hospitalar em pessoas idosas por fratura de Fêmur.', 'Promover o cuidado integral às pessoas nos ciclos de vida (idoso).', 'Promoção do envelhecimento saudável.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pará\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Pará,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, uma Programação Anual de Saúde para 2023 do SUS no Pará, apresenta o planejamento para a saúde do idoso. Um objetivo central é promover o cuidado integral para pessoas em todas as fases da vida, incluindo a população idosa, focando em suas vulnerabilidades e necessidades de saúde específicas. As ações planejadas incluem a realização de ações intersetoriais para fornecer serviços de saúde a populações vulneráveis em áreas metropolitanas, a meta de reduzir em 2% a taxa de internação hospitalar de idosos por fratura de fêmur, e a instituição, junto aos municípios, de um sistema de estratificação dos perfis de funcionalidade para a atenção integral à saúde da pessoa idosa, sob a coordenação da Coordenação Estadual de Saúde do Idoso (CESID).","['Realizar ações intersetoriais, levando serviços de Saúde voltado às Populações e bairros da região metropolitana I com maiores índices de Vulnerabilidade social. políticas Públicas para mulheres, crianças, idosos, adolescentes.', 'Reduzir em 2% da taxa de internação hospitalar em pessoas idosas por fratura de Fêmur.', 'Instituir junto aos municípios a estratificação dos perfis de funcionalidade para fins de cuidado na Atenção Integral à Saúde da pessoa idosa.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pará\Estadual\RAG\2020.pdf,2020.pdf,Pará,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão de 2020 do SUS no Pará focou na saúde da pessoa idosa com a meta de reduzir a taxa de internação hospitalar por fratura de fêmur. A meta era de 20,49% e o resultado alcançado foi de 20,06%, atingindo 97,90% do previsto. As ações incluíram o fortalecimento da atenção primária à saúde (APS) para o idoso, com foco na prevenção de quedas, em consonância com a Política Nacional de Saúde do Idoso (Portaria 2528).","['Redução em 2% da Taxa de Internação Hospitalar em pessoas idosas por fratura Fêmur', 'Instituir junto aos municípios a estratificação dos perfis de funcionalidade para fins de cuidado na Atenção Integral à Saúde da pessoa idosa', 'Fortalecer ações na atenção à saúde do idoso na APS, objetivando a prevenção e promoção da saúde e prevenção de quedas, sendo esta uma das causas de internação da população idosa', 'Política Nacional de Saúde do Idoso (Portaria 2528)']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pará\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Pará,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"A Programação Anual de Saúde (PAS) 2020 do Governo do Estado do Pará inclui o planejamento de ações para a saúde da pessoa idosa. As metas e ações específicas para este grupo etário incluem a redução em 2% da taxa de internação hospitalar de pessoas idosas por fratura de fêmur e a instituição, junto aos municípios, da estratificação dos perfis de funcionalidade para o cuidado na Atenção Integral à Saúde da pessoa idosa. Além disso, o documento ressalta o objetivo de promover o cuidado integral às pessoas em todos os ciclos de vida, incluindo o idoso, e a promoção do envelhecimento saudável.","['Redução em 2% da Taxa de Internação Hospitalar em pessoas idosas por fratura Fêmur', 'Instituir junto aos municípios a estratificação dos perfis de funcionalidade para fins de cuidado na Atenção Integral à Saúde da pessoa idosa', 'Promover o cuidado integral às pessoas nos ciclos de vida (criança, adolescente, jovem, adulto e idoso)', 'Promoção do envelhecimento saudável']","O documento apresenta demonstrativos de programação de despesas por subfunção da saúde, com valores detalhados por fonte de recurso (receita própria, transferências federais e estaduais, convênios, operações de crédito, royalties), totalizando R$ 1.301.785.149,00 para Assistência Hospitalar e Ambulatorial, por exemplo. No entanto, não há menção a valores ou recursos financeiros especificamente destinados ou desagregados para ações voltadas à saúde da pessoa idosa ou ao envelhecimento saudável.",False,N/A,[]
Documentos_saude_Brasil\Pará\Municipal\ABAETETUBA\Plano de Saúde\2019.pdf,2019.pdf,Pará,Municipal,ABAETETUBA,Plano de Saúde,2019,success,True,"O Plano Municipal de Saúde de Abaetetuba 2018-2021 aborda a saúde da pessoa idosa nas Diretrizes 2 e 3, que visam aprimorar as redes de atenção e promover o cuidado integral para todos os ciclos de vida, incluindo o idoso, e reduzir riscos e agravos, promovendo o envelhecimento saudável. O plano prevê a implementação de um programa de saúde do idoso e a instituição de cursos regulares para cuidadores de idosos. Dados demográficos de 2012 indicam que a população idosa (acima de 60 anos) em Abaetetuba era de 10.333 habitantes (7,15%), com predominância feminina. Em 2016, a população idosa (acima de 60 anos) representou a principal ocorrência de mortalidade, com 342 óbitos (55,2% do total), e teve alta incidência de hospitalizações por doenças do aparelho digestivo e mortalidade por doenças circulatórias, respiratórias e neoplasias. Não foram encontradas menções específicas a investimentos financeiros destinados exclusivamente à saúde do idoso ou a Instituições de Longa Permanência para Idosos (ILPIs).","['Implementar o programa saúde do idoso', 'Instituir cursos regulares de cuidadores de idosos']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pará\Municipal\ABAETETUBA\Programação Anual de Saúde\2020.pdf,2020.pdf,Pará,Municipal,ABAETETUBA,Programação Anual de Saúde,2020,success,True,"O Plano Anual de Saúde 2020 do município de Abaetetuba inclui a pessoa idosa em suas diretrizes e objetivos gerais, focando na promoção do cuidado integral para todos os ciclos de vida e na promoção do envelhecimento saudável. Contudo, o documento não detalha ações ou programas específicos exclusivamente voltados para a saúde da pessoa idosa, mas sim abordagens amplas que os englobam junto a outras faixas etárias e grupos populacionais.","['Aprimorar as redes de atenção e promover o cuidado integral às pessoas nos vários ciclos de vida, incluindo o idoso.', 'Reduzir e prevenir riscos e agravos à saúde da população com foco na promoção do envelhecimento saudável.']","O documento informa uma previsão orçamentária total para as ações de saúde de R$ 77.386.034,51 para o ano de 2020, conforme a Lei Orçamentária Anual do município. Não há detalhamento de investimento específico para a saúde da pessoa idosa.",False,N/A,[]
Documentos_saude_Brasil\Pará\Municipal\ABAETETUBA\Programação Anual de Saúde\2021.pdf,2021.pdf,Pará,Municipal,ABAETETUBA,Programação Anual de Saúde,2021,success,True,"A Programação Anual de Saúde 2021 do município de Abaetetuba inclui o cuidado integral à saúde da pessoa idosa, conforme estabelecido na Diretriz 2, que visa aprimorar as redes de atenção e promover o cuidado para os diversos ciclos de vida, incluindo o idoso. A promoção do envelhecimento saudável é um foco explícito, como detalhado na Diretriz 3. Uma ação programada específica para a saúde do idoso é a implantação de um programa de saúde do idoso nas Unidades Básicas de Saúde/Estratégia Saúde da Família (UBS/ESF).","['Aprimorar as redes de atenção e promover o cuidado integral às pessoas nos vários ciclos de vida (criança, adolescente, jovem, adulto e idoso)', 'Promoção do envelhecimento saudável', 'IMPLANTAR PROGRAMA DE SAÚDE DO IDOSO NAS UBS/ESF']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pará\Municipal\ABAETETUBA\Plano de Saúde\2022.pdf,2022.pdf,Pará,Municipal,ABAETETUBA,Plano de Saúde,2022,success,True,"O Plano Municipal de Saúde de Xinguara 2022-2025 reconhece que 8,32% da população é idosa e aborda a necessidade crescente de estratégias para um envelhecimento saudável. O plano visa garantir atenção integral à saúde da pessoa idosa, com ações como campanhas de vacinação (6.846 idosos vacinados contra COVID-19), programas de atividades físicas na Academia da Saúde (hidroginástica para terceira idade, vôlei adaptado), fisioterapia no Centro dos Idosos para maiores de 50 anos, e o programa 'Melhor em Casa' para atendimento domiciliar a idosos. Adicionalmente, são realizados trabalhos educativos com foco na coordenação motora e mental, ações de educação alimentar e nutricional, busca ativa para vacinação de idosos acima de 60 anos (meta de 90% de cobertura), e assistência de saúde bucal para 100% dos idosos acompanhados nas ESFs. O objetivo é também reduzir fraturas de fêmur na população idosa e melhorar sua qualidade de vida.","['Implementação de estratégias para atender adequadamente a demanda do envelhecimento saudável da população', 'Vacinação contra COVID-19 para idosos (6.846 vacinados)', 'Acompanhamento mensal de pacientes com hipertensão e diabetes, incluindo grupos de caminhada, hidroginástica e vôlei adaptado para terceira idade', 'Oferta de hidroginástica para terceira idade na piscina do Centro dos Idosos', 'Sala de Fisioterapia no Centro dos Idosos para pessoas acima de 50 anos', 'Programa 'Melhor em Casa' para atendimento médico domiciliar a idosos', 'Garantia de atenção integral à saúde da pessoa idosa e de pessoas com doenças crônicas não transmissíveis (Objetivo Eixo 1: Atenção Básica)', 'Implementação das Linhas de cuidado na Atenção Básica - Assistência Integral a Saúde do Idoso', 'Realização de trabalhos educativos para a população idosa, com ênfase na coordenação motora e mental', 'Redução do número de idosos com fratura de fêmur (meta)', 'Realização de busca ativa de idosos para campanhas de vacinação contra influenza e outras vacinas do calendário, visando que pelo menos 90% das pessoas acima de 60 anos recebam as vacinas necessárias', 'Garantia de ações de promoção e prevenção voltadas para as práticas de atividades físicas para a população idosa periodicamente, na Academia da Saúde', 'Orientação dos idosos sobre a Educação Alimentar e Nutricional (realização de 04 ações anuais em cada ESF)', 'Assistência a 100% dos idosos acompanhados nas ESFs pela Saúde Bucal', 'Melhoria da qualidade de vida dos idosos (ação geral)']","O município de Xinguara aplicou 23.68% de sua receita própria em saúde, conforme LC141/2012. A despesa total com saúde por habitante foi de R$ 1.069,52. O Programa de Tratamento Fora do Domicílio (TFD) teve um valor anual de R$ 112.457,75 (R$ 9.371,50 mensais em 2020), não sendo exclusivo para idosos. O município recebe R$ 22.189,04 mensais do FNS para o Programa de Assistência Farmacêutica Básica, totalizando R$ 266.268,48 anuais, com necessidade de contrapartida municipal significativa.",False,N/A,[]
Documentos_saude_Brasil\Pará\Municipal\ABAETETUBA\Programação Anual de Saúde\2022.pdf,2022.pdf,Pará,Municipal,ABAETETUBA,Programação Anual de Saúde,2022,success,True,"O documento 'Programação Anual de Saúde de Abaetetuba Ano 2022' é um instrumento de gestão que detalha as ações, recursos financeiros e metas para o alcance dos objetivos do Plano de Saúde. Ele inclui a diretriz de aprimorar as redes de atenção e promover o cuidado integral para pessoas em vários ciclos de vida, incluindo o idoso, e foca na promoção do envelhecimento saudável, na prevenção de doenças crônicas não transmissíveis, e na implementação de protocolos de atendimento para condições como hipertensão arterial sistêmica e diabetes mellitus. Menciona também a garantia da manutenção adequada das ações do programa 'Melhor em Casa'.","['Aprimorar as redes de atenção e promover o cuidado integral às pessoas nos vários ciclos de vida, incluindo o idoso.', 'Reduzir e prevenir riscos e agravos à saúde da população com foco na promoção do envelhecimento saudável.', 'Implantar protocolo de atendimentos e prevenção à hipertensão arterial sistêmica e diabetes mellitus.', 'Garantir manutenção adequada das ações do programa 'Melhor em Casa'.', 'Realizar campanhas de incentivo a práticas de atividades físicas.', 'Garantir manutenção adequada das ações da Academia de Saúde.', 'Implantar o programa municipal de combate ao tabagismo em todas as UBS/ESF.', 'Implantar protocolo de atendimento ao paciente com diabetes mellito.', 'Realizar campanha municipal de combate ao diabetes mellito.']","O documento menciona dotações orçamentárias gerais para indicadores de saúde, como o orçamento municipal de saúde per capita (R$ 365,00) e o investimento em saúde preventiva (25% da dotação orçamentária para o indicador). No entanto, não há valores ou recursos financeiros específicos mencionados que sejam alocados exclusivamente para a saúde da pessoa idosa ou para programas voltados a eles, além do orçamento geral da saúde que os engloba.",False,N/A,[]
