caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Paraíba\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Paraíba,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, uma Programação Anual de Saúde (PAS) para 2023, aborda a garantia da atenção integral e humanizada em todos os ciclos da vida, com especial atenção ao envelhecimento ativo e saudável. As ações planejadas incluem a ampliação em 28% do número de municípios que implantarão a Caderneta de Saúde da Pessoa Idosa. Para isso, serão realizadas oficinas técnicas macrorregionais (presenciais ou virtuais) para alinhar as estratégias de implementação do instrumento de avaliação multidimensional da pessoa idosa, em parceria com a Atenção Básica da SES, Alimentação e Nutrição e as Gerências Regionais de Saúde. Além disso, haverá o monitoramento das ações para a implementação desse instrumento, em parceria com o HCor e o Ministério da Saúde, com apoio de teleconsultoria do PROADI-SUS do Hospital Israelita Albert Einstein e do DgeroBrasil/UFSCAR.","['Ampliar em 28% o número de municípios com a implantação da Caderneta de Saúde da Pessoa Idosa.', 'Realizar Oficinas técnicas macrorregionais (presencial ou virtual) para alinhamento das estratégias de multiplicação das ações para implementação do instrumento de avaliação multidimensional da pessoa idosa, em parceria com a Atenção Básica da SES, Alimentação e Nutrição e as Gerências Regionais de Saúde.', 'Realizar o monitoramento das ações para a implementação do instrumento de avaliação multidimensional da pessoa idosa por meio de instrumento organizado pela SES/PB em parceria com o HCor e o Ministério da Saúde, em 2020, assim como a partir do apoio de teleconsultoria do PROADI-SUS do Hospital Israelita Albert Einstein e do DgeroBrasil/UFSCAR.']","R$ 70.000,00",False,N/A,[]
Documentos_saude_Brasil\Paraíba\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Paraíba,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento 'PROGRAMAÇÃO ANUAL DE SAÚDE - PAS 2021' visa garantir a atenção integral e humanizada em todos os ciclos da vida, com especial atenção ao envelhecimento ativo e saudável. Para tal, o planejamento inclui a ampliação em 28% do número de municípios com a implantação da Caderneta de Saúde da Pessoa Idosa. As ações específicas para isso envolvem a realização de quatro oficinas técnicas macrorregionais (presenciais ou virtuais) para alinhar estratégias de multiplicação das ações de implementação da caderneta, em parceria com a Atenção Básica da SES, Alimentação e Nutrição e Gerências Regionais de Saúde. Além disso, prevê o monitoramento da implantação da caderneta da pessoa idosa por meio de um instrumento organizado pela SES/PB, em colaboração com o HCor e o Ministério da Saúde, em 2020.","['Realizar 04 Oficinas técnicas macrorregionais (presencial ou virtual) para alinhamento das estratégias de multiplicação das ações para implementação da caderneta de saúde da pessoa idosa, em parceria com a Atenção Básica da SES, Alimentação e Nutrição e as Gerências Regionais de Saúde', 'Realizar o monitoramento da implantação da caderneta da pessoa idosa por meio de instrumento organizado pela SES/PB em parceria com o HCor e o Ministério da Saúde, em 2020']","R$ 13.000,00",False,N/A,[]
Documentos_saude_Brasil\Paraíba\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Paraíba,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento, uma Programação Anual de Saúde (PAS 2020) do SUS, detalha o planejamento da saúde para o ano de 2020, com foco na garantia da atenção integral e humanizada em todos os ciclos da vida, com especial atenção ao envelhecimento ativo e saudável. Foram planejadas ações para ampliar a implantação da Caderneta de Saúde da Pessoa Idosa em municípios, através da realização de um encontro presencial e oficinas técnicas macrorregionais. Além disso, prevê a realização de ações de testagem para COVID-19 em Instituições de Longa Permanência para Idosos (ILPIs) e nas Unidades do Condomínio Cidade Madura.","['Ampliar em 28% o número de municípios com a implantação da Caderneta de Saúde da Pessoa Idosa.', 'Realizar o 3º Encontro Presencial da Qualificação de Saúde da Pessoa Idosa nas Redes de Atenção.', 'Realizar 04 Oficinas técnicas macrorregionais para implementação da caderneta de saúde da pessoa idosa.', 'Realizar ações de Testagem para a COVID-19 nas Instituições de Longa Permanência para Idosos nas Regiões de Saúde.', 'Realizar ações de Testagem para o COVID-19 nas Unidades do Condomínio Cidade Madura nas Regiões de Saúde.']","O documento menciona investimentos de R$ 2.000,00 para o 3º Encontro Presencial da Qualificação de Saúde da Pessoa Idosa, R$ 9.000,00 para 04 Oficinas técnicas macrorregionais para implementação da caderneta de saúde da pessoa idosa, R$ 10.000,00 para ações de Testagem para a COVID-19 nas Instituições de Longa Permanência para Idosos, e R$ 10.000,00 para ações de Testagem para o COVID-19 nas Unidades do Condomínio Cidade Madura.",True,"O documento menciona a realização de ações de Testagem para a COVID-19 em Instituições de Longa Permanência para Idosos (ILPIs) nas Regiões de Saúde. Não há informações sobre metas alcançadas, pois se trata de um documento de planejamento.",[]
Documentos_saude_Brasil\Paraíba\Estadual\RAG\2021.pdf,2021.pdf,Paraíba,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de 2021 da Paraíba destaca o fortalecimento da atenção integral e humanizada à saúde em todos os ciclos da vida, com especial ênfase no envelhecimento ativo e saudável. Uma das ações notáveis foi a ampliação da implantação da Caderneta de Saúde da Pessoa Idosa em municípios, superando a meta em 228,57%. Essa iniciativa incluiu o monitoramento da caderneta e a realização de oficinas para alinhamento e multiplicação das estratégias de implementação.","['Ampliar em 28% o número de municípios com a implantação da Caderneta de Saúde da Pessoa Idosa.', 'Realizar o monitoramento da implantação da caderneta da pessoa idosa por meio de instrumento organizado pela SES/PB em parceria com o HCor e o Ministério da Saúde, em 2020.', 'Realizar 04 Oficinas técnicas macrorregionais (presencial ou virtual) para alinhamento das estratégias de multiplicação das ações para implementação da caderneta de saúde da pessoa idosa, em parceria com a Atenção Básica da SES, Alimentação e Nutrição e as Gerências Regionais de Saúde.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Paraíba\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Paraíba,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento detalha a programação anual de saúde para 2024, com foco na saúde da pessoa idosa através da implementação da Avaliação Multidimensional para Pessoas Idosas (60+) na atenção primária. Isso inclui a realização de oficinas e webinários para capacitar profissionais e gestores. Além disso, prevê um Programa de Preparação para Aposentadoria (PPA) com oficinas e a criação de um espaço de apoio para servidores idosos, visando a gestão do trabalho humanizada.","['Realizar Oficinas técnicas macrorregionais (presencial ou virtual) para alinhamento das estratégias de multiplicação das ações para implementação do instrumento de avaliação multidimensional da pessoa idosa.', 'Realizar uma Oficina Presencial ou Virtual (Webinário), com gestores, coordenadores de atenção básica e referências para a saúde da pessoa idosa nos municípios, com participação da equipe do DgeroBrasil/UFsCAR, com intuito de qualificar a gestão no âmbito do cuidado da Pessoa Idosa no Sistema Único de Saúde e à ampliação da realização da Avaliação Multidimensional por equipes de Atenção Primária.', 'Oficinas com servidores aptos a participarem do projeto', 'Criação de espaço de apoio ao servidor idoso.']","Um total de R$ 100.000,00 foi alocado para a Avaliação Multidimensional da Pessoa Idosa (R$ 10.000,00 para oficinas macrorregionais e R$ 90.000,00 para a Oficina Presencial ou Virtual). Para o Programa de Preparação para Aposentadoria (PPA), foram destinados R$ 20.000,00 para custeio e R$ 50.000,00 para investimento, totalizando R$ 170.000,00.",False,N/A,[]
Documentos_saude_Brasil\Paraíba\Estadual\RAG\2020.pdf,2020.pdf,Paraíba,Estadual,N/A (Estado),RAG,2020,success,True,"O relatório destaca um aumento significativo da população idosa (acima de 60 anos) na Paraíba em 2020. O estado busca garantir atenção integral e humanizada à saúde em todos os ciclos da vida, com foco no envelhecimento ativo e saudável. As ações planejadas incluem a realização de um 3º Encontro Presencial da Qualificação de Saúde da Pessoa Idosa nas Redes de Atenção, a condução de quatro oficinas técnicas macrorregionais para alinhamento e disseminação das ações de implementação da caderneta de saúde da pessoa idosa, e a testagem para COVID-19 em Instituições de Longa Permanência para Idosos (ILPIs) e nas unidades do Condomínio Cidade Madura nas Regiões de Saúde. O objetivo é expandir a implementação da caderneta de saúde da pessoa idosa em 28% dos municípios.","['Realizar o 3º Encontro Presencial da Qualificação de Saúde da Pessoa Idosa nas Redes de Atenção', 'Realizar 04 Oficinas técnicas macrorregionais para alinhamento das ações de multiplicação das ações para implementação da caderneta de saúde da pessoa idosa', 'Realizar ações de Testagem para a COVID-19 nas Instituições de Longa Permanência para Idosos nas Regiões de Saúde', 'Realizar ações de Testagem para o COVID-19 nas Unidades do Condomínio Cidade Madura nas Regiões de Saúde', 'Ampliar em 28% o número de municípios com a implantação da Caderneta de Saúde da Pessoa Idosa']",N/A,True,"O documento relata que foram realizadas ações de testagem para a COVID-19 em Instituições de Longa Permanência para Idosos (ILPIs) e nas Unidades do Condomínio Cidade Madura nas Regiões de Saúde, como parte do Objetivo N° 3.3 para fortalecer o Programa Estadual de Imunizações. Não são detalhadas metas ou percentuais específicos de alcance para essas ações em ILPIs.",['Condomínio Cidade Madura']
Documentos_saude_Brasil\Paraíba\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Paraíba,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento 'PROGRAMAÇÃO ANUAL DE SAÚDE PAS 2025' do SUS na Paraíba visa a atenção integral e humanizada em todos os ciclos da vida, com foco no envelhecimento ativo e saudável. Para a saúde do idoso, planeja-se o incentivo ao aumento de municípios que realizam a avaliação multidimensional de idosos (60+) na atenção primária através de oficinas e reuniões técnicas. Também está prevista a realização de um webinário sobre a Política Nacional de Cuidado Integral às Pessoas com Doença de Alzheimer e Outras Demências. Adicionalmente, será implementado um Programa de Preparação para Aposentadoria (PPA) que incluirá a criação de um espaço de apoio e a execução de oficinas para servidores idosos.","['Realizar 03 Oficinas Presenciais ou Virtuais (Webinários) para qualificar a gestão no âmbito do cuidado da Pessoa Idosa no Sistema Único de Saúde e ampliar a realização da Avaliação Multidimensional por equipes de Atenção Primária.', 'Realizar reuniões técnicas macrorregionais (presencial ou virtual) para alinhamento das estratégias de multiplicação das ações para implementação do instrumento de avaliação multidimensional da pessoa idosa, em parceria com a Atenção Básica da SES e as Gerências Regionais de Saúde.', 'Realizar um Webinário sobre a Política Nacional de Cuidado Integral às Pessoas com Doença de Alzheimer e Outras Demências, com participação de profissionais de saúde que atuam na política de atenção à pessoa idosa, atenção primária e atenção especializada.', 'Criar espaço de apoio ao servidor idoso como parte do Programa de Preparação para Aposentadoria (PPA).', 'Executar as ações planejadas através de oficinas como parte do Programa de Preparação para Aposentadoria (PPA).']","R$ 30.000,00 de custeio e R$ 30.000,00 de investimento para oficinas de qualificação do cuidado da pessoa idosa e avaliação multidimensional. R$ 10.000,00 de custeio para reuniões técnicas macrorregionais sobre a avaliação multidimensional. R$ 5.000,00 de custeio e R$ 50.000,00 de investimento para a criação de um espaço de apoio ao servidor idoso. R$ 20.000,00 de custeio para a execução de oficinas do Programa de Preparação para Aposentadoria (PPA).",False,N/A,[]
Documentos_saude_Brasil\Paraíba\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Paraíba,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"A Programação Anual de Saúde (PAS 2022) do Governo do Estado da Paraíba enfatiza a atenção integral e humanizada em todos os ciclos da vida, com destaque para o envelhecimento ativo e saudável. Um dos objetivos é ampliar em 28% o número de municípios que implementem a Caderneta de Saúde da Pessoa Idosa. As ações incluem a realização de oficinas técnicas macrorregionais para alinhar estratégias e multiplicar as ações de implementação da caderneta, o monitoramento contínuo da implantação da caderneta em parceria com o HCor e o Ministério da Saúde, e o apoio à qualificação da Rede de Atenção Primária por meio do Projeto 'Atenção à Saúde da Pessoa Idosa' do PROADI-SUS, em colaboração com o Hospital Israelita Albert Einstein e o Ministério da Saúde. O investimento financeiro total previsto para estas iniciativas é de R$ 32.000,00.","['Ampliar em 28% o número de municípios com a implantação da Caderneta de Saúde da Pessoa Idosa.', 'Realizar Oficinas técnicas macrorregionais (presencial ou virtual) para alinhamento das estratégias de multiplicação das ações para implementação da caderneta de saúde da pessoa idosa, em parceria com a Atenção Básica da SES, Alimentação e Nutrição e as Gerências Regionais de Saúde.', 'Realizar o monitoramento da implantação da caderneta da pessoa idosa por meio de instrumento organizado pela SES/PB em parceria com o HCor e o Ministério da Saúde, em 2020.', 'Apoiar a realização da Qualificação da Rede de Atenção Primária através do Projeto: “Atenção à Saúde da Pessoa Idosa' via PROADI-SUS, realizado pelo Hospital Israelita Albert Einstein/Ministério da Saúde.']","R$ 32.000,00 para ações relacionadas à Caderneta de Saúde da Pessoa Idosa, incluindo oficinas e monitoramento.",False,N/A,[]
Documentos_saude_Brasil\Paraíba\Municipal\AGUIAR\Plano de Saúde\2019.pdf,2019.pdf,Paraíba,Municipal,AGUIAR,Plano de Saúde,2019,success,True,"O Plano de Saúde 2018-2021 inclui a Diretriz Nº 5, que foca na Garantia da Atenção Integral à Saúde da pessoa idosa e dos portadores de doenças crônicas, com o objetivo de estimular o envelhecimento ativo e fortalecer as ações de promoção e prevenção. O Objetivo Nº 5.1 busca ampliar o acesso de portadores de doenças crônicas a serviços qualificados. As metas incluem a redução da taxa de mortalidade prematura (30-69 anos) por Doenças Crônicas Não Transmissíveis (DCNT) e o aumento da cobertura vacinal contra a gripe, uma ação importante para a saúde do idoso.","['Garantia da Atenção Integral à Saúde da pessoa idosa e dos portadores de doenças crônicas', 'Estímulo ao envelhecimento ativo e fortalecimento das ações de promoção e prevenção', 'Ampliar o acesso de portadores de doenças crônicas a ações e serviços qualificados', 'Redução da taxa de mortalidade prematura (30-69 anos) por DCNT', 'Aumento da cobertura vacinal contra gripe']",N/A,False,N/A,[]
Documentos_saude_Brasil\Paraíba\Municipal\AGUIAR\Programação Anual de Saúde\2021.pdf,2021.pdf,Paraíba,Municipal,AGUIAR,Programação Anual de Saúde,2021,success,True,"O documento, como parte de seu planejamento anual para 2021, enfatiza a Diretriz N° 5, que visa a garantia da atenção integral à saúde da pessoa idosa e de portadores de doenças crônicas. O objetivo é estimular o envelhecimento ativo e fortalecer as ações de promoção e prevenção, ampliando o acesso a serviços qualificados. As metas incluem a redução de 3% na taxa de mortalidade prematura por DCNT em indivíduos de 30 a 69 anos e um aumento de 1% na cobertura vacinal contra gripe, visando 80% de cobertura.","['Reduzir em 3% a taxa de mortalidade prematura (de 30 a 69 anos) pelo conjunto das 4 principais DCNT (doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas)', 'Aumento de 1% da Cobertura vacinal contra gripe tomando como parâmetro 80%', 'Realizar campanha de vacinação contra gripe anualmente']","O investimento total de R$ 1.210.635,72 (Corrente) está alocado para a subfunção '301 - Atenção Básica', que engloba ações como a vacinação contra gripe, relevante para a saúde do idoso. No entanto, não há valores de investimento específicos citados exclusivamente para a saúde do idoso.",False,N/A,[]
