caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Pernambuco\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Pernambuco,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento de Programação Anual de Saúde para 2021 planeja ações para a saúde da pessoa idosa, incluindo a qualificação de 150 profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas e a elaboração de 1 material educativo sobre Atenção à Saúde da Pessoa Idosa no contexto da Pandemia da COVID-19.","['Qualificar profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas', 'Elaborar material educativo sobre Atenção à Saúde da Pessoa Idosa no contexto da Pandemia da COVID-19']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Pernambuco,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,False,"O documento aprova o Plano Estadual de Saúde (PES) para o quadriênio 2024-2027 e as Programações Anuais de Saúde (PAS) para 2024 e 2025. Ele foca na organização do SUS para atender às necessidades de saúde da população, incluindo a priorização de ações para reduzir filas de cirurgias de média e alta complexidade e cirurgias eletivas em hospitais estaduais. Não há menções específicas sobre a saúde da pessoa idosa ou instituições de longa permanência para idosos (ILPI).","['Priorizar ações de média e alta complexidade para redução das filas de cirurgias nos hospitais estaduais, e para cirurgias eletivas em curto prazo.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Pernambuco,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento, que apresenta a Programação Anual de Saúde 2020 e suas atualizações em resposta à pandemia de COVID-19, planeja o fortalecimento da atenção primária à saúde da pessoa idosa. Inclui a qualificação de profissionais de saúde para o cuidado de idosos, tanto em condições normais quanto no contexto da pandemia, e o desenvolvimento de materiais educativos específicos para essa população.","['Qualificar 150 profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas.', 'Qualificar 100 profissionais em Atenção à Saúde das Pessoas Idosas no contexto da pandemia da Covid-19.', 'Elaborar 02 materiais educativos sobre Atenção à Saúde da Pessoa Idosa no contexto da pandemia da Covid-19.']","N/A. O documento discute a alocação de recursos para o enfrentamento da COVID-19 e menciona financiamentos para procedimentos e estabelecimentos de saúde de forma geral, mas não especifica valores ou recursos financeiros dedicados exclusivamente às ações de saúde da pessoa idosa.",False,N/A.,[]
Documentos_saude_Brasil\Pernambuco\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Pernambuco,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento planeja fortalecer a atenção primária para a saúde da pessoa idosa, qualificando profissionais de saúde na atenção geral ao idoso e especificamente no contexto da pandemia de COVID-19. Adicionalmente, prevê a elaboração de material educativo sobre a saúde da pessoa idosa durante a pandemia.","['Qualificar profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas', 'Qualificar profissionais em Atenção à Saúde das Pessoas Idosas no contexto da Pandemia da Covid-19', 'Elaborar material educativo sobre Atenção à Saúde da Pessoa Idosa no contexto da Pandemia da Covid-19']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Pernambuco,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, que é a Programação Anual de Saúde 2023 de Pernambuco, planeja qualificar 100 profissionais da atenção primária em saúde para atuar na atenção à saúde das pessoas idosas, como parte do fortalecimento da atenção primária.",['Qualificar profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas'],N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Estadual\RAG\2021.pdf,2021.pdf,Pernambuco,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de Pernambuco para 2021 demonstra um foco na saúde da pessoa idosa. Foram realizadas ações para qualificar profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas, com 1288 profissionais qualificados em atenção à saúde das pessoas idosas (Meta 9, Objetivo 1.3) e 351 profissionais qualificados em Atenção à Saúde das Pessoas Idosas (Meta 18, Objetivo 1.3). Além disso, foram elaborados 17 materiais educativos sobre Atenção à Saúde da Pessoa Idosa (Meta 19, Objetivo 1.3). A população idosa em Pernambuco (60 anos e mais) representa 1.252.642 habitantes em 2020. As principais causas de internação para o grupo de 60 anos e mais foram as Doenças Infecciosas e Parasitárias (38.204 internações em 2021, excluindo gravidez, parto e puerpério). O Conselho de Saúde de Pernambuco também recomenda ampliar o debate sobre a Política de Saúde da Pessoa Idosa para o próximo exercício, e há um posicionamento contrário à classificação da OMS da velhice como doença.","['Qualificação de 1288 profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas.', 'Qualificação de 351 profissionais em Atenção à Saúde das Pessoas Idosas (PAS 2020).', 'Elaboração de 17 materiais educativos sobre Atenção à Saúde da Pessoa Idosa.', 'Análise das causas de internação para a população 60 anos e mais, com destaque para Algumas Doenças Infecciosas e Parasitárias.', 'Ampliação do debate relacionado à Política de Saúde da Pessoa Idosa.', 'Promoção do envelhecimento saudável como diretriz nacional.', 'Posicionamento contrário à classificação da OMS da velhice como doença.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Estadual\RAG\2020.pdf,2020.pdf,Pernambuco,Estadual,N/A (Estado),RAG,2020,success,True,"Para a saúde do idoso em Pernambuco no ano de 2020, o planejamento e a execução incluíram a qualificação de profissionais da atenção primária e em saúde do idoso, superando as metas estabelecidas (574 profissionais qualificados na atenção primária e 820 em saúde do idoso). A produção de materiais educativos específicos para a saúde da pessoa idosa também excedeu o planejado (10 materiais elaborados). Contudo, a meta de publicar uma portaria da Política Estadual de Saúde da Pessoa Idosa não foi concretizada. O relatório destaca que a pandemia de COVID-19 influenciou a execução e o redirecionamento de recursos de algumas ações.","['Qualificar profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas', 'Publicar portaria da Política Estadual de Saúde da Pessoa Idosa', 'Qualificar profissionais em Atenção à Saúde das Pessoas Idosas', 'Elaborar materiais educativos sobre Atenção à Saúde da Pessoa Idosa']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Pernambuco,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento Programação Anual de Saúde 2024 do SUS de Pernambuco planeja diversas ações para a saúde da pessoa idosa. Isso inclui a qualificação de profissionais da atenção primária e especializada em saúde mental para idosos, a produção de materiais educativos sobre a saúde da pessoa idosa, a promoção de grupos de trabalho regionais para discutir a atenção à saúde do homem e do idoso, e a qualificação da Rede de Atenção à Saúde em áreas como a saúde do idoso. Além disso, prevê a realização de rodas de conversa com Conselhos Municipais de Saúde para discutir iniquidades em saúde para populações, incluindo idosos, e a capacitação de conselheiros do Conselho Estadual de Saúde sobre políticas de saúde do homem e da pessoa idosa.","['Qualificar profissionais da atenção primária na Atenção à Saúde das Pessoas Idosas.', 'Qualificar profissionais da atenção primária, especializada, média e alta complexidade na Atenção à Saúde das Pessoas Idosas em temáticas relacionadas à Saúde Mental.', 'Elaborar materiais gráficos educativos para Educação Popular com temas relacionados à saúde das Pessoas Idosa.', 'Promover grupos de trabalho regionais para discutir a Atenção à Saúde dos Homens e das Pessoas Idosas.', 'Qualificar a Rede de Atenção à Saúde nas áreas saúde da mulher, do homem, do idoso, bucal, da pessoa com deficiência, da criança e do adolescente, através da planificação das macrorregiões de saúde.', 'Realizar Rodas de Conversas com os Conselhos Municipais de Saúde sobre o temática do enfrentamento das iniquidades em saúde e das populações, a exemplo: mulheres, idosos, população do campo e das florestas, juventude, população negra e quilombola, LGBTQIAP+, população em situação de rua, pessoas com deficiências.', 'Capacitar os conselheiros do Conselho Estadual de Saúde acerca das Políticas de Saúde do Homem e da Pessoa Idosa.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Municipal\ABREU_E_LIMA\Programação Anual de Saúde\2021.pdf,2021.pdf,Pernambuco,Municipal,ABREU_E_LIMA,Programação Anual de Saúde,2021,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Pernambuco\Municipal\ABREU_E_LIMA\Plano de Saúde\2022.pdf,2022.pdf,Pernambuco,Municipal,ABREU_E_LIMA,Plano de Saúde,2022,success,True,"O Plano Municipal de Saúde de Abreu e Lima para 2022-2025 foca no fortalecimento da atenção à saúde do idoso e dos usuários com condições crônicas. O documento reconhece que a faixa etária produtiva atual se tornará idosa, potencialmente apresentando diversas patologias, e destaca que a faixa etária acima de 70 anos predominou em óbitos em 2021. As estratégias planejadas incluem a capacitação de profissionais para identificar idosos vulneráveis, o incentivo à prática de atividade física para portadores de doenças crônicas, e a formação de grupos para diabéticos e hipertensos nas Unidades de Saúde da Família (USF). Além disso, o plano prevê a oferta de vacinação para idosos e a atuação da Rede de Atenção às Pessoas com Doenças Crônicas para promoção, prevenção, diagnóstico, tratamento, reabilitação e redução de danos.","['Capacitar profissionais de nível superior na Atenção Primária à Saúde (APS) para identificar idosos com maior risco de vulnerabilidades.', 'Realizar ações de incentivo à prática de atividade física na APS para portadores de doenças crônicas.', 'Formar grupos de diabéticos e hipertensos em no mínimo 80% das Unidades de Saúde da Família (USF).', 'Ofertar vacinação para idosos.']",N/A,False,N/A,[]
