caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Piauí\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Piauí,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,False,O documento é uma resolução do Conselho Estadual de Saúde do Piauí (CES/PI) que aprova a Programação Anual de Saúde (PAS) da Secretaria de Estado da Saúde do Piauí (SESAPI) referente ao exercício de 2021. Não há menção específica sobre o planejamento ou execução de ações diretas para a saúde do idoso neste documento.,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Piauí\Estadual\RAG\2021.pdf,2021.pdf,Piauí,Estadual,N/A (Estado),RAG,2021,success,True,"O planejamento para a saúde do idoso em 2021 no Piauí focou na construção e implementação de uma linha de cuidado integral, na estratificação do risco e grau de fragilidade da população idosa, na capacitação de profissionais de saúde sobre o uso da Caderneta de Saúde da Pessoa Idosa e na construção da linha de cuidado do idoso, e no monitoramento e avaliação das Instituições de Longa Permanência (ILPs) para idosos, com 100% das ILPIs monitoradas e avaliadas em seus processos de trabalho e saúde dos residentes.","['Construir a linha de cuidado para a atenção integral à saúde da pessoa idosa no Estado do Piauí', 'Implementar uma linha de cuidados para a atenção integral à saúde das pessoas idosas na rede de atenção à saúde (RAS) do estado', 'Estratificar risco e grau de fragilidade dos idosos do Estado do Piauí', 'Realizar a estratificação das pessoas idosas do estado conforme sua capacidade funcional, autonomia e grau de dependência', 'Organizar a RAS e a rede intersetorial do estado, estabelecendo normas e fluxos para acesso e cuidado ofertado às pessoas idosas', 'Capacitar profissionais e gestores da Saúde sobre o uso da Caderneta de Saúde da Pessoa Idosa e construção da Linha de Cuidado do Idoso', 'Promover a educação permanente dos profissionais da RAS e estabelecer parcerias com outros setores para a realização de educação permanente das redes intersetoriais, quanto à saúde da pessoa idosa, envelhecimento saudável e manutenção da capacidade funcional', 'Monitorar e avaliar as Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí', 'Realizar acompanhamento e monitoramento do processo de trabalho das instituições de longa permanência para idosos no estado e avaliar os aspectos relacionados à saúde dos residentes']",N/A,True,"O documento menciona a meta de monitorar e avaliar as Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí. A meta foi 100% alcançada, com a realização de acompanhamento e monitoramento do processo de trabalho das instituições e avaliação dos aspectos relacionados à saúde dos residentes.",[]
Documentos_saude_Brasil\Piauí\Estadual\RAG\2020.pdf,2020.pdf,Piauí,Estadual,N/A (Estado),RAG,2020,success,True,"O relatório destaca uma inversão da pirâmide etária, com crescimento de faixas etárias mais elevadas, indicando a necessidade de políticas adequadas e valorização da saúde do idoso. Para a saúde da pessoa idosa, foi planejado construir uma linha de cuidado integral, estratificar o risco e grau de fragilidade, capacitar profissionais e gestores sobre o uso da Caderneta de Saúde da Pessoa Idosa e a construção da linha de cuidado, e monitorar e avaliar as Instituições de Longa Permanência para Idosos (ILPs).","['Construir a linha de cuidado para a atenção integral à saúde da pessoa idosa no Estado do Piauí.', 'Estratificar risco e grau de fragilidade dos idosos do Estado do Piauí.', 'Capacitar profissionais e gestores da Saúde sobre o uso da Caderneta de Saúde da Pessoa Idosa e construção da Linha de Cuidado do Idoso.', 'Monitorar e avaliar as Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí.']","O valor total pago em Ações e Serviços Públicos de Saúde (ASPS) foi de R$ 1.124.660.146,08. Além disso, o Estado do Piauí recebeu R$ 255.882.436,13 em recursos da União para o enfrentamento da COVID-19, dos quais R$ 74.480.309,71 foram despesas pagas em Assistência Hospitalar e Ambulatorial.",True,"A meta de 2020 para o monitoramento e avaliação de Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí foi de 90 instituições, e 90 instituições foram monitoradas e avaliadas, resultando em 100% da meta alcançada.",[]
Documentos_saude_Brasil\Piauí\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Piauí,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, um Instrumento de Planejamento do SUS, apresenta a Diretriz Setorial 3.6 com foco em garantir atenção integral à saúde da pessoa idosa e dos portadores de doenças crônicas. O objetivo é estimular o envelhecimento ativo e fortalecer as ações de promoção da saúde e prevenção de riscos. As ações planejadas incluem a construção e implementação de linhas de cuidado, estratificação de risco e fragilidade, sistematização de informações, organização da Rede de Atenção à Saúde (RAS) e rede intersetorial para acesso e cuidado dos idosos, estabelecimento de instrumentos de gestão e indicadores, promoção de educação permanente para profissionais da RAS, estímulo à criação de espaços de convivência social, articulação de parcerias para definição da Linha de Cuidado do Idoso, capacitação de profissionais para o cuidado do idoso e uso da caderneta de saúde, organização e implantação de ações de fisioterapia e reabilitação, criação de espaços colegiados de decisão para envelhecimento saudável, acompanhamento e monitoramento de Instituições de Longa Permanência (ILPIs), promoção da articulação com a sociedade civil organizada, realização de ações de saúde para fortalecimento de Políticas de Equidade em Saúde, apoio a campanhas de conscientização (Dia Nacional de Combate à Violência contra a Pessoa Idosa, Dia Mundial do Alzheimer, Dia Mundial da Pessoa Idosa), participação em eventos relacionados à saúde da pessoa idosa e coordenação da implantação e execução de políticas de Equidade.","['Construir e implementar linha de cuidados para a atenção integral à saúde da pessoa idosa.', 'Realizar estratificação de risco e grau de fragilidade dos idosos.', 'Sistematizar e consolidar informações sobre as condições de saúde da pessoa idosa.', 'Organizar a Rede de Atenção à Saúde (RAS) e a rede intersetorial para pessoas idosas.', 'Estabelecer instrumentos de gestão e indicadores para monitoramento e avaliação da linha de cuidado da pessoa idosa.', 'Promover educação permanente dos profissionais da RAS e parcerias para educação permanente sobre saúde da pessoa idosa.', 'Estimular a criação de espaços de convivência social para os idosos na Atenção Primária.', 'Articular parceria intersetorial e interinstitucional para definição de Linha de Cuidado do idoso.', 'Capacitar profissionais da RAS para o cuidado da pessoa idosa.', 'Capacitar profissionais de saúde sobre o uso da caderneta de saúde da pessoa idosa.', 'Organizar e implantar ações de fisioterapia e reabilitação para o idoso em Estabelecimentos Assistenciais de Saúde.', 'Criar e garantir espaços colegiados de decisão (comitê gestor estadual) para promoção do envelhecimento saudável.', 'Realizar acompanhamento e monitoramento do processo de trabalho das instituições de longa permanência para idosos.', 'Promover articulação com a sociedade civil organizada (conselhos de direitos, saúde e outros) para direitos e proteção dos idosos.', 'Realizar ações de saúde para fortalecimento das Políticas de Equidade em Saúde.', 'Realizar e apoiar campanhas alusivas ao Dia Nacional de Combate à Violência contra a Pessoa Idosa (15/06).', 'Realizar e apoiar campanhas alusivas ao Dia Mundial do Alzheimer (21/09).', 'Realizar e apoiar campanhas alusivas ao Dia Mundial da Pessoa Idosa (01/10).', 'Participar de eventos locais, regionais, estaduais e nacionais relacionados à saúde da pessoa idosa.', 'Coordenar a implantação e execução de políticas de Equidade.']",N/A,True,O documento planeja monitorar e avaliar as Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí. Há um objetivo de realizar acompanhamento e monitoramento do processo de trabalho das ILPIs e avaliar os aspectos relacionados à saúde dos residentes. A meta é que 100% das ILPs sejam monitoradas no estado.,[]
Documentos_saude_Brasil\Piauí\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Piauí,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento, 'Programação Anual de Saúde – PAS 2024', apresenta ações para aprimorar o cuidado integral em saúde para todos os ciclos de vida, incluindo a pessoa idosa. Um destaque é a implantação da Política Estadual da Saúde do Idoso em todas as regiões de saúde do Piauí, envolvendo a criação de um grupo condutor, emissão de notas técnicas e divulgação da política e da Linha de Cuidado para a Atenção Integral à Saúde da Pessoa Idosa. A iniciativa abrange a construção e implantação dessa linha de cuidado em três regiões, com capacitações e monitoramento. Há também foco na elaboração de diagnóstico situacional e supervisão das Instituições de Longa Permanência para Idosos (ILPIs) em Teresina e Parnaíba. Campanhas educativas para o Dia Nacional do Alzheimer e Dia Mundial do Idoso, além de ações de prevenção à violência contra o idoso, estão planejadas. A saúde do idoso também está relacionada à redução da morbimortalidade por Doenças Crônicas Não Transmissíveis como diabetes e hipertensão, por meio de metas específicas.","['Implantar a Política Estadual da Saúde do Idoso em todas as regiões de saúde do estado do Piauí', 'Criar grupo condutor interinstitucional para construção de minuta de lei para elaboração da Política Estadual de Saúde do Idoso (PESI)', 'Emitir Nota Técnica aos municípios com orientações sobre a Política Estadual de Saúde do Idoso', 'Divulgar a Política Estadual de Saúde do Idoso (PESI) e a Linha de Cuidado para a Atenção Integral à Saúde da Pessoa Idosa', 'Construir uma Linha de Cuidado para a Atenção Integral à Saúde da pessoa idosa em conformidade com a Rede de Atenção à Saúde (RAS)', 'Implantar uma Linha de Cuidado para a Atenção Integral à Saúde da Pessoa Idosa em três regiões de saúde do estado', 'Realizar três capacitações em Linha de Cuidado em Atenção Integral à Saúde da pessoa idosa', 'Acompanhar, monitorar e avaliar a implantação da Linha de Cuidado para a Atenção Integral à Saúde da pessoa idosa', 'Elaborar relatório semestral sobre as condições de saúde da pessoa idosa', 'Elaborar Nota Técnica com ações de promoção da saúde e bem estar ao idoso', 'Elaborar diagnóstico situacional das instituições de Longa Permanência para Idosos (ILPIs) de gestão estadual', 'Acompanhar e supervisionar as ILPIs de Teresina e Parnaíba', 'Realizar campanha educativa alusiva ao Dia Nacional do Alzheimer', 'Realizar campanha educativa alusiva ao Dia Mundial do Idoso', 'Incentivar os municípios para a realização de atividades de prevenção à violência contra o idoso', 'Ampliar o Programa Nacional de Tabagismo', 'Reduzir a proporção de municípios com ≥ 50% das pessoas com diabetes, com consulta e hemoglobina glicada solicitada', 'Reduzir a proporção de municípios com ≥ 50% das pessoas com hipertensão, com consulta e pressão arterial']","O documento menciona a alocação de recursos orçamentários para a execução das ações propostas e lista códigos de fonte de recursos (e.g., 500, 600, 634). No entanto, valores financeiros específicos ou recursos diretamente alocados às iniciativas de saúde do idoso não são detalhados.",True,"O documento descreve ações para elaborar um diagnóstico situacional das Instituições de Longa Permanência para Idosos (ILPIs) em nível de gestão estadual, e para acompanhar e supervisionar as ILPIs nas cidades de Teresina e Parnaíba.",[]
Documentos_saude_Brasil\Piauí\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Piauí,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"A Programação Anual de Saúde 2022 do Estado do Piauí prioriza a atenção integral à saúde da pessoa idosa, visando o envelhecimento ativo e a prevenção de adoecimentos. As ações planejadas incluem a estruturação de uma linha de cuidado específica para idosos, a estratificação de risco e fragilidade dessa população, e a capacitação de profissionais para o manejo da Caderneta de Saúde da Pessoa Idosa. O plano prevê a organização da Rede de Atenção à Saúde (RAS) e da rede intersetorial para garantir o acesso e o cuidado adequado aos idosos, além do estabelecimento de indicadores para monitoramento da linha de cuidado. Outras iniciativas envolvem a criação de espaços de convivência social e a organização de serviços de fisioterapia e reabilitação em Estabelecimentos Assistenciais de Saúde (EAS). Um Comitê Gestor Estadual de Atenção à Saúde da Pessoa Idosa será criado para coordenar as políticas, e o monitoramento das Instituições de Longa Permanência para Idosos (ILPIs) é uma meta, visando avaliar a saúde dos residentes. Campanhas de conscientização sobre a violência contra a pessoa idosa, Alzheimer e o Dia Mundial da Pessoa Idosa também estão previstas para fortalecer a participação social e a defesa dos direitos dos idosos.","['Construir e implementar uma linha de cuidados para a atenção integral à saúde das pessoas idosas.', 'Realizar a estratificação de risco e grau de fragilidade dos idosos.', 'Capacitar profissionais e gestores sobre o uso da Caderneta de Saúde da Pessoa Idosa e a Linha de Cuidado do Idoso.', 'Monitorar e avaliar as Instituições de Longa Permanência (ILPIs) para idosos.', 'Sistematizar e consolidar informações sobre as condições de saúde da pessoa idosa.', 'Organizar a Rede de Atenção à Saúde (RAS) e a rede intersetorial do estado para o cuidado do idoso.', 'Estabelecer instrumentos de gestão e definir indicadores para a linha de cuidado da pessoa idosa.', 'Promover a educação permanente dos profissionais da RAS para a saúde da pessoa idosa.', 'Estimular a criação de espaços de convivência social para idosos na Atenção Primária.', 'Articular parceria intersetorial e interinstitucional para definição de Linha de Cuidado do idoso.', 'Organizar serviços de Fisioterapia e Reabilitação em Estabelecimentos Assistenciais de Saúde (EAS) com ações voltadas para o idoso.', 'Criar um Comitê Gestor Estadual de Atenção à Saúde da Pessoa Idosa.', 'Realizar acompanhamento e monitoramento das ILPIs no estado.', 'Promover articulação com a sociedade civil organizada para a promoção do envelhecimento saudável.', 'Realizar e apoiar campanhas alusivas ao Dia Nacional de Combate à Violência contra a Pessoa Idosa, Dia Mundial do Alzheimer e Dia Mundial da Pessoa Idosa.', 'Participar de eventos locais, regionais, estaduais e nacionais relacionados à saúde da pessoa idosa.']",N/A,True,"O documento prevê o monitoramento e a avaliação das Instituições de Longa Permanência para Idosos (ILPIs) no Estado do Piauí, com uma meta de 100% das ILPIs monitoradas. Isso inclui o acompanhamento do processo de trabalho dessas instituições e a avaliação dos aspectos relacionados à saúde dos residentes.",[]
Documentos_saude_Brasil\Piauí\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Piauí,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"A Programação Anual de Saúde – PAS 2025 do Piauí detalha o planejamento e a execução de ações para a saúde da pessoa idosa. O foco inclui a implantação da Política Estadual da Saúde do Idoso em todas as regiões de saúde do estado, com meta de alcançar 3 regiões até 2025. As ações abrangem a atualização do Grupo Condutor Estadual de Atenção à Saúde da Pessoa Idosa, emissão de notas técnicas e divulgação do Plano Estadual de Saúde da Pessoa Idosa/Linha de Cuidado, além de pactuações com as Comissões Intergestores Regionais (CIRs). Serão realizadas capacitações sobre o cuidado integral à pessoa idosa e haverá acompanhamento e monitoramento do plano. O documento também prevê a elaboração de um plano de ação a partir do diagnóstico situacional das Instituições de Longa Permanência para Idosos (ILPIs) estaduais, com capacitação e supervisão de profissionais que atuam nessas instituições em Teresina e Parnaíba. Campanhas educativas para combater a violência contra o idoso e incentivo a atividades de prevenção nos municípios estão planejadas. A monitorização de dados de violência e a elaboração anual de boletins epidemiológicos de morbimortalidade da pessoa idosa são outras frentes. Embora não exclusivamente para idosos, a redução da morbidade e mortalidade por Doenças Crônicas Não Transmissíveis (DCNTs), como diabetes e hipertensão, é uma meta relevante para esta população.","['Implantar a Política Estadual da Saúde do Idoso em todas as regiões de saúde do estado do Piauí (Meta 1.3.2)', 'Atualizar formalmente a composição dos membros do Grupo Condutor Estadual de Atenção à Saúde da Pessoa Idosa', 'Emitir Nota técnica orientando os municípios sobre o Plano Estadual de Atenção a Saúde da Pessoa Idosa/ Linha de Cuidado da Saúde da Pessoa Idosa', 'Divulgar através da Assessoria de Comunicação (ASCOM), o Plano Estadual de Saúde da Pessoa Idosa/Linha de Cuidado para a Atenção Integral à Saúde da Pessoa Idosa', 'Pactuar nas CIR's o Plano Estadual de Saúde da Pessoa Idosa/Linha de Cuidado para a Atenção Integral à Saúde da Pessoa Idosa e a Linha de Cuidado para as Pessoas com Hipertensão Arterial Sistêmica e Diabetes Mellitus', 'Realizar 3 capacitações no Cuidado em Atenção Integral à Saúde da Pessoa Idosa', 'Acompanhar, avaliar e monitorar o Plano Estadual de Atenção a Saúde da Pessoa Idosa/ Linha de Cuidado da Saúde da Pessoa Idosa', 'Elaborar Plano de ação a partir do diagnóstico situacional das instituições de Longa Permanência para Idosos (ILPIs) de gestão estadual', 'Realizar 1 capacitação virtual sobre a Atenção a Saúde da Pessoa Idosa para profissionais das ILPs de Teresina e Parnaíba', 'Acompanhar e supervisionar as ILPIs de Teresina e Parnaíba', 'Realizar campanha educativa alusiva ao Dia Mundial de Enfrentamento a Violência contra a Pessoa Idosa (15 de junho), Dia Mundial da Doença de Alzheimer (21 de setembro) e ao Dia Mundial da Pessoa Idosa (1 de outubro)', 'Incentivar os municípios para a realização de atividades de prevenção à violência contra o idoso', 'Elaborar anualmente o Boletim Epidemiológico de morbimortalidade da Pessoa Idosa', 'Monitorar os dados de violência contra a Pessoa Idosa no SINAN', 'Articular com outras áreas técnicas sobre a inserção de informações para o banco de dados epidemiológicos da Pessoa Idosa', 'Realizar 2 Oficinas para capacitação de cuidadores da Pessoa Idosa e Prevenção de Quedas nas Regiões de Saúde que tem maior número de mortalidade', 'Reproduzir material gráfico sobre a Política Nacional de Atenção a Saúde da Pessoa Idosa', 'Participar de eventos locais, regionais e nacionais sobre a Saúde da Pessoa Idosa', 'Redução da morbidade por DCNT (Diabetes)', 'Redução da morbimortalidade por DCNT relacionada a hipertensão', 'Reduzir a morbimortalidade por Doenças Crônicas não transmissíveis DCNT']","Valores e recursos financeiros são mencionados em diversas ações relacionadas à saúde do idoso. Para pactuação e divulgação do Plano Estadual de Saúde da Pessoa Idosa, há ações com Código da Ação Orçamentária 6062 e Fonte de Recursos 600. Capacitações e monitoramento do Plano Estadual de Atenção à Saúde da Pessoa Idosa/Linha de Cuidado da Saúde da Pessoa Idosa têm Códigos 6116 e Fonte 500. A elaboração de plano de ação para ILPIs também tem Código 6116 e Fonte 500. Campanhas educativas e incentivo à prevenção da violência contra o idoso contam com Código 6062 e Fonte 600. A capacitação de cuidadores e prevenção de quedas, bem como a reprodução de material gráfico sobre a Política Nacional de Atenção à Saúde da Pessoa Idosa, e a participação em eventos, também têm recursos alocados sob os Códigos 6062 ou 6019, com Fontes 600 ou 500, respectivamente.",True,"O documento descreve a elaboração de um plano de ação a partir do diagnóstico situacional das Instituições de Longa Permanência para Idosos (ILPIs) de gestão estadual. Inclui a realização de uma capacitação virtual para profissionais das ILPs de Teresina e Parnaíba sobre a atenção à saúde da pessoa idosa, e o acompanhamento e supervisão dessas ILPIs.","['ILPs de Teresina', 'ILPs de Parnaíba']"
Documentos_saude_Brasil\Piauí\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Piauí,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento Programação Anual de Saúde 2020 do SUS no Piauí visa garantir a atenção integral à saúde da pessoa idosa. Isso será feito através da construção de uma linha de cuidado específica, estratificação de risco e fragilidade dos idosos, sistematização de informações sobre a saúde dessa população, organização da Rede de Atenção à Saúde (RAS) para idosos, e estabelecimento de indicadores para monitoramento. O plano também foca na educação permanente dos profissionais de saúde, na criação de espaços de convivência social para idosos, na articulação intersetorial para a linha de cuidado do idoso, na capacitação sobre a caderneta de saúde da pessoa idosa e no cuidado em estabelecimentos assistenciais de saúde, além de campanhas de conscientização sobre violência e doenças relacionadas à velhice. O monitoramento das Instituições de Longa Permanência para Idosos (ILPIs) é uma meta importante, com 90% das ILPIs a serem monitoradas.","['Construir e implementar uma linha de cuidados para a atenção integral à saúde das pessoas idosas na rede de atenção à saúde (RAS) do estado.', 'Realizar a estratificação das pessoas idosas do estado conforme sua capacidade funcional, autonomia e grau de dependência.', 'Sistematizar e consolidar informações sobre as condições de saúde da pessoa idosa para subsidiar o planejamento e a tomada de decisões.', 'Organizar a RAS e a rede intersetorial do estado, estabelecendo normas e fluxos entre os diferentes níveis e pontos de atenção, no que diz respeito ao acesso e cuidado ofertado às pessoas idosas.', 'Estabelecer instrumentos de gestão e definir indicadores para o monitoramento e a avaliação da implementação e resultados da linha de cuidado da pessoa idosa.', 'Promover a educação permanente dos profissionais da RAS e estabelecer parcerias com outros setores para a realização de educação permanente das redes intersetoriais, quanto à saúde da pessoa idosa, envelhecimento saudável e manutenção da capacidade funcional.', 'Estimular a Atenção à Primária para a criação de espaços de convivência social para os idosos.', 'Articular parceria intersetorial e interinstitucional para definição de Linha de Cuidado do idoso.', 'Capacitar profissionais da RAS para o cuidado da pessoa idosa.', 'Capacitar os profissionais de saúde dos 11 territórios de desenvolvimento do estado sobre o uso da caderneta de saúde da pessoa idosa.', 'Organizar nos Estabelecimentos Assistenciais de Saúde com serviços de Fisioterapia e Reabilitação vinculados a rede estadual, a implantação de ações orientadas para o cuidado e atenção ao idoso.', 'Criar e garantir espaços colegiados de decisão, a exemplo de um comitê gestor estadual, com a representação das principais instâncias decisórias, envolvendo os gestores das diferentes políticas públicas com interface com a promoção do envelhecimento saudável.', 'Realizar acompanhamento e monitoramento do processo de trabalho das instituições de longa permanência para idosos no estado e avaliar os aspectos relacionados à saúde dos residentes.', 'Promover a articulação com a sociedade civil organizada (conselhos de direitos, conselhos de saúde e outros), tendo em vista o envolvimento e a participação cidadã das pessoas idosas na promoção e na proteção de seus direitos, bem como na ampla promoção do envelhecimento saudável.', 'Realizar e apoiar campanhas alusivas ao Dia Nacional de Combate à Violência contra a Pessoa Idosa (15/06), Dia Mundial do Alzheimer (21/09), Dia Mundial da Pessoa Idosa (01/10).']","O montante inicial de recursos orçamentários para o Programa PIAUÍ SAUDÁVEL foi de R$ 1.401.818.344,00. Após o decreto de contingenciamento devido à pandemia de COVID-19 em 01/04/2020 e a abertura de crédito adicional extraordinário de R$ 243.390.598,00 em 23/04/2020, o valor global da dotação orçamentária para a Secretaria Estadual de Saúde (SESAPI) foi atualizado para R$ 1.683.719.576,00. Não há detalhes de investimentos específicos para a saúde do idoso separados do orçamento geral da SESAPI.",True,"O documento prevê o monitoramento e avaliação das Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí, com uma meta de 90% das ILPIs monitoradas. Além disso, a ação 3.6.13 detalha o acompanhamento e monitoramento do processo de trabalho das instituições de longa permanência para idosos no estado e a avaliação dos aspectos relacionados à saúde dos residentes.",[]
Documentos_saude_Brasil\Piauí\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Piauí,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Plano Estadual de Saúde do Piauí 2020-2023 aborda a saúde da pessoa idosa em seu diagnóstico situacional e objetivos estratégicos. O documento destaca que a população com 60 anos ou mais representa cerca de 10,26% do total do Estado, com 141.949 pessoas a partir de 70 anos e mais. O envelhecimento populacional é reconhecido como um fator que altera as demandas de saúde. Em 2016, 43,3% dos óbitos na população com mais de 70 anos foram decorrentes de Doenças do Aparelho Circulatório, uma taxa superior às médias regional e nacional. Como meta, o plano visa elevar a Expectativa de Vida do piauiense de 71,2 anos (2017) para 76,6 anos em 2030. Um dos objetivos do plano é 'Garantir atenção integral à saúde da pessoa idosa e dos portadores de doenças crônicas, com estímulo ao envelhecimento ativo e fortalecimento das ações de promoção da saúde e prevenção do risco de adoecimento'. O documento também cita como indicador o 'Percentual da população de 60 anos ou mais vacinada contra gripe', que no Piauí foi de 90,7% em 2017.","['Elevar a Expectativa de Vida do Piauiense para 76,6 anos em 2030 (era de 71,2 anos em 2017).', 'Garantir atenção integral à saúde da pessoa idosa e dos portadores de doenças crônicas, com estímulo ao envelhecimento ativo e fortalecimento das ações de promoção da saúde e prevenção do risco de adoecimento.', 'Acompanhamento do indicador Percentual da população de 60 anos ou mais vacinada contra gripe (90,7% em 2017).']","O documento menciona valores programados para o SUS, como R$ 730.862.461,74 (Total Geral Programado na PPI em 2009) e R$ 731.151.346,63 (Teto Financeiro SUS-MAC atual). Além disso, há uma previsão de R$ 5.820.403.937,00 para o período de 2020 a 2023 (Dados Financeiros Programados/Previstos). O plano também destaca a diretriz de 'Ampliar as ações de captação de recursos para além do orçamento estadual (emendas, programas federais, projetos internacionais, etc.)'. Não são especificados investimentos financeiros exclusivos para a saúde da pessoa idosa, mas sim para o sistema de saúde como um todo.",False,N/A,[]
Documentos_saude_Brasil\Piauí\Estadual\RAG\2022.pdf,2022.pdf,Piauí,Estadual,N/A (Estado),RAG,2022,success,True,"O Relatório Anual de Gestão 2022 do SUS no Piauí destaca a atenção à saúde da pessoa idosa no Objetivo N° 3.6, com o propósito de garantir atenção integral e estimular o envelhecimento ativo. Em termos demográficos, a população com 60 anos ou mais no Piauí representava 19,1% do total em 2021. Em 2022, 69,10% dos óbitos (14.903 de 21.567) ocorreram em indivíduos com 60 anos ou mais. Quanto às metas específicas para a saúde do idoso: a construção da linha de cuidado e a estratificação de risco e fragilidade dos idosos não foram alcançadas (0% em ambos os casos), enquanto a capacitação de profissionais e gestores sobre o uso da Caderneta de Saúde da Pessoa Idosa e o monitoramento e avaliação das Instituições de Longa Permanência (ILPIs) para idosos alcançaram 100% das metas.","['Construção da linha de cuidado para a atenção integral à saúde da pessoa idosa no Estado do Piauí (meta não alcançada em 2022, 0% de 1).', 'Estratificação do risco e grau de fragilidade dos idosos do Estado do Piauí (meta não alcançada em 2022, 0% de 5,00).', 'Capacitação de profissionais e gestores da Saúde sobre o uso da Caderneta de Saúde da Pessoa Idosa e construção da Linha de Cuidado do Idoso (meta 100% alcançada).', 'Capacitação dos profissionais de saúde dos 11 territórios de desenvolvimento do estado sobre o uso da caderneta de saúde da pessoa idosa.', 'Monitoramento e avaliação das Instituições de Longa Permanência (ILPs) para idosos no Estado do Piauí (meta 100% alcançada).', 'Realização de acompanhamento e monitoramento do processo de trabalho das instituições de longa permanência para idosos no estado e avaliação dos aspectos relacionados à saúde dos residentes.', 'Realização de 6.936 cirurgias de catarata com implante de lentes de contato intra-ocular (procedimento relevante para a saúde do idoso, embora não exclusivo).']",N/A,True,"100% das Instituições de Longa Permanência para Idosos (ILPIs) no Estado do Piauí foram monitoradas e avaliadas em 2022, alcançando 100% da meta estabelecida. O acompanhamento e monitoramento do processo de trabalho das ILPIs e a avaliação dos aspectos relacionados à saúde dos residentes foram realizados.",[]
