caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,False,N/A.,[],"O documento menciona recursos financeiros emergenciais para custeio da Atenção Especializada e de Média e Alta Complexidade (MAC) para o município de Japeri/RJ, nos valores de R$ 2.000.000,00 (Deliberação CIB RJ N° 481), R$ 1.821.428,57 (Deliberação CIB RJ N° 482) e R$ 300.000,00 (Deliberação CIB RJ N° 483).",False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento prevê a construção e instituição do Plano Estadual de Saúde da Pessoa Idosa. Isso inclui a criação de um grupo de trabalho intersetorial, a qualificação de profissionais da SES e dos municípios para realizar avaliação multidimensional de idosos, e a promoção de fóruns para debater doenças e agravos prevalentes no envelhecimento.","['Criar grupo de trabalho intersetorial para construção do Plano Estadual de Saúde da Pessoa Idosa', 'Qualificar os profissionais da SES e dos municípios para realizarem a avaliação multidimensional de idosos', 'Promover dois fóruns para debater as diferentes formas de doenças, síndromes e agravos mais prevalentes no envelhecimento']",N/A,False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento 'Programação Anual de Saúde 2025' prevê a construção e implementação do Plano Estadual de Saúde da Pessoa Idosa. Isso incluirá o desenvolvimento de atividades por um grupo de trabalho intersetorial com base em eixos norteadores definidos, a realização de um diagnóstico situacional das linhas de cuidado de saúde para idosos nos municípios e regiões de saúde do Rio de Janeiro, e a promoção de um Fórum Estadual de Saúde da Pessoa Idosa para debater temas que subsidiem a construção coletiva deste plano.","['Desenvolver as atividades propostas pelo grupo de trabalho intersetorial para construção do Plano Estadual de Saúde da Pessoa Idosa de acordo com os eixos norteadores definidos', 'Realizar o diagnóstico situacional da linha de cuidados de saúde da pessoa idosa nos municípios/ regiões de saúde do estado Rio de Janeiro', 'Promover Fórum Estadual de Saúde da Pessoa Idosa para a debater temas que subsidiem a construção coletiva do Plano Estadual de Saúde da Pessoa Idosa do estado do Rio de Janeiro']",N/A,False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento do SUS, na Programação Anual de Saúde 2023, no Objetivo Nº 1.4, prevê o estabelecimento de diretrizes para as linhas de cuidado do ciclo de vida do idoso. Isso inclui a realização de atividades de apoio à gestão em saúde do idoso, focando na implementação das atividades da caderneta do idoso, e a elaboração de diretrizes para a atenção à saúde do idoso na Atenção Primária à Saúde (APS) para subsidiar a construção de uma linha de cuidado específica.","['Estabelecer diretrizes para as linhas de cuidado dos cinco ciclos de vida, incluindo o idoso (Meta 1.4.2).', 'Realizar atividades de apoio à gestão em saúde do idoso, com foco na implementação das atividades previstas na caderneta do idoso (Ação 1.4.2.2).', 'Elaborar diretrizes para a atenção à saúde do idoso na APS, para embasar a construção de linha de cuidado do idoso (Ação 1.4.2.3).']",N/A,False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento Programação Anual de Saúde – 2020 planeja aprimorar a atenção integral à saúde das pessoas em todos os ciclos de vida, incluindo a população idosa. Especificamente, prevê o estabelecimento de diretrizes para as linhas de cuidado da saúde do idoso e a realização de atividades de qualificação em saúde do idoso. Adicionalmente, o plano contempla a oferta de 2.400 consultas ambulatoriais para a terceira idade no Centro Psiquiátrico do Rio de Janeiro (PATER).","['Qualificação da atenção integral à saúde das pessoas em todos os ciclos de vida, com abordagem de gênero (Meta 1.4)', 'Estabelecimento de diretrizes para as linhas de cuidado dos cinco ciclos de vida e de gênero, incluindo idosos (Meta 1.4.2)', 'Realização de atividades de qualificação em Saúde do Idoso (Ação sob Meta 1.4.2)', 'Oferta de 2.400 consultas ambulatoriais para a terceira idade (PATER) no Centro Psiquiátrico do Rio de Janeiro (Ação sob Meta 1.16.2)']","R$ 60.771,00 para atividades de qualificação em Saúde do Idoso.",False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento, um Instrumento de Planejamento do SUS para o ano de 2021 da Secretaria de Estado de Saúde do Rio de Janeiro, menciona a qualificação da atenção integral à saúde das pessoas em todos os ciclos de vida, incluindo a saúde do idoso. Especificamente, prevê a realização de atividades de qualificação e a criação de um banco de dados e instrumentos de monitoramento para a saúde do idoso. Além disso, o documento aborda a definição de diretrizes estaduais para a construção de linhas de cuidado prioritárias para pessoas em situação de violência, incluindo a população idosa, com investimento financeiro associado a essas ações.","['Realizar atividades de qualificação à Saúde do Idoso', 'Criar banco de dados e instrumentos de monitoramento em saúde do idoso', 'Definir as diretrizes estaduais para a construção das linhas de cuidado prioritárias para pessoas em situação de violência: mulher, criança/adolescente, idoso e LGBT']","R$ 48.877,07, sendo R$ 28.414,69 para atividades de qualificação em saúde do idoso, R$ 6.141,24 para a criação de banco de dados e instrumentos de monitoramento em saúde do idoso, e R$ 14.321,14 para a definição de diretrizes para linhas de cuidado para pessoas em situação de violência, incluindo idosos.",False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\RAG\2021.pdf,2021.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),RAG,2021,success,True,"O relatório destaca o envelhecimento populacional no estado do Rio de Janeiro, com cerca de 17% da população em 2021 com 60 anos ou mais, como uma tendência que exige maior investimento e melhoria na atenção à saúde. Foi planejada a realização de atividades de qualificação para a saúde do idoso e o estabelecimento de diretrizes para as linhas de cuidado dos ciclos de vida, incluindo o idoso. A pandemia de COVID-19 impactou significativamente os idosos, resultando em maiores taxas de morbimortalidade e a necessidade de ampliação de leitos.","['Realizar atividades de qualificação à Saúde do Idoso', 'Estabelecer diretrizes para as linhas de cuidado dos cinco ciclos de vida e de gênero - criança, adolescente, mulher, homem e idoso', 'população com mais de 60 anos já apresentava mais de 80% de cobertura da segunda dose da vacina contra a COVID-19', 'o sistema de saúde sofrerá pressões adicionais dos pacientes que já viviam com doenças crônicas não transmissíveis (DCNTs)']","O documento aponta para a necessidade de investimento de maiores recursos para a saúde do idoso, especialmente para a redução de fatores de risco de doenças crônicas não transmissíveis e para o aumento progressivo de gastos com atenção especializada. No entanto, não são especificados valores financeiros ou alocações orçamentárias exclusivas para a saúde da pessoa idosa. Os investimentos gerais do SUS são detalhados por subfunção, como 'Assistência Hospitalar e Ambulatorial', mas não por faixa etária específica.",False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Plano Estadual de Saúde do Rio de Janeiro 2020-2023 reconhece o crescente envelhecimento da população e suas implicações para o sistema de saúde. O documento enfatiza que a expectativa de vida saudável para os idosos é influenciada por fatores socioeconômicos, demográficos, ambientais e comportamentais. O plano propõe aprimorar a atenção primária e especializada para doenças crônicas não transmissíveis e causas externas de mortalidade, que são prevalentes nessa faixa etária. Destaca-se a preocupação com as altas taxas de sobrepeso (57%) e obesidade (33,7%) entre os idosos, e a importância da atividade física para prevenir quedas. É mencionada a necessidade de melhorar a qualidade dos registros de óbito para pessoas com mais de 80 anos. Um dos objetivos diretos é a 'qualificação do cuidado das pessoas idosas' como parte da 'Qualificação da Atenção Integral à Saúde'.","['Qualificação do cuidado das pessoas idosas', 'Ampliação da expectativa de vida saudável dos cidadãos fluminenses', 'Abordagem do envelhecimento da população sem o incremento da qualidade de vida', 'Promoção de atividade física para reduzir quedas em idosos', 'Ampliação do número de municípios credenciados com LRPD para serviços de saúde bucal para faixas etárias de 65 a 74 anos']",N/A,False,N/A,[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\RAG\2020.pdf,2020.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão (RAG) de 2020 da Secretaria de Estado de Saúde do Rio de Janeiro destaca o envelhecimento populacional como uma tendência que exige maior investimento na redução de fatores de risco para doenças crônicas não transmissíveis, promovendo hábitos de vida saudáveis e melhorando a atenção à saúde. O documento menciona esforços para qualificar o cuidado com a pessoa idosa, incluindo a realização de atividades de qualificação e a elaboração de orientações para o cuidado em Instituições de Longa Permanência para Idosos (ILPIs) durante a pandemia. Além disso, foram realizadas 2.400 consultas ambulatoriais para a terceira idade no Centro Psiquiátrico do Rio de Janeiro.","['Realizar atividades de qualificação em Saúde do Idoso.', 'Elaborar orientações para o cuidado com a população idosa, em especial quanto às Instituições de Longa Permanência para Idosos - ILPI.', 'Realizar 01 webinar para discutir a organização do cuidado ao idoso em ILPI durante a pandemia, destinada aos 92 municípios.', 'Realizar 2.400 Consultas ambulatoriais a terceira idade no Centro Psiquiátrico do Rio de Janeiro.']",N/A,True,"Orientações para o cuidado com a população idosa em Instituições de Longa Permanência para Idosos (ILPI) foram elaboradas. Foi realizado 1 webinar para discutir a organização do cuidado ao idoso em ILPI durante a pandemia, destinado aos 92 municípios. No entanto, a meta geral para o estabelecimento de diretrizes para as linhas de cuidado dos ciclos de vida, que inclui a saúde do idoso, não foi alcançada (0% da meta).",[]
Documentos_saude_Brasil\Rio_de_Janeiro\Estadual\RAG\2022.pdf,2022.pdf,Rio_de_Janeiro,Estadual,N/A (Estado),RAG,2022,success,True,"O documento destaca que aproximadamente 18% da população do Rio de Janeiro tem 60 anos ou mais, ressaltando a necessidade de maior investimento na redução de fatores de risco para doenças crônicas não transmissíveis, promoção de estilos de vida saudáveis, e aprimoramento da atenção à saúde, com detecção e tratamento precoces. Aponta um aumento contínuo da pressão sobre a Rede de Atenção à Saúde do SUS e um crescimento nos gastos com atenção especializada. Além disso, uma ação específica citada é o apoio à gestão em saúde do idoso.",['Realizar atividades de apoio à gestão em saúde do idoso'],N/A,False,N/A,[]
