caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento detalha atos administrativos no âmbito do SUS, incluindo a alteração da composição de um Grupo Consultivo de Especialistas para o enfrentamento da COVID-19 e a aprovação da Programação Anual de Saúde (PAS) para o exercício de 2021. Em relação à saúde da pessoa idosa, a informação mais relevante é a inclusão do 'Instituto do Envelhecer' como integrante do referido Grupo Consultivo, que tem como finalidade discutir e propor recomendações nas áreas de vigilância e atenção em saúde para o novo coronavírus. Não são detalhadas ações ou programas específicos direcionados exclusivamente à saúde do idoso, nem informações sobre investimentos financeiros específicos ou menções a instituições de longa permanência para idosos (ILPI).",[],N/A,False,N/A,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"A Programação Anual de Saúde (PAS) 2025 planeja a implantação da Política Estadual de Atenção Integral à Saúde da Pessoa Idosa no Rio Grande do Norte. As ações para isso incluem a instituição de encontros e um grupo de trabalho intersetorial para alinhar e construir o desenho da política, com o objetivo de alcançar 25% de implantação da política até dezembro de 2025.","['Implantar a Política Estadual de Atenção Integral à Saúde da Pessoa Idosa', 'Instituição de encontros e de grupo de trabalho intersetorial para alinhamento e construção do desenho da política']","R$ 499,86",False,N/A,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\RAG\2021.pdf,2021.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),RAG,2021,success,True,"O planejamento para a saúde do idoso no documento de 2021 focou na qualificação de profissionais da Atenção Primária à Saúde para o uso e implementação da Caderneta de Saúde da Pessoa Idosa nos municípios. Além disso, foi estabelecido o monitoramento semestral dos municípios que possuem Instituições de Longa Permanência para Idosos (ILPI) para discutir propostas de cuidado voltadas às pessoas idosas institucionalizadas, e a construção de uma cartilha específica para o cuidado desses idosos no âmbito da Atenção Primária à Saúde. O objetivo é fortalecer o cuidado à pessoa idosa, especialmente aqueles em ILPIs.","['Capacitação de seis referências das URSAP para a implantação/implementação da Caderneta de Saúde da Pessoa Idosa nos municípios de suas jurisdições.', 'Realização de doze ações de Educação Permanente (EP) para a implantação/implementação da Caderneta de Saúde da Pessoa Idosa para profissionais da Atenção Primária à Saúde (APS) de municípios das 8 Regiões de Saúde.', 'Monitoramento semestral dos municípios com Instituições de Longa Permanência para Idosos (ILPI) e discussão de propostas de cuidado voltadas para as pessoas idosas institucionalizadas.', 'Construção de uma cartilha voltada para o cuidado às pessoas idosas institucionalizadas no âmbito da Atenção Primária à Saúde.']","O documento informa que as despesas empenhadas com saúde totalizaram aproximadamente 2.1 bilhões de reais em 2021. Desse total, cerca de 1.3 bilhões de reais foram destinados a outras subfunções, incluindo despesas com pessoal e enfrentamento da COVID-19. Adicionalmente, 745 milhões de reais foram alocados para assistência hospitalar e ambulatorial. Para o enfrentamento da COVID-19, o Fundo Estadual de Saúde do Rio Grande do Norte recebeu R$ 150,6 milhões do governo federal e disponibilizou R$ 44 milhões de recursos próprios em 2021. Somando com recursos de 2020 (R$ 43 milhões), o total destinado à pandemia foi de R$ 237,6 milhões, com R$ 205,1 milhões empenhados.",True,O documento menciona a meta de monitorar semestralmente os municípios com Instituições de Longa Permanência para Idosos (ILPI) e discutir propostas de cuidado voltadas para as pessoas idosas institucionalizadas. Há também a ação de construir uma cartilha voltada para o cuidado às pessoas idosas institucionalizadas no âmbito da Atenção Primária à Saúde.,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"A Programação Anual de Saúde (PAS) 2022 do SUS no Rio Grande do Norte inclui ações focadas na saúde da pessoa idosa. Especificamente, planeja a realização de oito ações de Educação Permanente para profissionais da Atenção Primária à Saúde, visando a implementação da Caderneta de Saúde da Pessoa Idosa. Adicionalmente, o documento prevê o monitoramento in loco de municípios que possuem Instituições de Longa Permanência para Idosos (ILPI) e a discussão de propostas de cuidado para as pessoas idosas institucionalizadas.","['Realização de 8 ações de Educação Permanente para a implantação/implementação da Caderneta de Saúde da Pessoa Idosa para profissionais da Atenção Primária à Saúde de municípios das 8 Regiões de Saúde', 'Monitoramento de municípios com Instituições de Longa Permanência para Idosos (ILPI) in loco e discussão de propostas de cuidado voltadas para as pessoas idosas institucionalizadas']","Para a ação de Educação Permanente da Caderneta de Saúde da Pessoa Idosa, foi proposto um valor total de R$ 25.000,00 (sendo R$ 20.000,00 para Outros Serviços Terceiros - Pessoa Jurídica e R$ 5.000,00 para Diárias – Civil). Para o monitoramento de ILPIs, o valor proposto é de R$ 15.000,00 (sendo R$ 10.000,00 para Outros Serviços Terceiros - Pessoa Jurídica e R$ 5.000,00 para Diárias – Civil).",True,"O documento prevê o monitoramento de municípios com Instituições de Longa Permanência para Idosos (ILPI) in loco e a discussão de propostas de cuidado voltadas para as pessoas idosas institucionalizadas. Não há metas de alcance citadas para o monitoramento de ILPI, pois o documento é um Instrumento de Planejamento (PAS) e não um Relatório Anual de Gestão (RAG).",[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"A Programação Anual de Saúde (PAS) 2023 do Rio Grande do Norte planeja ações para a saúde da pessoa idosa. Especificamente, está prevista a realização de 11 visitas de apoio a municípios com instituições de longa permanência para idosos (ILPI) para discutir planos de cuidado voltados às pessoas idosas institucionalizadas. A unidade de 'Saúde do Idoso' é mencionada como parceira em ações estratégicas.",['Realizar 11 visitas de apoio a municípios com instituições de longa permanência para discutir plano de cuidado voltado para as pessoas idosas institucionalizadas.'],"R$ 950,00",True,O documento cita a realização de 11 visitas de apoio a municípios com instituições de longa permanência para idosos (ILPI) para discutir planos de cuidado voltados para as pessoas idosas institucionalizadas.,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\RAG\2020.pdf,2020.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),RAG,2020,success,True,"O documento apresenta dados demográficos da população idosa no Rio Grande do Norte em 2020, incluindo a distribuição por faixas etárias (60-69, 70-79 e 80 anos ou mais). Também detalha as principais causas de internação e mortalidade no estado, onde doenças do aparelho circulatório, neoplasias e doenças do aparelho respiratório se destacam, afetando também a população idosa. No entanto, não foram identificados planos, programas ou ações específicas executadas ou planejadas para a saúde da pessoa idosa. Muitas metas e indicadores apresentados se referem à população em geral ou a faixas etárias que excluem os idosos (por exemplo, 'menores de 70 anos' para doenças crônicas).",[],N/A,False,N/A,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"O documento apresenta o objetivo estratégico OE6M6.6, que visa a implantação da Política Estadual de Atenção Integral à Saúde da Pessoa Idosa. Para 2024, as ações planejadas incluem a formação de um grupo de trabalho intersetorial para iniciar o desenho da política e a realização de um encontro para alinhar esse desenho. A meta é alcançar 100% da implantação da política até 2027, com 25% sendo implementado a cada ano.","['Formar grupo de trabalho intersetorial para iniciar a construção do desenho da política.', 'Realizar 1 encontro para alinhamento do desenho da política.']","R$ 3.000,00",False,N/A,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento 'PROGRAMAÇÃO ANUAL DE SAÚDE – PAS 2020' do SUS no Rio Grande do Norte, na seção de Vigilância Sanitária, destaca a realização de inspeções sanitárias em 60% das 20 Instituições de Longa Permanência para Idosos (ILPIs) cadastradas. Não foram identificadas outras ações, metas ou investimentos específicos e exclusivos para a saúde da pessoa idosa.",['Realização de inspeções sanitárias em Instituições de Longa Permanência para Idosos (ILPIs).'],"N/A. O valor de R$ 300.000,00 mencionado para inspeções sanitárias é referente a um conjunto amplo de estabelecimentos, não sendo específico para ILPIs ou saúde do idoso.",True,O documento descreve a realização de inspeções sanitárias em 60% das 20 Instituições de Longa Permanência para Idosos (ILPIs) cadastradas no estado do Rio Grande do Norte.,[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\RAG\2022.pdf,2022.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),RAG,2022,success,True,"O relatório de gestão de 2022 do SUS para o Rio Grande do Norte indica uma população idosa significativa, com 250.944 indivíduos entre 60-69 anos, 151.324 entre 70-79 anos e 77.268 com 80 anos ou mais. Para a saúde do idoso, uma ação planejada para o exercício foi 'Monitorar os municípios com Instituições de Longa Permanência para Idosos (ILPI) in loco e discutir propostas de cuidado voltadas para as pessoas idosas institucionalizadas'.",['Monitorar os municípios com Instituições de Longa Permanência para Idosos (ILPI) in loco e discutir propostas de cuidado voltadas para as pessoas idosas institucionalizadas.'],N/A,True,"Ação de monitoramento in loco de Instituições de Longa Permanência para Idosos (ILPI) nos municípios e discussão de propostas de cuidado voltadas para pessoas idosas institucionalizadas. O documento não especifica quanto da meta foi alcançada para esta ação em um RAG (Relatório Anual de Gestão), mas apenas cita a existência da ação planejada.",[]
Documentos_saude_Brasil\Rio_Grande_do_Norte\Estadual\RAG\2023.pdf,2023.pdf,Rio_Grande_do_Norte,Estadual,N/A (Estado),RAG,2023,success,True,"O relatório de gestão de 2023 do SUS no Rio Grande do Norte apresenta dados demográficos da população idosa (250.944 indivíduos entre 60 e 69 anos, 151.324 entre 70 e 79 anos, e 77.268 com 80 anos ou mais). Em relação às ações planejadas, destaca-se a previsão de realizar 11 visitas de apoio a municípios com instituições de longa permanência para idosos (ILPIs), visando discutir o plano de cuidado voltado para pessoas idosas institucionalizadas.",['Realizar 11 visitas de apoio à municípios com instituições de longa permanência para discutir plano de cuidado voltada para as pessoas idosas institucionalizadas;'],N/A,True,"O documento menciona a previsão de realizar 11 visitas de apoio a municípios com instituições de longa permanência para idosos (ILPIs), com o objetivo de discutir o plano de cuidado voltado para as pessoas idosas institucionalizadas.",[]
