caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Rondônia\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Rondônia,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,False,N/A.,[],,False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Rondônia,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,False,O documento é uma resolução que aprova a Programação Anual de Saúde da Secretaria de Saúde do Estado de Rondônia para o Exercício 2024. Não há detalhes específicos sobre o que foi planejado ou executado para a saúde do idoso neste documento.,[],,False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\RAG\2020.pdf,2020.pdf,Rondônia,Estadual,N/A (Estado),RAG,2020,success,True,"O documento destaca que a população idosa em Rondônia atingiu 6% em 2020, evidenciando uma tendência de envelhecimento populacional que demanda estratégias de promoção, prevenção e assistência para este grupo. Observa-se que as internações da população idosa são mais onerosas, com alta utilização dos serviços de saúde e elevado índice de permanência e reinternação hospitalar. As ações planejadas incluem uma campanha educativa em parceria com o SESC focada na promoção da saúde e prevenção de agravos na população idosa, o desenvolvimento de uma linha de cuidado para Atenção Integral à Saúde das Pessoas Idosas, e a implementação da Política Nacional de Saúde da Pessoa Idosa (PNISP) nas 7 Regiões. Além disso, foi mencionado um 'Curso Cuidador de Idoso (FIC)' como parte das ações de educação continuada.","['Realizar 01 (uma) campanha educativa com enfoque na promoção da saúde, prevenção de agravos na população Idosa em parceria com o SESC.', 'Elaborar linha de cuidado para Atenção Integral à Saúde das Pessoas Idosas na rede de Atenção à Saúde e implementar a Política Nacional de Saúde da Pessoa Idosa (PNISP) nas 7 Regiões através de formulário eletrônico.', 'Curso Cuidador de Idoso (FIC)']",,False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Rondônia,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento descreve ações planejadas para a saúde da população idosa. Isso inclui a realização de uma campanha educativa focada na promoção da saúde e prevenção de agravos, em parceria com o SESC. Também prevê a elaboração e implementação de uma linha de cuidado para a Atenção Integral à Saúde das Pessoas Idosas, além da implementação da Política Nacional de Saúde da Pessoa Idosa (PNISP) em sete regiões, utilizando um formulário eletrônico. Adicionalmente, será oferecido um 'Curso Cuidador de Idoso (FIC)' para 60 profissionais da área educacional nas Regiões de Saúde IV e III.","['Realizar 01 (uma) campanha educativa com enfoque na promoção da saúde, prevenção de agravos na população Idosa em parceria com o SESC.', 'Elaborar linha de cuidado para Atenção Integral à Saúde das Pessoas Idosas na rede de Atenção à Saúde e implementar a Política Nacional de Saúde da Pessoa Idosa (PNISP) nas 7 Regiões através de formulário eletrônico.', 'Curso Cuidador de Idoso (FIC)']","Para a campanha educativa para a população idosa (ação 2.1.1.14), o investimento é de R$ 10.000,00. A elaboração da linha de cuidado e implementação da PNISP (ação 2.1.1.15) possui Sem Ônus (nenhum custo). O 'Curso Cuidador de Idoso (FIC)' (ação 5.3.1.1) tem um investimento total de R$ 111.009,96.",False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Rondônia,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"A programação anual de saúde para 2023 inclui ações voltadas à saúde da pessoa idosa, como o monitoramento de Instituições de Longa Permanência para Idosos (ILPI) em 10 municípios, o monitoramento de profissionais da Atenção Primária à Saúde (APS) inscritos em curso de atenção integral à saúde da pessoa idosa, e a realização de curso de cuidador de idoso.","['Realizar monitoramento nos 10 municípios onde há Instituições de Longa Permanência para Idosos', 'Monitorar através de videoconferência os profissionais da APS dos 52 municípios que estão inscritos no curso: Atenção Integral à Saúde da Saúde da Pessoa Idosa (Albert Einstein)', 'Realizar Curso (FIC) de Cuidador de Idoso']","R$ 117.509,96",True,Monitoramento de Instituições de Longa Permanência para Idosos (ILPI) em 10 municípios.,[]
Documentos_saude_Brasil\Rondônia\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Rondônia,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento descreve ações para a saúde da pessoa idosa, incluindo a realização de uma campanha educativa focada na promoção da saúde e prevenção de agravos para a população idosa em parceria com o SESC. Há também o planejamento para elaborar uma linha de cuidado para a Atenção Integral à Saúde das Pessoas Idosas, seguindo a Política Nacional de Saúde da Pessoa Idosa (PNISP), e a criação e aplicação de um formulário para avaliação diagnóstica da assistência à saúde do idoso nos 52 municípios do estado. Adicionalmente, foi estabelecido um fluxo de atendimento para vítimas de violência sexual, que inclui crianças, adolescentes, mulheres e idosos em unidades de saúde estaduais.","['Realizar 01 (uma) campanha educativa com enfoque na promoção da saúde, prevenção de agravos na população Idosa em parceria com o SESC.', 'Elaborar linha de cuidado para Atenção Integral à Saúde das Pessoas Idosas na rede de Atenção à Saúde, conforme Política Nacional de Saúde da Pessoa Idosa (PNISP).', 'Elaboração e aplicação do formulário para avalição diagnóstica da assistência a Saúde do Idoso dos 52 Municípios do Estado.', 'Pactuar em CIB o Fluxo de atendimento às vítimas de violência sexual contra criança, adolescente, mulher, idoso nas unidades de saúde de gestões estaduais.']",,False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\RAG\2021.pdf,2021.pdf,Rondônia,Estadual,N/A (Estado),RAG,2021,success,True,"O documento aponta um aumento da população idosa em Rondônia, passando de 5% em 2015 para 6,5% em 2020. Em resposta a essa tendência de envelhecimento, que exige estratégias para promoção, prevenção e assistência que garantam maior qualidade de vida, já que as internações de idosos são mais onerosas que as de adultos, o estado planejou ações como: a realização de campanhas educativas/informativas com foco na saúde do idoso em parceria com o SESC; a elaboração de uma linha de cuidado para a Atenção Integral à Saúde das Pessoas Idosas na Rede de Atenção à Saúde, conforme a Política Nacional de Saúde da Pessoa Idosa (PNISP); e a criação e aplicação de um formulário de avaliação diagnóstica para a assistência à saúde do idoso em 52 municípios do estado. Notavelmente, 76% dos óbitos em 2021 ocorreram no grupo etário a partir dos 50 anos.","['Realizar 01 (uma) campanha educativa com enfoque na promoção da saúde, prevenção de agravos na população Idosa em parceria com o SESC.', 'Elaborar linha de cuidado para Atenção Integral à Saúde das Pessoas Idosas na rede de Atenção à Saúde, conforme Política Nacional de Saúde da Pessoa Idosa (PNISP).', 'Elaboração e aplicação do formulario para avalição dignóstica da assistencia a Saúde do Idoso dos 52 Municipios do Estado.']","Em 2021, o dispêndio total em Ações e Serviços Públicos de Saúde (ASPS) foi de R$ 1.772.261.648,67, proveniente do Fundo Estadual de Saúde. O investimento específico para a saúde da pessoa idosa não foi detalhado no documento.",False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Rondônia,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Plano Estadual de Saúde de Rondônia 2020-2023 identifica o envelhecimento populacional como uma tendência, com a população idosa representando 8% do total em 2016. Em resposta, o plano reconhece a necessidade de estratégias de promoção, prevenção e assistência para assegurar maior qualidade de vida a este grupo. Indicadores mostram que internações de idosos são mais onerosas e apresentam alta utilização de serviços de saúde, com elevado índice de permanência e reinternação hospitalar. A Policlínica Oswaldo Cruz oferece atenção ambulatorial especializada, incluindo serviços de Geriatria (Programa Idoso) e Cardiologia para idosos. O documento também aborda a vigilância epidemiológica da violência contra pessoas idosas e a implantação de Redes de Atenção à Saúde focadas em doenças crônicas e pessoas com deficiência, que indiretamente beneficiam a saúde do idoso.","['Criação de estratégias de promoção, prevenção e assistência para a população idosa.', 'Oferta de atenção ambulatorial especializada em Geriatria (Programa Idoso) e Cardiologia (para idosos) pela Policlínica Oswaldo Cruz.', 'Vigilância epidemiológica da violência interpessoal e autoprovocada contra pessoas idosas.', 'Implantação da Rede de Atenção às Condições Crônicas.', 'Implantação da Rede de Atenção à Pessoa com Deficiência.']",,False,,[]
Documentos_saude_Brasil\Rondônia\Estadual\Plano de Saúde\2024.pdf,2024.pdf,Rondônia,Estadual,N/A (Estado),Plano de Saúde,2024,success,True,"O documento destaca que a população idosa (65 a 90+) em Rondônia representava 7,35% em 2010 e 6,8% em 2022, indicando uma redução percentual. Apesar disso, o envelhecimento populacional exige a criação de estratégias de promoção, prevenção e assistência para garantir a qualidade de vida dos idosos. As Doenças Crônicas Não Transmissíveis (DCNT) são as principais causas de morbidade e mortalidade nesse grupo, gerando maior demanda por serviços de saúde e internações hospitalares onerosas. O plano prevê a implantação de uma linha de cuidado para a Pessoa Idosa em 100% dos municípios (Meta 2.4.1). Além disso, o Calendário Nacional de Vacinação de rotina contempla os idosos, e há 28 leitos de Geriatria em clínicas do SUS, embora nenhum em regime de hospital-dia.","['Criação de estratégias de promoção, prevenção e assistência para o grupo populacional idoso.', 'Inclusão de idosos no Calendário Nacional de Vacinação de rotina.', 'Leitos de Geriatria disponíveis no SUS (28 leitos clínicos, 0 leitos hospital-dia).', 'Implantação da linha de cuidado da Pessoa Idosa em 100% dos municípios (Meta 2.4.1).']",,False,,[]
Documentos_saude_Brasil\Rondônia\Municipal\ALTA_FLORESTA_D'OESTE\Programação Anual de Saúde\2021.pdf,2021.pdf,Rondônia,Municipal,ALTA_FLORESTA_D'OESTE,Programação Anual de Saúde,2021,success,False,N/A.,[],,False,,[]
