caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Roraíma\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Roraíma,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,False,N/A.,[],"Aquisição de ponteiras e pipetas para exames de COVID-19 no valor total de R$ 275.745,00. Contratação de empresa para confecção e fornecimento de óculos para distribuição gratuita via SUS, com valor global de R$ 1.441.436,40.",False,N/A,[]
Documentos_saude_Brasil\Roraíma\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Roraíma,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Roraíma\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Roraíma,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,False,N/A,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Roraíma\Estadual\RAG\2020.pdf,2020.pdf,Roraíma,Estadual,N/A (Estado),RAG,2020,success,True,"O Relatório Anual de Gestão de 2020 do SUS em Roraima apresenta dados demográficos da população idosa (60 anos ou mais). As ações e planejamentos para a saúde do idoso incluem a priorização de idosos e pessoas com comorbidades em campanhas de vacinação contra doenças respiratórias, especialmente devido à pandemia de COVID-19. Houve também a manutenção de esforços para reduzir o tempo médio de permanência hospitalar para fraturas de quadril em pacientes com 60 anos ou mais. Não foram encontrados investimentos financeiros específicos para a saúde do idoso ou menções a instituições de longa permanência para idosos (ILPIs).","['Priorização de público alvo prioritários idosos e portadores de comorbidades para vacinação contra doenças respiratórias.', 'Manutenção da redução de tempo médio de permanência hospitalar para fratura de quadril em pacientes com 60 anos ou mais de idade.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Roraíma\Estadual\RAG\2022.pdf,2022.pdf,Roraíma,Estadual,N/A (Estado),RAG,2022,success,True,"O relatório anual de gestão de 2022 do SUS em Roraima planejou e executou ações para a saúde da pessoa idosa, incluindo a promoção de cuidado integral ao longo de todas as fases da vida, com um foco específico na população idosa. Foram destacadas ações de orientação e conscientização na Atenção Primária para idosos acima de sessenta anos, abrangendo triagem, avaliação, vacinação e intervenções preventivas para doenças respiratórias. Além disso, uma meta específica foi estabelecida para reduzir o tempo médio de permanência hospitalar de pacientes com 60 anos ou mais devido a fraturas de quadril, por meio de atendimento multidisciplinar, cirurgias eletivas, diagnósticos, reabilitação, cuidados pós-alta e parcerias com instituições como a 'Casa do Vovô'.","['Orientação e conscientização em Atenção Primária para idosos a partir dos sessenta anos para triagem e avaliação em estágios iniciais, vacinação e intervenções preventivas.', 'Redução do tempo médio de permanência hospitalar por fratura do quadril em pacientes com 60 anos ou mais de idade através de atendimento multidisciplinar, cirurgias eletivas, diagnósticos, reabilitação e cuidados pós-alta.', 'Promoção do cuidado integral para pessoas idosas como parte dos ciclos de vida.']",N/A,True,"A 'Casa do Vovô' é mencionada como uma instituição parceira para melhorar o acesso a equipamentos de mobilidade e cuidados pós-alta para pacientes idosos com fratura de quadril, visando a redução do tempo médio de permanência hospitalar. O documento não fornece metas específicas ou o percentual de alcance para essa instituição.",['Casa do Vovô']
Documentos_saude_Brasil\Roraíma\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Roraíma,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,False,O documento ,[],N/A,False,N/A,[]
Documentos_saude_Brasil\Roraíma\Estadual\RAG\2021.pdf,2021.pdf,Roraíma,Estadual,N/A (Estado),RAG,2021,success,True,"O Relatório Anual de Gestão de Roraima de 2021 fornece dados demográficos da população idosa, com estimativas para faixas etárias de 60-69, 70-79 e 80+ anos. As ações planejadas para a saúde do idoso incluem a redução de internações por doenças respiratórias e a diminuição do tempo médio de permanência hospitalar por fratura de quadril em indivíduos com 60 anos ou mais, com o apoio de parcerias com instituições como a 'Casa do Vovô'. O investimento total em saúde para 2021 foi de R$ 1.247.337.674,03, sem detalhamento específico para a saúde do idoso.","['Redução do número de internações por doenças do aparelho respiratório em idosos a partir dos sessenta anos, através de orientação, conscientização, vacinação e intervenções preventivas de aconselhamento.', 'Redução do tempo médio de permanência hospitalar por fratura do quadril em pacientes com 60 anos ou mais de idade, por meio de atendimento multidisciplinar, priorização de eletivas, diagnósticos, reabilitação pós-hospitalar, cuidados pós-alta, conscientização aos pacientes e familiares, e acesso a equipamentos de mobilidade e parcerias com instituições (Ex.: Casa do Vovô).']","O investimento total em ações e serviços públicos de saúde (ASPS) no estado de Roraima em 2021 foi de R$ 1.247.337.674,03. Não há detalhamento financeiro específico para as ações voltadas exclusivamente à saúde da pessoa idosa.",True,A 'Casa do Vovô' é citada como um exemplo de instituição para parcerias na ação de redução do tempo médio de permanência hospitalar por fratura de quadril em pacientes com 60 anos ou mais de idade. A meta para essa ação em 2021 era de 3.30 e foi alcançada (3.30).,['Casa do Vovô']
Documentos_saude_Brasil\Roraíma\Estadual\RAG\2023.pdf,2023.pdf,Roraíma,Estadual,N/A (Estado),RAG,2023,success,True,"O relatório de gestão do SUS de Roraima para 2023 aborda a saúde da pessoa idosa através de ações que visam o cuidado integral, incluindo a redução das internações por doenças respiratórias em idosos a partir dos sessenta anos. Além disso, busca diminuir o tempo médio de permanência hospitalar para pacientes com 60 anos ou mais que sofreram fratura de quadril, por meio de eletivas, diagnósticos e reabilitação, e cuidados pós-alta.","['Promoção do cuidado integral à pessoa idosa como parte dos vários ciclos de vida.', 'Redução das internações por doenças do aparelho respiratório em idosos a partir dos sessenta anos.', 'Redução do tempo médio de permanência hospitalar por fratura de quadril em pacientes com 60 anos ou mais de idade.']",N/A,False,N/A,[]
Documentos_saude_Brasil\Roraíma\Municipal\ALTO_ALEGRE\Plano de Saúde\2019.pdf,2019.pdf,Roraíma,Municipal,ALTO_ALEGRE,Plano de Saúde,2019,success,True,"O Plano Municipal de Saúde 2018-2021 de Alto Alegre aborda a saúde do idoso com a diretriz de garantir a atenção integral e estimular o envelhecimento ativo e a prevenção. Em 2010, 4,02% da população tinha mais de 65 anos, e as principais causas de mortalidade para idosos entre 60 e 80+ anos incluíram doenças do aparelho circulatório, respiratório e endócrinas. O plano prevê a vacinação anual de pelo menos 80% da população acima de 60 anos contra influenza e a redução gradual da mortalidade prematura por doenças crônicas não transmissíveis, visando promover o envelhecimento saudável. O programa Saúde do Idoso é parte da Atenção Básica.","['Vacinar anualmente no mínimo 80% da população > 60 anos, em campanhas contra influenza.', 'Reduzir ano a ano a mortalidade prematura (de 30 a 69 anos) por doenças crônicas não transmissíveis – DCNTS (doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas) na promoção do envelhecimento saudável.']","O Fundo Municipal de Saúde de Alto Alegre teve uma receita total de R$ 7.639.045,76 em 2017, com 25% dos recursos municipais (R$ 6.329.666,82) aplicados na saúde. Além disso, houve transferências federais de investimento no valor de R$ 104.399,40 em 2017.",False,N/A,[]
Documentos_saude_Brasil\Roraíma\Municipal\ALTO_ALEGRE\Programação Anual de Saúde\2020.pdf,2020.pdf,Roraíma,Municipal,ALTO_ALEGRE,Programação Anual de Saúde,2020,success,True,"O documento foca na garantia da atenção integral à Saúde da Pessoa Idosa e de portadores de doenças crônicas, visando o envelhecimento ativo e o fortalecimento de ações de promoção e prevenção. As metas incluem a vacinação anual de no mínimo 80% da população com mais de 60 anos contra influenza, a busca ativa e vacinação de idosos em áreas urbanas, rurais e indígenas. Além disso, busca-se reduzir a mortalidade prematura por doenças crônicas não transmissíveis através de capacitações para profissionais de saúde, implementação da caderneta de saúde da pessoa idosa, cadastro de idosos com diabetes e hipertensão, reuniões semanais para troca de experiências, trabalhos educativos com foco em coordenação motora e mental, e campanhas para prevenir quedas domésticas entre idosos.","['Vacinar anualmente no mínimo 80% da população > 60 anos, em campanhas contra influenza', 'Realizar busca ativa de idosos para campanha de vacinação contra influenza', 'Vacinar a população idosa, tanto na zona urbana como rural e área indígena', 'Divulgar nas redes sociais da Secretaria Municipal de Saúde e Prefeitura a importância da vacina', 'Reduzir ano a ano a mortalidade prematura (de 30 a 69 anos) por doenças crônicas não transmissíveis', 'Realizar capacitações de promoção de saúde e prevenção de doenças crônicas para profissionais de saúde', 'Implementar o uso da caderneta de saúde da pessoa idosa', 'Cadastrar todos os idosos portadores de diabetes e hipertensão', 'Realizar reunião semanal com idosos no intuito de possibilitar trocas de experiências, aprendizagens, melhorando assim a qualidade de vida dos mesmos', 'Realizar trabalhos educativos para a pessoa idosa, com ênfase na coordenação motora e mental', 'Realizar campanhas para evitar quedas domesticas em idosos']",N/A,False,N/A,[]
