caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Sergipe\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Sergipe,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"O documento planeja fortalecer a assistência integral à saúde da população idosa, incluindo a atenção em instituições de longa permanência. Também prevê a produção de material educativo sobre a saúde do idoso e a capacitação de representantes dos Conselhos Municipais da Pessoa Idosa, além da realização de um Encontro Estadual de Saúde da Pessoa Idosa.","['Realizar anualmente Encontro Estadual de Saúde da Pessoa Idosa', 'Articular ações de assistência integral à saúde da população idosa nas instituições de longa permanência', 'Reproduzir material ilustrativo sobre a saúde da pessoa idosa', 'Capacitar representantes dos Conselhos Municipais da Pessoa Idosa']",,True,O documento prevê a articulação de ações de assistência integral à saúde da população idosa nas instituições de longa permanência.,[]
Documentos_saude_Brasil\Sergipe\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Sergipe,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,True,"O documento, uma Programação Anual de Saúde (PAS) do ano 2022, planeja ações para a saúde da pessoa idosa. Isso inclui a realização de um Seminário Estadual de Saúde da Pessoa Idosa, o fortalecimento da atenção intersetorial à população idosa em instituições de longa permanência, e a produção de material ilustrativo sobre a saúde da pessoa idosa.","['Realizar Seminário Estadual de Saúde da Pessoa Idosa', 'Realizar ações para o fortalecimento da intersetorialidade na atenção à população idosa nas instituições de longa permanência', 'Reproduzir material ilustrativo sobre a saúde da pessoa idosa']",,True,"O documento cita a realização de ações para o fortalecimento da intersetorialidade na atenção à população idosa nas instituições de longa permanência. Não foram mencionados nomes específicos de ILPIs. N/A para meta alcançada, pois não se trata de um RAG.",[]
Documentos_saude_Brasil\Sergipe\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Sergipe,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,True,"O documento, uma Programação Anual de Saúde (PAS) para o ano de 2020 do Governo de Sergipe, cita uma ação planejada diretamente relacionada à saúde da pessoa idosa: a realização anual do Encontro Estadual de Saúde da Pessoa Idosa. Não foram encontradas outras menções detalhadas sobre ações, investimentos ou instituições de longa permanência específicas para a população idosa neste documento.",['Realizar anualmente Encontro Estadual de Saúde da Pessoa Idosa'],,False,,[]
Documentos_saude_Brasil\Sergipe\Estadual\RAG\2021.pdf,2021.pdf,Sergipe,Estadual,N/A (Estado),RAG,2021,success,True,"O documento, um Relatório Anual de Gestão do SUS de Sergipe, destaca o planejamento de ações para a saúde da pessoa idosa. Isso inclui a realização de um Encontro Estadual de Saúde da Pessoa Idosa, a articulação da assistência integral para idosos em instituições de longa permanência (ILPIs), a produção de material educativo sobre a saúde do idoso e a capacitação de representantes dos Conselhos Municipais da Pessoa Idosa.","['Realizar anualmente Encontro Estadual de Saúde da Pessoa Idosa', 'Articular ações de assistência integral à saúde da população idosa nas instituições de longa permanência', 'Reproduzir material ilustrativo sobre a saúde da pessoa idosa', 'Capacitar representantes dos Conselhos Municipais da Pessoa Idosa']",,True,A ação de 'Articular ações de assistência integral à saúde da população idosa nas instituições de longa permanência' foi identificada. Não há informações sobre quanto da meta foi alcançada para ILPIs neste documento.,[]
Documentos_saude_Brasil\Sergipe\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Sergipe,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento planeja ações específicas para a saúde da pessoa idosa, incluindo a realização de um Seminário Estadual e um Terceiro Encontro Estadual de Saúde da Pessoa Idosa, além do desenvolvimento de material ilustrativo sobre a saúde do idoso. Adicionalmente, aborda o fortalecimento da intersetorialidade na atenção à população idosa em instituições de longa permanência (ILPIs), com a previsão de um encontro com os responsáveis por essas instituições no Estado.","['Realizar Seminário Estadual de Saúde da Pessoa Idosa', 'Realizar III Encontro Estadual de Saúde da Pessoa Idosa - PAA 2023 FUNESA', 'Realizar ações para o fortalecimento da intersetorialidade na atenção à população idosa nas instituições de longa permanência', 'Realizar encontro com responsáveis pelas Instituições de Longa Permanência de Idosos do Estado - PAA 2023 FUNESA', 'Reproduzir material ilustrativo sobre a saúde da pessoa idosa - PAA 2023 FUNESA']",,True,"O documento menciona ações para o fortalecimento da intersetorialidade na atenção à população idosa em instituições de longa permanência (ILPIs), com um encontro planejado com os responsáveis por essas instituições no Estado.",[]
Documentos_saude_Brasil\Sergipe\Estadual\Programação Anual de Saúde\2024.pdf,2024.pdf,Sergipe,Estadual,N/A (Estado),Programação Anual de Saúde,2024,success,True,"A Programação Anual de Saúde (PAS) para o ano de 2024 em Sergipe inclui ações específicas voltadas para a saúde da pessoa idosa e para a conscientização sobre a violência contra o idoso. Entre as ações planejadas, destaca-se a realização de um encontro com os responsáveis pelas Instituições de Longa Permanência de Idosos (ILPIs) no estado. Além disso, está prevista uma web palestra alusiva ao Dia Mundial de Conscientização da Violência contra o Idoso.","['Realizar encontro com responsáveis pelas Instituições de Longa Permanência de Idosos do Estado.', 'Realizar Web Palestra alusiva ao Dia Mundial de Conscientização da Violência contra o Idoso.']",,True,O documento menciona a realização de um encontro com responsáveis pelas Instituições de Longa Permanência de Idosos do Estado como uma ação planejada para 2024.,[]
Documentos_saude_Brasil\Sergipe\Estadual\RAG\2020.pdf,2020.pdf,Sergipe,Estadual,N/A (Estado),RAG,2020,success,True,N/A.,[],,False,,[]
Documentos_saude_Brasil\Sergipe\Municipal\AMPARO_DE_SÃO_FRANCISCO\Plano de Saúde\2019.pdf,2019.pdf,Sergipe,Municipal,AMPARO_DE_SÃO_FRANCISCO,Plano de Saúde,2019,success,False,N/A.,[],N/A.,False,N/A.,[]
Documentos_saude_Brasil\Sergipe\Estadual\RAG\2022.pdf,2022.pdf,Sergipe,Estadual,N/A (Estado),RAG,2022,success,True,"O Relatório Anual de Gestão de 2022 inclui dados demográficos relevantes sobre a população idosa de Sergipe, com 272.645 indivíduos acima de 60 anos (página 6). No âmbito da saúde do idoso, o planejamento para 2022 contemplou a realização do 'Seminário Estadual de Saúde da Pessoa Idosa' e o 'fortalecimento da intersetorialidade na atenção à população idosa nas instituições de longa permanência', conforme detalhado na Programação Anual de Saúde (página 18).","['Realizar Seminário Estadual de Saúde da Pessoa Idosa', 'Realizar ações para o fortalecimento da intersetorialidade na atenção à população idosa nas instituições de longa permanência']","O relatório detalha a execução orçamentária e financeira global do SUS. As despesas empenhadas totais foram de R$ 1.771.159.522,84, as despesas liquidadas totais de R$ 1.769.744.522,81 e as despesas pagas totais de R$ 1.764.753.560,42. Adicionalmente, foram realizadas receitas adicionais para financiamento da saúde no valor de R$ 701.567.718,11. Não há um valor de investimento específico e exclusivo para a saúde do idoso, sendo os valores apresentados referentes ao sistema de saúde como um todo.",True,O documento menciona a 'Ação Nº 18 - Realizar ações para o fortalecimento da intersetorialidade na atenção à população idosa nas instituições de longa permanência' na página 18. Não são citados nomes específicos de ILPIs nem detalhamentos sobre o progresso ou metas alcançadas especificamente para essas instituições.,[]
Documentos_saude_Brasil\Sergipe\Estadual\Plano de Saúde\2020.pdf,2020.pdf,Sergipe,Estadual,N/A (Estado),Plano de Saúde,2020,success,True,"O Plano Estadual de Saúde de Sergipe (2020-2023) reconhece o envelhecimento populacional do estado. O documento destaca que doenças do aparelho circulatório são a principal causa de mortes a partir dos 60 anos. Quedas são uma causa de morte predominante entre idosos (acima de 60 anos), com alta ocorrência no ambiente domiciliar, e a Chikungunya apresenta sintomas mais intensos nessa faixa etária. O plano busca fortalecer a atenção primária e reduzir a morbimortalidade por doenças crônicas não transmissíveis, que afetam a população idosa.","['Cuidados para reduzir óbitos por quedas em idosos (acima de 60 anos) no âmbito domiciliar.', 'Redução da morbimortalidade prematura por doenças crônicas não transmissíveis (neoplasias, diabetes, doenças do aparelho circulatório e respiratórias), com meta de 262,57 por 100 mil habitantes até 2023 (linha de base 2017/281,96).', 'Atenção aos sintomas mais intensos de Chikungunya em idosos.']","O Plano Estadual de Saúde do Estado de Sergipe (PES) prevê um total de recursos aplicados no SUS de R$ 1.960.421.695,86 em 2014, aumentando para R$ 2.595.638.608,63 em 2018. O Plano Plurianual de Governo (PPA) 2020-2023 prevê R$ 4.542.335.272,00 para a Secretaria de Estado da Saúde (SES).",False,,[]
