caminho_completo,nome_arquivo,estado,esfera,municipio,documento,ano,status,contem_info_idoso,resumo_llm,acoes_citadas_llm,investimento_llm,contem_ilpi,ilpi_resumo_llm,ilpi_nome_llm
Documentos_saude_Brasil\Tocantins\Estadual\Programação Anual de Saúde\2025.pdf,2025.pdf,Tocantins,Estadual,N/A (Estado),Programação Anual de Saúde,2025,success,True,"O documento, um Instrumento de Planejamento do SUS, apresenta diretrizes e metas para a saúde no Tocantins em 2025. Embora não mencione explicitamente 'idosos', ele planeja a 'Elaboração da Linha de Cuidado da Hipertensão Arterial e Diabetes Mellitus para implantação nos 139 municípios' e a 'Redução da proporção de internações por condições sensíveis à atenção básica (ICSAB)', ações que são diretamente relevantes para a saúde da população idosa, dada a alta prevalência dessas condições nesse grupo.","['Elaborar a Linha de Cuidado da Hipertensão Arterial e Diabetes Mellitus para implantação nos 139 municípios.', 'Reduzir a proporção de internações por condições sensíveis à atenção básica (ICSAB).']","Para a Ação Orçamentária 4529 'Apoio aos cuidados primários em saúde', que engloba a linha de cuidado para hipertensão e diabetes, o orçamento previsto para 2025 é de R$ 565.000,00, sendo R$ 445.000,00 para custeio e R$ 120.000,00 para investimentos.",False,,[]
Documentos_saude_Brasil\Tocantins\Estadual\Programação Anual de Saúde\2020.pdf,2020.pdf,Tocantins,Estadual,N/A (Estado),Programação Anual de Saúde,2020,success,False,Nenhum planejamento ou execução específica para a saúde da pessoa idosa foi encontrado no documento.,[],,False,,[]
Documentos_saude_Brasil\Tocantins\Estadual\Plano de Saúde\2024.pdf,2024.pdf,Tocantins,Estadual,N/A (Estado),Plano de Saúde,2024,success,True,"O Plano Estadual de Saúde 2024-2027 do Tocantins visa propiciar longevidade saudável à população tocantinense. Para a saúde da pessoa idosa, o plano estabelece a garantia dos seus direitos em situações de risco e vulnerabilidade nos municípios.","['Propiciar longevidade saudável à população tocantinense', 'Garantia dos direitos da pessoa idosa em situações de risco e vulnerabilidade nos municípios']",,False,,[]
Documentos_saude_Brasil\Tocantins\Estadual\Programação Anual de Saúde\2021.pdf,2021.pdf,Tocantins,Estadual,N/A (Estado),Programação Anual de Saúde,2021,success,True,"A Programação Anual de Saúde (PAS) 2021 do Governo do Tocantins planeja ações para o sistema de saúde, incluindo a ampliação do acesso e resolutividade da atenção primária com foco em condições crônicas, a oferta de atenção especializada de média e alta complexidade, e o fortalecimento das redes de urgência e assistência farmacêutica. Para a população idosa, embora não haja seções exclusivas, o plano abrange a redução da mortalidade prematura por Doenças Crônicas Não Transmissíveis (DCNT) para pessoas de 30 a 69 anos, a ampliação de exames de mamografia para mulheres de 50 a 69 anos, a manutenção de leitos de UTI Adulto, e a qualificação do acolhimento e classificação de risco para adultos em emergências, todas medidas relevantes para a saúde do idoso.","['Reduzir a taxa de mortalidade prematura (30 a 69 anos) por Doenças Crônicas Não Transmissíveis – DCNT (doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas).', 'Ampliar a razão de exames de mamografia em mulheres de 50 a 69 anos de idade até 2023.', 'Manter em 90% anualmente a taxa de ocupação dos leitos de UTI Adulto, Pediátrico e Neonatal contratualizados', 'Manter em 90% anualmente a taxa de ocupação dos leitos de UTI Adulto, Pediátrico e Neonatal próprios.', 'Qualificar o acolhimento e classificação de risco (ACR) adulto e pediátrico com ênfase na política nacional de humanização.']","O documento apresenta uma Proposta Orçamentária Saúde 2021 com um valor total geral de R$ 1.778.822.609,00. Este montante é destinado a diversas ações e serviços de saúde que, embora não segmentados exclusivamente para a população idosa, beneficiam diretamente este grupo etário através da atenção primária, especializada, hospitalar, farmacêutica e de urgência e emergência. Não há valores específicos separados apenas para a saúde do idoso.",False,,[]
Documentos_saude_Brasil\Tocantins\Estadual\Programação Anual de Saúde\2022.pdf,2022.pdf,Tocantins,Estadual,N/A (Estado),Programação Anual de Saúde,2022,success,False,,[],,False,,[]
Documentos_saude_Brasil\Tocantins\Estadual\Programação Anual de Saúde\2023.pdf,2023.pdf,Tocantins,Estadual,N/A (Estado),Programação Anual de Saúde,2023,success,True,"O documento, 'Programação Anual de Saúde 2023' do SUS do Tocantins, apresenta metas e ações gerais de saúde. Para a saúde da pessoa idosa, destaca-se a meta de 'Ampliar a razão de exames de mamografia em mulheres de 50 a 69 anos de idade até 2023' para 0,25. Embora não haja ações exclusivas para idosos, outras iniciativas como a atenção a condições crônicas e o acesso à assistência farmacêutica também beneficiarão esta população.","['Ampliar a razão de exames de mamografia em mulheres de 50 a 69 anos de idade até 2023.', 'Razão de exames de mamografia de rastreamento realizados em mulheres de 50 a 69 anos na população residente de determinado local e a população da mesma faixa etária.']","Para o objetivo de Ofertar exames de diagnóstico por imagem, que inclui a mamografia para a faixa etária de 50 a 69 anos, está previsto um orçamento de 5.752.485,00.",False,,[]
Documentos_saude_Brasil\Tocantins\Municipal\ABREULÂNDIA\Plano de Saúde\2019.pdf,2019.pdf,Tocantins,Municipal,ABREULÂNDIA,Plano de Saúde,2019,success,True,"O Plano de Saúde 2018-2021 do Município de Abreulândia-TO inclui a existência de uma 'Academia de Saúde da 3ª idade' como parte da rede de serviços ao SUS. A análise demográfica do município mostra uma população de 26 pessoas com mais de 80 anos em 2012. O documento aponta que, para essa população, são oferecidas atividades físicas como dança, passeios em grupo e palestras sobre alimentação saudável. No entanto, é destacado que muitos idosos não praticam essas atividades, o que contribui para um elevado número de óbitos por doenças do aparelho circulatório e respiratório em faixas etárias como 70-79 e 80+.","['Academia de Saúde da 3ª idade', 'atividades físicas como dança', 'passeios em grupo', 'palestras sobre alimentação saudável']",,False,,[]
Documentos_saude_Brasil\Tocantins\Municipal\ABREULÂNDIA\Plano de Saúde\2022.pdf,2022.pdf,Tocantins,Municipal,ABREULÂNDIA,Plano de Saúde,2022,success,True,"O Plano Municipal de Saúde 2022-2025 de Abreulândia, Tocantins, aborda a saúde da pessoa idosa no Objetivo 2.3, que visa 'Viabilizar melhoria nas condições de Saúde do Idoso e portadores de doenças crônicas, mediante qualificação do acesso aos serviços em todos os níveis e redes de atenção'. As ações específicas citadas nesse objetivo incluem a meta de 'Manter em 0 o número de óbitos prematuros causados por doenças crônicas (DCNT - doenças do aparelho circulatório, câncer, diabetes e doenças Respiratórias crônicas) até 2025' e 'Garantir 100% em atividade as ações e serviços na academia da saúde que venha contribuir para redução do número de óbitos prematuros pelas 4 DCNI até 2025'. Além disso, a seção 'Ações e Serviços Continuados' inclui 'SAÚDE DO IDOSO' como uma das áreas de atuação.","['Manter em 0 o número de óbitos prematuros causados por doenças crônicas (DCNT - doenças do aparelho circulatório, câncer, diabetes e doenças Respiratórias crônicas) até 2025.', 'Garantir 100% em atividade as ações e serviços na academia da saúde que venha contribuir para redução do número de óbitos prematuros pelas 4 DCNI até 2025.', 'Viabilizar melhoria nas condições de Saúde do Idoso e portadores de doenças crônicas, mediante qualificação do acesso aos serviços em todos os níveis e redes de atenção.', 'SAÚDE DO IDOSO']","O documento não detalha investimentos financeiros específicos diretamente para a 'Saúde do Idoso'. As seções de orçamento (páginas 39-42) apresentam alocações financeiras para programas gerais de saúde como Vigilância em Saúde, Atendimento Ambulatorial, Emergencial e da Família, e Infraestrutura, mas sem rubricas dedicadas exclusivamente à saúde da pessoa idosa. Portanto, não é possível extrair um valor específico para a saúde do idoso.",False,,[]
Documentos_saude_Brasil\Tocantins\Municipal\ABREULÂNDIA\Programação Anual de Saúde\2020.pdf,2020.pdf,Tocantins,Municipal,ABREULÂNDIA,Programação Anual de Saúde,2020,success,False,"O documento, uma Programação Anual de Saúde (PAS) para o ano de 2020, descreve as diretrizes, objetivos, indicadores e orçamento do município de Abreulândia-TO nas áreas de Atenção Básica, Assistência Farmacêutica, Vigilância em Saúde, Gestão do SUS e Investimentos. Contudo, não foram encontradas menções específicas, ações, metas ou recursos financeiros dedicados exclusivamente à saúde da pessoa idosa ou a instituições de longa permanência para idosos (ILPIs).",[],,False,,[]
Documentos_saude_Brasil\Tocantins\Estadual\RAG\2022.pdf,2022.pdf,Tocantins,Estadual,N/A (Estado),RAG,2022,success,True,"O Relatório Anual de Gestão de 2022 da Secretaria da Saúde do Tocantins apresenta como objetivo estratégico a promoção da longevidade saudável para a população tocantinense. A análise demográfica do estado inclui dados de população idosa (60 anos e mais). No que tange à morbimortalidade, o documento detalha as principais causas de mortalidade precoce (30 a 69 anos) por Doenças Crônicas Não Transmissíveis (DCNT), como doenças cardiovasculares, câncer, diabetes e doenças respiratórias crônicas. A faixa etária de 60 a 69 anos apresentou o maior número de óbitos por DCNT (869 óbitos). A hipertensão arterial é explicitamente mencionada como um fator relevante para hospitalização e custos em pessoas idosas. A meta de reduzir a taxa de mortalidade prematura (30 a 69 anos) por DCNT não foi alcançada em 2022, registrando 291,06/100.000 habitantes, acima da meta de 261,79/100.000 habitantes.","['Propiciar longevidade saudável à população tocantinense', 'Redução da taxa de mortalidade prematura (30 a 69 anos) por Doenças Crônicas Não Transmissíveis (DCNT)', 'Ações para reduzir fatores de risco que se entrelaçam e contribuem para o surgimento e agravamento da morbidade, especialmente a hipertensão arterial em pessoas idosas']","O documento menciona R$ 108.477.814,30 como folha de pagamento mensal de 14.044 servidores ativos em dezembro de 2022, R$ 1.505.542,92 para acertos de pessoal e R$ 4.388,33 em indenizações vitalícias a não servidores, totalizando R$ 109.983.357,22. Não há investimentos específicos detalhados diretamente para a saúde do idoso, mas o objetivo de reduzir a taxa de mortalidade prematura por DCNT na faixa etária de 30 a 69 anos não foi alcançado, ficando em 291,06/100.000 habitantes contra a meta de 261,79/100.000 habitantes.",False,,[]
